"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","individualCount","occurrenceRemarks","recordedBy","recordNumber","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","year","month","day","continentOcean","locality","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","class"
"1","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","2827","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","pectinata","Aechmea pectinata","Baker","Elton. C. M. Leme","2009","05","2","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","2828","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","pectinata","Aechmea pectinata","Baker","Elton. C. M. Leme","2009","05","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","127","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","pectinata","Aechmea pectinata","Baker","Elton. C. M. Leme","2009","05","1","254","Roberto da Silva;","Silva203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","1193","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","pectinata","Aechmea pectinata","Baker",NA,NA,NA,NA,"254",NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","376357","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","pectinata","Aechmea pectinata","Baker",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=561643' target='other'> <mi>dwc_moreinfo</mi></a>","P. K. H. Dusén","14607","Brazil","Paraná","Jaguariaíva","-49.7056","-24.2511",NA,NA,"1914","02","20","South America","Jacarehy (illegible)","sheet","NY00376357","NY00376357_01",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","376356","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","pectinata","Aechmea pectinata","Baker","L. B. Smith",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=561640' target='other'> <mi>dwc_moreinfo</mi></a>","L. B. Smith","5706","Brazil","Santa Catarina","Sao Francisco do Sul","-48.6381","-26.2433",NA,NA,"1952","02","21","South America","Porto das Canoas","sheet","NY00376356","NY00376356_01","2","2",NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","376368","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","pectinata","Aechmea pectinata","Baker","L. B. Smith",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=561642' target='other'> <mi>dwc_moreinfo</mi></a>","L. B. Smith","6818","Brazil","Rio de Janeiro",NA,"-43.3469444","-23.0036111",NA,NA,"1952","04","04","South America","Distrito Federal: Praia de Sernambetiba (Recreio dos Bandeirantes)","sheet","NY00376368",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","376358","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","pectinata","Aechmea pectinata","Baker","L. B. Smith",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=561641' target='other'> <mi>dwc_moreinfo</mi></a>","F. C. Hoehne","9479","Brazil","São Paulo","Ribeirao Pires","-46.4097","-23.71",NA,NA,"1924","01","12","South America","Alto da Serra, mata da Estaçao Biologica","sheet","NY00376358","NY00376358_01",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","376355","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","pectinata","Aechmea pectinata","Baker","E. Pereira",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=561639' target='other'> <mi>dwc_moreinfo</mi></a>","B. D. Sucre","1891","Brazil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto","1967","11","05","South America","Bahia de Sepetiba, Ilha Furtada","sheet","NY00376355","NY00376355_01",NA,NA,NA,NA,NA,NA,NA
"10","2020-06-29 11:29:37-03","UFRJ","RFA","30322","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","pectinata","Aechmea pectinata","Baker","T. Wendt","2000","11",NA,"Abundante no local. Epífita ou rupícola. Folhas avermelhadas do ápice para a base nas plantas em floração. Brácteas escapais verdes. Brácteas florais verdes. Sépalas esbranquiçadas. Pétalas creme","T. Wendt; G.K. Brown; A.P.G. de Faria","334","Brasil","Rio de Janeiro","Mangaratiba","-44.040599822998","-22.9596996307373","17272","auto","2000","11","23",NA,"Reserva Rio das Pedras",NA,"RFA52531",NA,NA,NA,"23",NA,NA,NA,NA
"11","2021-04-08 17:44:51-03","EAO","IAN","8114","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Bromeliaceae","Aechmea","pectinata","Aechmea pectinata","Baker",NA,NA,NA,NA,NA,"Glaziou, AFM","15484","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,"IAN008114","IAN008114_f",NA,NA,NA,NA,NA,NA,NA
"12","2019-12-04 15:26:25-03","PUCPR","HUCP","24533","S","Plantae","Monocotiledonea",NA,"Bromeliaceae","Aechmea","pectinata","Aechmea pectinata","Baker.","Lago, GB",NA,NA,NA,NA,"Lago, GB","12","Brasil","Paraná","Paranaguá","-48.5092010498047","-25.5200004577637","24916","auto","2015","09","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-10-09 11:27:31-03","UFBA","ALCB","74604","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Aechmea","pectinata","Aechmea pectinata","Baker","Sonehara, J","2004",NA,NA,"terrícola, raro epífita. Flor creme-esverdeada.","Sonehara, J","141","Brasil","Paraná","Matinhos","-48.5428009033203","-25.8174991607666","15275","auto","2004","01","31","Southern America","Paque Estadual do Rio da Onça",NA,"ALCB011277","ALCB011277 ALCB011277_1",NA,NA,NA,NA,NA,NA,NA
"14","2020-11-04 11:03:42-03","ESALQ","ESA","69590","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Aechmea","pectinata","Aechmea pectinata","(L.) Grisebach","Martinelli, G.",NA,NA,NA,NA,"Krieger, L.","10991.0","Brasil","Paraná","Guaratuba","-48.5746994018555","-25.8827991485596","41937","auto","1971","12","07",NA,NA,NA,"ESA069590","ESA069590",NA,NA,NA,NA,NA,NA,NA
"15","2020-11-04 11:03:42-03","ESALQ","ESA","101836","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Aechmea","pectinata","Aechmea pectinata",NA,"Forster, W.",NA,NA,NA,NA,"Oriani, A.","685.0","Brasil","São Paulo","Cananéia","-47.9199981689453","-25.0100002288818","37574","auto","2005","03","29",NA,NA,NA,"ESA101836","ESA101836",NA,NA,NA,NA,NA,NA,NA
"16","2020-11-04 11:03:42-03","ESALQ","ESA","62747","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Aechmea","pectinata","Aechmea pectinata","Baker",NA,NA,NA,NA,NA,"Kozera, C. et al.","845.0","Brasil","São Paulo","Iguape","-47.5499992370605","-24.7000007629395","55628","auto","1999","01","11",NA,NA,NA,"ESA062747","ESA062747",NA,NA,NA,NA,NA,NA,NA
"17","2020-11-04 11:03:42-03","ESALQ","ESA","64206","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Aechmea","pectinata","Aechmea pectinata","Baker","Wanderley, M.G.L.",NA,NA,NA,NA,"Gorenstein, M.R. et al.","127.0","Brasil","São Paulo","Iguape","-47.5499992370605","-24.7000007629395","55628","auto","1999","01","12",NA,NA,NA,"ESA064206","ESA064206",NA,NA,NA,NA,NA,NA,NA
"18","2020-11-04 11:03:42-03","ESALQ","ESA","64210","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Aechmea","pectinata","Aechmea pectinata","Baker",NA,NA,NA,NA,NA,"Sztutman, M. et al.","107.0","Brasil","São Paulo","Pariquera-Açu","-47.8800010681152","-24.7099990844727","17990","auto","1999","01","05",NA,NA,NA,"ESA064210","ESA064210",NA,NA,NA,NA,NA,NA,NA
"19","2020-11-04 11:03:42-03","ESALQ","ESA","64202","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Aechmea","pectinata","Aechmea pectinata","Baker","Wanderley, M.G.L.",NA,NA,NA,NA,"Sampaio, D. et al.","136.0","Brasil","São Paulo","Pariquera-Açu","-47.8800010681152","-24.7099990844727","17990","auto","1999","01","10",NA,NA,NA,"ESA064202","ESA064202",NA,NA,NA,NA,NA,NA,NA
