"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","recordNumber","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-04-05 14:33:35-03","UNESC","CRI","13690","PreservedSpecimen","Plantae","Lauraceae","Nectandra","psammophila","Nectandra psammophila","Nees","Alexandre Medeiros","2017","11","26","Alexandre Medeiros","2017","11","26","Brasil","Santa Catarina","Balneário Camboriú","Taquaras","-48.637778","-27.001389","48º38'16''W","27º0'5''S","Coleta 760 Flores brancas Habitat: Terrestre Habito: Arbóreo","CRI012297","CRI012297",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:24-03","UNESC","CRI","13847","PreservedSpecimen","Plantae","Lauraceae","Nectandra","psammophila","Nectandra psammophila","Nees","Alexandre Medeiros","2017","09","09","Alexandre Medeiros","2017","09","09","Brasil","Santa Catarina","Balneário Camboriú","Taquaras APA Costa Brava","-48.5825","-27.005833","48º34'57''W","27º0'21''S","Habitat: Terrestre Habito: Arbórea","CRI012458",NA,"688",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:18-03","E","E","259440","PreservedSpecimen","Plantae","Lauraceae","Nectandra","citrifolia","Nectandra citrifolia",NA,NA,NA,NA,NA,"Bang, Miguel",NA,NA,NA,"BO","Departamento La Paz",NA,"Tipuani-Guanai",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00259440 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259440",NA,"1673","isotype","W. Tropical South America","herbarium specimen of unspecif","BGBASE:270854",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-10-19 09:50:00-02","NY","NYBG","355425","PreservedSpecimen","Plantae","Lauraceae","Nectandra","citrifolia","Nectandra citrifolia",NA,NA,NA,NA,NA,"M. Bang","1892","12",NA,"Bolivia",NA,NA,"Tipuani-Guanai.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=52446' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355425","NY00355425_01","1673","isotype","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-10-19 09:50:00-02","NY","NYBG","355427","PreservedSpecimen","Plantae","Lauraceae","Nectandra","citrifolia","Nectandra citrifolia",NA,NA,NA,NA,NA,"M. Bang","1892","12",NA,"Bolivia",NA,NA,"Tipuani-Guanai.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=52448' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355427","NY00355427_01","1673","isotype","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-10-19 09:50:00-02","NY","NYBG","355426","PreservedSpecimen","Plantae","Lauraceae","Nectandra","citrifolia","Nectandra citrifolia",NA,NA,NA,NA,NA,"M. Bang","1892","12",NA,"Bolivia",NA,NA,"Tipuani-Guanai.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=52447' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355426","NY00355426_01","1673","holotype","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","469227","PreservedSpecimen","Plantae","Lauraceae","Nectandra","psammophila","Nectandra psammophila","Nees","H. H. van der Werff",NA,NA,NA,"G. G. Hatschbach","1992","08","31","Brazil","Paraná","Paranaguá","Estrada das Praias, proximo ao Rio da Vila","-48.5092","-25.5203",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=460517' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469227","NY00469227_01","57910",NA,"South America","sheet",NA,"Magnoliophyta","Laurales","5","10",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","469228","PreservedSpecimen","Plantae","Lauraceae","Nectandra","psammophila","Nectandra psammophila","Nees","J. G. Rohwer",NA,NA,NA,"R. P. Belém","1968","07","13","Brazil","Bahia","Mucuri","Regiao Bahia-Espirito Santo. Ao lado da Rodovia BR 101. Vale do Rio Mucurí. Plantaçao do cacau","-39.5506","-18.0867",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=460518' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469228",NA,"3850",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","469230","PreservedSpecimen","Plantae","Lauraceae","Nectandra","psammophila","Nectandra psammophila","Nees",NA,NA,NA,NA,"L. Riedel",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=460520' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469230","NY00469230_01","664",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","469229","PreservedSpecimen","Plantae","Lauraceae","Nectandra","psammophila","Nectandra psammophila","Nees","J. G. Rohwer",NA,NA,NA,"A. Gehrt","1941","08","24","Brazil","São Paulo","Sao José do Rio Preto","Engenheiro Schmidt","-49.3697","-20.82",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=460521' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469229","NY00469229_01","s.n.",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
