"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","fieldNumber","year","month","day","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","kingdom","recordNumber","continentOcean","stateProvince","identifiedBy","class","order","minimumElevationInMeters","individualCount","phylum","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","coordinatePrecision","geoFlag"
"1","2015-09-04 01:04:42-03","MNHN","RECOLNAT_MNHN_P","P02660884","PreservedSpecimen","Poaceae","Briza","parodiana","Briza parodiana","Roseng., B.R. Arrill. & Izag.","Saint-Hilaire","C2 2035","1816","1","1","Uruguai","Banda Oriental Del Uruguay.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02660884' target='other'> <mi>dwc_moreinfo</mi></a>","P02660884","P02660884_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2012-04-05 14:30:00-03","MO","MOBOT","2475961","PreservedSpecimen","Poaceae","Briza","parodiana","Briza parodiana","Roseng., B.R. Arrill. & Izag.","José F.M. Valls",NA,NA,NA,NA,"Brazil","margen do Arroio Piratini Menor",NA,NA,NA,NA,"Plantae","Valls 2254","South America","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2009-08-21 20:53:00-03","MO","MOBOT","2514462","PreservedSpecimen","Poaceae","Briza","parodiana","Briza parodiana","Roseng., B.R. Arrill. & Izag.","Bernardo Rosengurtt",NA,"1948","11","21","Uruguay","Abra de Perdomo",NA,NA,NA,NA,"Plantae","Rosengurtt 5273","South America","Maldonado","Mujica Sallés, J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-12 05:00:02-03","US","US",NA,"PreservedSpecimen","Poaceae","Chascolytrum","parodianum","Chascolytrum parodianum","(Roseng. et al.) Matthei","G. Herter",NA,"1930","9","20","Uruguay","Dict. Pan de Azucar. Departamento de Maldonado. República Oriental del Uruguay.",NA,NA,NA,NA,"Plantae","1535","South America","Maldonado",NA,"Monocotyledonae","Cyperales","300","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","1611929","PreservedSpecimen","Poaceae","Chascolytrum","parodianum","Chascolytrum parodianum","(Roseng. et al.) Matthei","G. Herter",NA,"1930","9","20","Uruguay","Pan de Azucar, Dep. de Maldonado.",NA,NA,NA,NA,"Plantae","1535 (86100)","South America","Maldonado",NA,"Monocotyledonae","Cyperales",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-12 05:00:02-03","US","US","2952001","PreservedSpecimen","Poaceae","Chascolytrum","parodianum","Chascolytrum parodianum","(Roseng. et al.) Matthei","Rosengurtt",NA,"1955","11","6","Uruguay","Minas. Parque UTE en pedregal.",NA,NA,NA,NA,"Plantae","B-6357","South America",NA,NA,"Monocotyledonae","Cyperales",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-08 12:52:52-03","UFRGS","ICN","199468","S","Poaceae","Chascolytrum","aff. parodianum","Chascolytrum aff. parodianum","(Roseng., B.R.Arrill. & Izag.) Matthei ","da Silva, LN; Oliveira, R",NA,"2018","12","06","Brasil","Parna Aparados da Serra, Itaimbezinho",NA,"rara no local; na borda do cânion, sob tapete de líquens, pendurada ao precipício.",NA,NA,"Plantae","LNS1080","América do Sul","RS","da Silva, LN",NA,NA,"919",NA,"Monocotyledon","2018","12","06","Cambará do Sul","-50.097778","-29.168889","-50.097778","-29.168889","919",NA,NA
"8","2021-02-08 12:52:52-03","UFRGS","ICN","199530","S","Poaceae","Chascolytrum","aff. parodianum","Chascolytrum aff. parodianum","(Roseng., B.R.Arrill. & Izag.) Matthei ","da Silva, LN; Gonzatti, F; Kulkamp, J; Valduga, E",NA,"2016","12","08","Brasil","Parna Aparados da Serra, Itaimbezinho",NA,"testemunho molecular; rara no local; em campo, na borda do cânion",NA,NA,"Plantae","LNS834","América do Sul","RS","da Silva, LN",NA,NA,"920",NA,"Monocotyledon",NA,NA,NA,"Cambará do Sul","-50.0975","-29.168611","-50.0975","-29.168611","920",NA,NA
"9","2021-02-08 12:52:59-03","UFRGS","ICN","134887","S","Poaceae","Chascolytrum","parodianum","Chascolytrum parodianum","(Roseng., B.R. Arrill. & Izag.) Matthei","Essi, L; Longhi-Wagner, HM",NA,"2004","10","11","Brasil","S31°27'59 9 W053°07'25 6",NA,"Testemunho de análise molecular.; Em fendas de rochas de matacão, em morro granítico",NA,NA,"Plantae","290","América do Sul","RS","Essi, L",NA,NA,NA,NA,"Monocotyledon",NA,NA,NA,"Piratini","-53.123611","-31.466389","-53.123611","-31.466389",NA,NA,NA
"10","2021-02-08 12:52:59-03","UFRGS","ICN","201627","S","Poaceae","Chascolytrum","parodianum","Chascolytrum parodianum","(Roseng., B.R. Arrill. & Izag.) Matthei","da Silva, LN; de Souza, LS; Ribeiro, CL; Dalastra, CH",NA,"2019","12","07","Brasil","RS608, campo pedregoso, aprox. 5km após a cidade",NA,"ocorrendo esparasamente nos topos de morro, com afloramentos graníticos.; vegetando em fendas de matacão;",NA,NA,"Plantae","LNS1160","América do Sul","RS","da Silva, LN",NA,NA,"375",NA,"Monocotyledon","2019","12","07","Pedras Altas","-53.614444","-31.767222","-53.614444","-31.767222","375",NA,NA
