"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","day","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","individualCount","typeStatus","relatedCatalogItem","yearIdentified","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","686548","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","basifixa","Banisteriopsis basifixa","B.Gates","B. Gates","L. Riedel","355","1924","07","South America","Brazil","Minas Gerais","Ouro Preto","Prope Ouro Preto","-43.5081","-20.2878","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=834884' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686548","NY00686548_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","442179","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","basifixa","Banisteriopsis basifixa","B.Gates","B. Gates","W. R. Anderson","11201","1975","02","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Guanabara: Serra da Carioca, Estrada do Redentor, 9-10 km from Rua da Boa Vista","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=696870' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442179","NY00442179_01","01","350","400",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:32:28-03","MBM","MBM","37935","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Banisteriopsis","basifixa","Banisteriopsis basifixa","B. Gates","Gates, B.","Anderson, W.R.","11201",NA,NA,"Southern America","Brazil","Rio de Janeiro","Rio de Janeiro","Estrada do Redentor, Serra da Carioca","-43.2075004577637","-22.9027996063232",NA,NA,"MBM037935","MBM037935",NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA
"4","2020-09-12 05:00:02-03","US","US","703489","PreservedSpecimen","Plantae",NA,"Polygalales","Malpighiaceae","Banisteriopsis","basifixa","Banisteriopsis basifixa","B. Gates",NA,"Riedel, --","s.n.","1824","7","South America - Neotropics","Brazil",NA,NA,"Prope Auro Fino Provincia Minas Geraes",NA,NA,NA,NA,"US01870394","US01870394_01",NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA,NA,NA,NA
"5","2020-07-23 12:10:35-03","CEPLAC","CEPEC","132984","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Banisteriopsis","basifixa","Banisteriopsis basifixa",NA,"Amorim, A. M.","C. Duarte","57",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-07-23 12:10:35-03","CEPLAC","CEPEC","78463","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Banisteriopsis","basifixa","Banisteriopsis basifixa",NA,"B. Gates","O. C. Goes","662",NA,NA,NA,"Brasil","Rio de Janeiro","PETRÓPOLIS","Caetitú. Morro.","-43.1786003112793","-22.5049991607666",NA,NA,NA,NA,NA,NA,NA,"36524","auto",NA,NA,"Paratipo","30/12/1982",NA,NA,NA
"7","2019-11-21 10:07:51-03","IBt","SP","17711","S","Plantae",NA,NA,"Malpighiaceae","Banisteriopsis","basifixa","Banisteriopsis basifixa","B.Gates","Gates, B","Hoehne, FC; Gehrt, A","s.n.","1926","05",NA,"Brasil","São Paulo","São José do Barreiro",NA,"-44.5699996948242","-22.6399993896484",NA,"Fl. alvacenta amarellada","SP000137","SP000137","02",NA,NA,"30784","auto",NA,NA,"Holotype",NA,"1979",NA,NA
"8","2010-08-16 16:42:00-03","GH","HU-HERB","GH 00045024","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Banisteriopsis","basifixa","Banisteriopsis basifixa","B. Gates",NA,"F. C. Hoehne & A. Gehrt","17711","1926","5","South America","Brazil","São Paulo",NA,"S. Jose do Barreiro",NA,NA,"Sheet",NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,"Isotype",NA,NA,"17711","undetermined"
