"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount","class","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","502634","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Rudgea","insignis","Rudgea insignis","Müll.Arg.","S. de V. A. Pessôa","539","1990","12","12","South America","Brazil","Rio de Janeiro","Nova Friburgo","Reserva Ecológica Municipal de Macaé de Cima. Sitio Fazenda Velha","-42.05","-22","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=334602' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502634","NY00502634_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:32:25-03","UFRJ","RFA","38038","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","insignis","Rudgea insignis","Müll.Arg.","M. S. Wängler; G. F.Mazoni; A. M. Paiva","969","2011","11","25",NA,"Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Zona de Vida Silvestre, Alameda Palmares, propriedade da Sra. Corina","-43.378333","-22.4475",NA,NA,NA,"Arbusto 1,5 m; folhas opostas com estípula triangular denteada; flor carnosa, hexâmera, cálice verde, corola branca","RFA53203",NA,"A. M. Paiva","2011","11","25","43º22'42''W","22º26'51''S",NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:40:15-03","UNICAMP","UEC","146568","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Rudgea","insignis","Rudgea insignis","Müll.Arg.","Sanchez, M; et al.","1166","1997","04","16",NA,"Brazil","São Paulo","Ubatuba","Picinguaba, Morro do Corisco","-44.8","-23.366667","1000","1000",NA,"Árvore 459 com 7m de altura, vegetativo; Mata Atlântica de Encosta","UEC101123","UEC101123",NA,NA,NA,NA,"-44.8","-23.366667",NA,NA,NA,NA,NA,NA
"4","2015-11-07 04:14:19-02","MNHN","RECOLNAT_MNHN_P","P03985372","PreservedSpecimen",NA,NA,NA,"Rubiaceae","Rudgea","insignis","Rudgea insignis","Müll.Arg.","Glaziou, A.",NA,"1874","1","23",NA,"Brésil",NA,NA,"Rio de Janeiro, Alto da Boa Vista",NA,NA,NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03985372' target='other'> <mi>dwc_moreinfo</mi></a>","P03985372","P03985372_01 P03985372_02",NA,NA,NA,NA,NA,NA,"isolectotype","6896",NA,NA,NA,NA
"5","2015-09-04 14:19:48-03","MNHN","RECOLNAT_MNHN_P","P03985373","PreservedSpecimen",NA,NA,NA,"Rubiaceae","Rudgea","insignis","Rudgea insignis","Müll.Arg.","Glaziou, A.",NA,"1874","1","23",NA,"Brésil",NA,NA,"Rio de Janeiro, Alto da Boa Vista",NA,NA,NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03985373' target='other'> <mi>dwc_moreinfo</mi></a>","P03985373","P03985373_01 P03985373_02",NA,NA,NA,NA,NA,NA,"isolectotype","6896",NA,NA,NA,NA
"6","2015-09-28 17:14:00-03","MO","MOBOT","3236817","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","insignis","Rudgea insignis","Müll. Arg.","S.V.A. Pessoa","Pessoa 539","1990","12","12","South America","Brazil","Rio de Janeiro",NA,"Nova Friburgo, Reserva Ecológica Municpal de Macaé de Cima, Sítio Fazenda Velha","-42.05","-22","1100.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"7","2020-09-12 05:00:02-03","US","US","3091580","PreservedSpecimen","Plantae",NA,"Rubiales","Rubiaceae","Rudgea","insignis","Rudgea insignis","Müll. Arg.","A. P. Duarte","4250","1951","11","23","South America - Neotropics","Brazil","Rio de Janeiro",NA,"Serra de Petropolis",NA,NA,NA,NA,NA,NA,"US02742877","US02742877_01",NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA,NA
"8","2021-03-15 18:29:38-03","USP","SPF","212897","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","insignis","Rudgea insignis","Müll.Arg.","Fiaschi, P","3884","2012","03","06",NA,"Brasil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos, Trilha suspensa.","-43.00125","-22.451694","1165","1165",NA,"Árvore ca. 9 m alt. Folhas discolores. Inflorescência com parte proximal do eixo verde, passando a alvo na parte distal. Flores com cálice creme, corola e estames alvos.; Floresta Ombrófila Densa Montana (Mata Atlântica).","SPF00212897",NA,"Zappi, DC","2018","06",NA,"-43.00125","-22.451694",NA,NA,NA,NA,NA,NA
"9","2019-09-04 18:14:28-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Rubiaceae","Rudgea","insignis","Rudgea insignis",NA,"A. Glaziou","6896",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotype",NA,NA,"Dicotyledoneae",NA,NA
"10","2019-01-23 11:12:19-02","F","FMNH-SEEDPLANTS","V0070978F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Rubiaceae","Rudgea","insignis","Rudgea insignis",NA,"A. Glaziou","6896",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0070978F","V0070978F_01",NA,NA,NA,NA,NA,NA,"Isotype",NA,NA,"Dicotyledoneae",NA,NA
