"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","class","relatedCatalogItem","typeStatus","coordinatePrecision","geoFlag","individualCount","monthIdentified","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","818555","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","franchetii","Polygala franchetii","Chodat","J. J. Wurdack","H. S. Irwin","34161","1972","01","15","South America","Brazil","Goiás","Corumbá de Goiás","Serra dos Pireneus, ca 10 km E of Pirenópolis.","-48.8083","-15.9236","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=864726' target='other'> <mi>dwc_moreinfo</mi></a>","NY00818555","NY00818555_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00846797","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","franchetii","Polygala franchetii","Chodat","J. J. Wurdack","H. S. Irwin","26536","1970","02","23","South America","Brazil","Distrito Federal","Brasília","Ca. 10 km E. of Lago Paranoá, DF-6","-47.7274","-15.75885","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=928124' target='other'> <mi>dwc_moreinfo</mi></a>","NY00846797","NY00846797_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","818537","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","franchetii","Polygala franchetii","Chodat","J. J. Wurdack","E. P. Heringer","2992","1979","12","27","South America","Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=863927' target='other'> <mi>dwc_moreinfo</mi></a>","NY00818537","NY00818537_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00856324","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","franchetii","Polygala franchetii","Chodat","J. J. Wurdack","E. P. Heringer","3658","1980","03","04","South America","Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=929096' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856324","NY00856324_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:47:02-03","EAO","IAN","148739","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Polygalaceae","Polygala","francheti","Polygala francheti","Chodat","Wurdack, JJ","Irwin, HS; Fonsêca, SG da","26536","1970","02","23","Southern America","Brasil","Distrito Federal",NA,"Camp slopes, ca. 10km E of Lago Paranoá, DF-6.",NA,NA,"1000","1000",NA,"Ascending subshrub to ca. 50cm tall. Perianth white.","IAN148739",NA,"1973",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-08 17:43:25-03","EAO","IAN","19212","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Polygalaceae","Polygala","francheti","Polygala francheti","Chodat",NA,"Glaziou, AFM","20668",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN019212","IAN019212_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:15:49-03","NBC","NL-BOTANY","U.1528122","PreservedSpecimen","Plantae",NA,"Fabales","Polygalaceae","Polygala","franchetii","Polygala franchetii","Chodat","Wurdack JJ","Oldenburger FHF; Mecenas VV",NA,"1975","12","04","Southern America","Brazil","Distrito Federal",NA,"D.F. Near Planaltina on monument hill.",NA,NA,NA,NA,NA,"Cerrado.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1528122 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1528122","NL-U1528122",NA,"Magnoliopsidae","U 0249725",NA,NA,NA,NA,NA,NA,NA
"8","2021-01-14 15:33:13-03","MN","R","7431","PreservedSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","franchetii","Polygala franchetii","Chodat",NA,"Glaziou, A.F.M.","20668","1888","02","06",NA,"Brasil","Goiás",NA,NA,NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000007431","R000007431_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:38:12-03","UNICAMP","UEC","13037","S","Plantae","Magnoliopsida",NA,"Polygalaceae","Polygala","franchetii","Polygala franchetii","Chodat","Pastore, JFB","Setz, EZF","9198","1978","11","03",NA,"Brazil","Mato Grosso","Aldeia Juina","Reserva Nambiquara.",NA,NA,NA,NA,NA,"Subarbusto até 1m. Flores brancas. Raíz usada como veneno. Em cerrado.","UEC088016","UEC088016","2010",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2014-10-14 15:56:35-03","BS","M","M-0152998","S","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","franchetii","Polygala franchetii","Chodat",NA,"Pohl, J.B.E.",NA,NA,NA,NA,NA,"Brasil",NA,NA,"Crixás.",NA,NA,NA,NA,NA,NA,"M0152998",NA,NA,"Magnoliopsida",NA,"SYNTYPE",NA,NA,NA,NA,NA,NA
