"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1522514","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Byttneria","scabra","Byttneria scabra","L.","W. Hoehne","W. Hoehne","s.n.","1949","01","27","South America","Brazil","São Paulo","Sao Paulo","Brooklyn Paulista.","-46.680951","-23.621551","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1753201' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522514","NY01522514_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2102798","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Byttneria","scabra","Byttneria scabra","L.",NA,"E. L. Sette Silva","650","1986","08","04","South America","Brazil","Roraima","Boa Vista","Estrada para Serra Grande","-60.333333","-2.666667","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2248191' target='other'> <mi>dwc_moreinfo</mi></a>","NY02102798","NY02102798_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00946800","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Byttneria","scabra","Byttneria scabra","L.","C. L. Cristóbal","O. dos S. Ribas","2428","1998","02","02","South America","Brazil","Mato Grosso do Sul","Guia Lopes da Laguna","Rod. MS-382, 20 km NO de Guia Lopes da Laguna.","-56.1142","-21.4581","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1014864' target='other'> <mi>dwc_moreinfo</mi></a>","NY00946800","NY00946800_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","609658","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Byttneria","scabra","Byttneria scabra","L.","C. L. Cristóbal","R. M. Harley","18797","1977","02","17","South America","Brazil","Bahia",NA,"Serra do Sincorá. 2-3km approximately SW of Mucugé on the road to Cascavel","-41.4","-13.02","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=509673' target='other'> <mi>dwc_moreinfo</mi></a>","NY00609658","NY00609658_01","950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00946798","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Byttneria","scabra","Byttneria scabra","L.","C. L. Cristóbal","H. S. Irwin","11434","1966","01","07","South America","Brazil","Distrito Federal","Brasília","Campo adjacent to Rio Torto, near Sobradinho","-47.9","-15.72","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1014814' target='other'> <mi>dwc_moreinfo</mi></a>","NY00946798","NY00946798_01","975","975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01091881","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Byttneria","scabra","Byttneria scabra","L.","W. Hoehne","W. Hoehne","s.n.","1949","01","27","South America","Brazil","São Paulo","Sao Paulo","Brooklyn Paulista.","-46.680951","-23.621551","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1265192' target='other'> <mi>dwc_moreinfo</mi></a>","NY01091881","NY01091881_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","609656","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Byttneria","scabra","Byttneria scabra","L.","C. L. Cristóbal","R. M. Harley","16087","1974","02","06","South America","Brazil","Bahia",NA,"9km. S.W. of Mucugé, on road from Cascavel","-41.42","-13.03","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=509679' target='other'> <mi>dwc_moreinfo</mi></a>","NY00609656","NY00609656_01","950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","2102794","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Byttneria","scabra","Byttneria scabra","L.",NA,"J. M. Pires","52102","1962","07","12","South America","Brazil","Amapá",NA,"Rio Matapi.","-51.4131","0.7133","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2248187' target='other'> <mi>dwc_moreinfo</mi></a>","NY02102794","NY02102794_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00946803","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Byttneria","scabra","Byttneria scabra","L.","C. L. Cristóbal","G. G. Hatschbach","26148","1971","10","24","South America","Brazil","Mato Grosso do Sul","Rio Brilhante",NA,"-54.5464","-21.8019","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1014882' target='other'> <mi>dwc_moreinfo</mi></a>","NY00946803","NY00946803_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00946783","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Byttneria","scabra","Byttneria scabra","L.",NA,"P. Clausen","1514","1841",NA,NA,"South America","Brazil","Minas Gerais","Ouro Preto","Caxoeira do Campo.","-43.5081","-20.2878","sheet","[no. 8 written in ink underneath date.] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1014808' target='other'> <mi>dwc_moreinfo</mi></a>","NY00946783","NY00946783_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
