"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","day","county","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00984406","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dipteryx","alata","Dipteryx alata","Vogel","J. F. Ramos","R. & S.191","1967","10","South America","Brazil","Mato Grosso","Collected near the base camp of the expedition (c. 270 km N of Xavantina).","-51.87","-12.9","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1121996' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984406","NY00984406_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-10-28 15:21:00-02","NY","NYBG","00984428","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dipteryx","alata","Dipteryx alata",NA,"P. Clausen","797",NA,NA,"South America","Brazil","Minas Gerais","Brésil (Minas-Geraes)",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1121986' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984428","NY00984428_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00984394","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dipteryx","alata","Dipteryx alata","Vogel","H. S. Irwin","17548","1966","06","South America","Brazil","Goiás","Ca. 87 km. S. E. of Aragarças. Drainage of the Upper Rio Araguaia.","-51.9","-16.43","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1121951' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984394","NY00984394_01 NY00984394_02","M. T. K. Arroyo","21","Piranhas","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00984400","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dipteryx","alata","Dipteryx alata","Vogel","M. G. da Silva","5053","1979","06","South America","Brazil","Mato Grosso","Km-165 da Rod. Cuiaba-Santarém, entrocamento para Porto Velho.","-56.2218046","-14.5584392","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1121965' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984400","NY00984400_01","M. G. da Silva","21","Diamantino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00984430","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dipteryx","alata","Dipteryx alata","Vogel","R. M. Harley","11022","1968","11","South America","Brazil","Mato Grosso","Xavantina","-52.23","-14.63","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1122008' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984430","NY00984430_01",NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00984404","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dipteryx","alata","Dipteryx alata","Vogel","C. E. O. Kuntze","s.n.","1892","07","South America","Brazil","Mato Grosso","Mattogrosso",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1121971' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984404","NY00984404_01","H. C. de Lima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","196222","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dipteryx","alata","Dipteryx alata","Vogel","M. N. Alexiades","757","1989","07","South America","Peru","Madre de Dios","Comunidad Nativa de Infierno. Hermosa Chica. Transect 1","-69.28","-12.83","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=255621' target='other'> <mi>dwc_moreinfo</mi></a>","NY00196222",NA,"R. C. Barneby","10","Tambopata","260","260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01450494","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dipteryx","alata","Dipteryx alata","Vogel","C. A. Cid Ferreira","4739","1984","06","South America","Brazil","Rondônia","BR 364, rodovia Cuiabá-Porto velho, km 234, ao Norte da cidade, morro da Torre da EMBRATEL","-62.03","-11.2","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1381729' target='other'> <mi>dwc_moreinfo</mi></a>","NY01450494",NA,"H. C. de Lima","23","Cacoal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00448783","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dipteryx","alata","Dipteryx alata","Vogel","R. Saraiva","1510","1992","04","South America","Brazil","Acre","Reserva Extrativista Chico Mendes, Seringal Porongaba, transecto 1, M77.","-72.7","-9.12","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=454249' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448783","NY00448783_01","R. C. Barneby","15","Brasiléia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00984427","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dipteryx","alata","Dipteryx alata","Vogel","J. H. Kirkbride Jr.","5476","1983","11","South America","Brazil","Goiás","Região Mato Feio, 30 km SE de Padre Bernardo","-48.12","-15.38","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1121975' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984427","NY00984427_01",NA,"19","Padre Bernardo","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
