"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","infraspecificEpithet","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:41:33-03","E","E","285850","PreservedSpecimen","Plantae","Melastomataceae","Miconia","minutiflora","Miconia minutiflora","unspecified kind of","Schomburgk, Robert Hermann","507","1905","01","10","E. Tropical South America","GY","herbarium specimen of unspecif","BGBASE:297683","<a href=http://data.rbge.org.uk/herb/E00285850 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00285850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","522438","PreservedSpecimen","Plantae","Melastomataceae","Miconia","minutiflora","Miconia minutiflora",NA,"C. G. Leal","298","1950","07","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=527711' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522438","Magnoliophyta","Myrtales","(Bonpl.) DC.","R. Goldenberg","Pernambuco","Recife","Jardim Zoo-Botanico de Dois Irmaos","-34.947808","-8.003604","NY00522438_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00924880","PreservedSpecimen","Plantae","Melastomataceae","Miconia","minutiflora","Miconia minutiflora",NA,"P. Clausen","560",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=993233' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924880","Magnoliophyta","Myrtales","(Bonpl.) DC.",NA,"Minas Gerais",NA,NA,NA,NA,"NY00924880_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1653178","PreservedSpecimen","Plantae","Melastomataceae","Miconia","minutiflora","Miconia minutiflora",NA,"A. De Luycker","8","2005","01",NA,"South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1432977' target='other'> <mi>dwc_moreinfo</mi></a>","NY01653178","Magnoliophyta","Myrtales","(Bonpl.) DC.","C. Ulloa Ulloa","San Martín","Moyobamba","Region of Alto mayo.","-76.9928","-6.0256","NY01653178_01","890",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","3358817","PreservedSpecimen","Plantae","Melastomataceae","Miconia","minutiflora","Miconia minutiflora",NA,"M. Bang","2213",NA,NA,NA,"South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3688975' target='other'> <mi>dwc_moreinfo</mi></a>","NY03358817","Magnoliophyta","Myrtales","(Bonpl.) DC.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","3358832","PreservedSpecimen","Plantae","Melastomataceae","Miconia","minutiflora","Miconia minutiflora",NA,"C. E. O. Kuntze","630","1874","04","10","South America","Trinidad and Tobago","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3688990' target='other'> <mi>dwc_moreinfo</mi></a>","NY03358832","Magnoliophyta","Myrtales","(Bonpl.) DC.",NA,NA,NA,"Santa Cruz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","3358804","PreservedSpecimen","Plantae","Melastomataceae","Miconia","minutiflora","Miconia minutiflora",NA,"M. Nee","43324","1992","12","24","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3688959' target='other'> <mi>dwc_moreinfo</mi></a>","NY03358804","Magnoliophyta","Myrtales","(Bonpl.) DC.",NA,"Santa Cruz","Ichilo","along Arroyo Itili, just upstream from its confluence with the rio Yapacani, W side of rio Yapacani, 7 km. (by air) SSW (upstream) from highway bridge.","-63.87","-17.47",NA,"300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","521858","PreservedSpecimen","Plantae","Melastomataceae","Miconia","minutiflora","Miconia minutiflora",NA,"T. C. Plowman","8412","1980","02","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=291022' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521858","Magnoliophyta","Myrtales","(Bonpl.) DC.","J. J. Wurdack","Tocantins","Presidente Kennedy","Road from highway BR-153 to Itapora, 12 km west of village of Presidente Kennedy. Fazenda Primavera along Ribeirao Féinho.","-48.6008","-8.5006","NY00521858_01","400","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","3358812","PreservedSpecimen","Plantae","Melastomataceae","Miconia","minutiflora","Miconia minutiflora",NA,"S. G. Beck","17638","1990","04","11","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3688970' target='other'> <mi>dwc_moreinfo</mi></a>","NY03358812","Magnoliophyta","Myrtales","(Bonpl.) DC.",NA,"La Paz","Nor Yungas","Puente Villa 4.5 km hasta Coripata",NA,NA,NA,"1570","1570",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3358900","PreservedSpecimen","Plantae","Melastomataceae","Miconia","minutiflora","Miconia minutiflora",NA,"J. A. Steyermark","90619","1962","01","05","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3689058' target='other'> <mi>dwc_moreinfo</mi></a>","NY03358900","Magnoliophyta","Myrtales","(Bonpl.) DC.",NA,"Bolivar",NA,"Bosques a lo largo de la frontera Venezolana-Brasilera, noreste de la Serrania Pia-soi (Pia-shauhy, Pia-Savi)","-62.77","3.88",NA,"650","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
