"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","locality","decimalLongitude","decimalLatitude","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","county","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2020-09-23 10:42:48-03","E","E","165397","PreservedSpecimen","Plantae","Proteaceae","Euplassa","inaequalis","Euplassa inaequalis","Amorim, A.M.A.","1405","1993","11","09","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:207193","<a href=http://data.rbge.org.uk/herb/E00165397 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00165397",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:42:48-03","E","E","165395","PreservedSpecimen","Plantae","Proteaceae","Euplassa","inaequalis","Euplassa inaequalis","Thomas, W.W.","9407","1992","11","14","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:207191","<a href=http://data.rbge.org.uk/herb/E00165395 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00165395",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:42:48-03","E","E","165391","PreservedSpecimen","Plantae","Proteaceae","Euplassa","inaequalis","Euplassa inaequalis","Santos, T.","2450","1972","10","09","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:207187","<a href=http://data.rbge.org.uk/herb/E00165391 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00165391",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01021683","PreservedSpecimen","Plantae","Proteaceae","Euplassa","inaequalis","Euplassa inaequalis","R. M. Harley","10108","1968","09","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106189' target='other'> <mi>dwc_moreinfo</mi></a>","NY01021683","Magnoliophyta","Proteales","(Pohl) Engl.","Mato Grosso","Ca. 4 km east of base camp","-51.77","-12.82","NY01021683_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 23:06:00-03","NY","NYBG","01021644","PreservedSpecimen","Plantae","Proteaceae","Euplassa","inaequalis","Euplassa inaequalis","J. A. Ratter","R435","1967","08","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1105696' target='other'> <mi>dwc_moreinfo</mi></a>","NY01021644","Magnoliophyta","Proteales",NA,"Mato Grosso","6 km. S. of Xavantina.","-52.33","-14.73","NY01021644_01","J. A. Ratter","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00836449","PreservedSpecimen","Plantae","Proteaceae","Euplassa","inaequalis","Euplassa inaequalis","W. W. Thomas","9407","1992","11","14","South America","Brazil","sheet",NA,"Site: R <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402008' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836449","Magnoliophyta","Proteales","(Pohl) Engl.","Bahia","Reserva Biológica do Mico-IeÔo (IBAMA), 46 km north on BA-001 between Ilhéus and Una","-39.08","-15.15","NY00836449_01","G. T. Prance",NA,NA,"Una",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1144690","PreservedSpecimen","Plantae","Proteaceae","Euplassa","inaequalis","Euplassa inaequalis","B. Maguire","57002","1963","10","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1297958' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144690","Magnoliophyta","Proteales","(Pohl) Engl.","Goiás","88 beyond Jatai en route to Goiania","-50.9281","-17.7983","NY01144690_01","V. Plana","900","900","Rio Verde",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-29 23:06:00-03","NY","NYBG","01021649","PreservedSpecimen","Plantae","Proteaceae","Euplassa","inaequalis","Euplassa inaequalis","G. C. G. Argent","6556","1967","09","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1105727' target='other'> <mi>dwc_moreinfo</mi></a>","NY01021649","Magnoliophyta","Proteales",NA,"Mato Grosso","c. 6 km. S. of Xavantina R & A transect.","-52.23","-14.63","NY01021649_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01021677","PreservedSpecimen","Plantae","Proteaceae","Euplassa","inaequalis","Euplassa inaequalis","G. T. Prance","59228","1964","10","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106163' target='other'> <mi>dwc_moreinfo</mi></a>","NY01021677","Magnoliophyta","Proteales","(Pohl) Engl.","Mato Grosso","Serra do Roncador. Vicinity of Garapu. Varzea forest.","-52.2681","-13.5522","NY01021677_01","H. O. Sleumer",NA,NA,"Canarana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-30 01:22:00-03","NY","NYBG","1144692","PreservedSpecimen","Plantae","Proteaceae","Euplassa","inaequalis","Euplassa inaequalis","M. Pereira Neto","339","1989","07","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1297963' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144692","Magnoliophyta","Proteales",NA,"Distrito Federal","Reserva Ecológica do IBGE.","-47.8947","-15.9589",NA,"V. Plana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
