"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","phylum","order","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","class","continentOcean"
"1","2021-03-24 17:09:37-03","UFES","SAMES","4074","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","riodocensis","Myrcia riodocensis","G.M.Barroso & Peixoto","Ribeiro,M.","2011","04","16","Ribeiro,M.; Rocha,T.L.;Oliveira,I.R.","300","2010","09","26","Brasil","Espírito Santo","Conceição da Barra","Reserva Biológica do Córrego Grande. Floresta Alta de Tabuleiro, km 1 a 4 da estrada interna.","-39.7322006225586","-18.5932998657227","-398050000.0","-182625000.0","41644","Árvore de 4 metros de altura, tronco avermelhado, fruto verde com tons de vermelho bem claro.","SAMES04074","auto",NA,NA,NA,NA,NA,NA,NA,NA
"2","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0055515","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","riodocensis","Myrcia riodocensis","G.M.Barroso & A.L.Peixoto","M. C. Souza, 2005.",NA,NA,NA,"D. A. Folli","3197","1998","7","20","Brazil","Espirito Santo",NA,"Reserva Natural da CVRD, Linhares. Est. Flamengo.","-40.064515","-19.389282",NA,NA,NA,"Arbustivo. Botao marrom e flor brancos. Ft. maduro incolor.",NA,NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA
"3","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0056135","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","riodocensis","Myrcia riodocensis","G.M.Barroso & A.L.Peixoto","E. Lucas (specieslink at CVRD)",NA,NA,NA,"G. Siqueira","64","2003","11","14","Brazil","Espirito Santo",NA,"Reserva Natural da CVRD, Linhares.","-40.064515","-19.389282",NA,NA,NA,"Botao verde e flor branca. Arboreo.",NA,NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA
"4","2020-04-27 16:10:48-03","UFES","VIES","27809","S","Plantae","Myrtaceae","Myrcia","riodocensis","Myrcia riodocensis","G.M.Barroso & Peixoto","Gomes, J.M.L.","2011","05","07","Gomes, J.M.L.","4000","2011","05","07","Brasil","Espírito Santo","Linhares","Flona de Goytacazes.","-40.0722007751465","-19.3910999298096",NA,NA,"48094",NA,"VIES027809","auto",NA,NA,"VIES027809",NA,NA,NA,NA,NA
"5","2020-04-27 16:10:48-03","UFES","VIES","39731","S","Plantae","Myrtaceae","Myrcia","riodocensis","Myrcia riodocensis","G.M.Barroso & Peixoto","A. Giantta","2017","09",NA,"Luber, J.; Alves-Araújo, A.; Souza, W.O.; Sossai, B.G.; Silva, L.A. & Freitas, J.","159","2015","07","08","Brasil","Espírito Santo","Pancas","Monumento Natual dos Pontões Capixabas.","-40.8513984680176","-19.2250003814697",NA,NA,"32475",NA,"VIES039731","auto",NA,NA,"VIES039731",NA,NA,NA,NA,NA
"6","2020-04-27 16:10:48-03","UFES","VIES","22564","S","Plantae","Myrtaceae","Myrcia","riodocensis","Myrcia riodocensis","G.M.Barroso & Peixoto","Gomes, J.M.L.","2011","08","15","Gomes, J.M.L.","3888","2011","08","15","Brasil","Espírito Santo","Linhares","Flona de Goytacazes.","-40.0722007751465","-19.3910999298096",NA,NA,"48094",NA,"VIES022564","auto",NA,NA,"VIES022564",NA,NA,NA,NA,NA
"7","2020-04-27 16:10:48-03","UFES","VIES","39728","S","Plantae","Myrtaceae","Myrcia","riodocensis","Myrcia riodocensis","G.M.Barroso & Peixoto","A. Giantta","2017","09",NA,"Luber, J.; Alves-Araújo, A.; Souza, W.O.; Sossai, B.G.; Silva, L.A. & Freitas, J.","155","2015","07","08","Brasil","Espírito Santo","Pancas","Monumento Natual dos Pontões Capixabas.","-40.8513984680176","-19.2250003814697",NA,NA,"32475",NA,"VIES039728","auto",NA,NA,"VIES039728",NA,NA,NA,NA,NA
"8","2020-06-29 09:31:37-03","UFRRJ","RBR","44909","S","Plantae","Myrtaceae","Myrcia","riodocensis","Myrcia riodocensis","G.M.Barroso & Peixoto",NA,NA,NA,NA,"A.T.L. Brandão; M.C. Souza","349","2016","09","24","Brasil","Espírito Santo","Santa Teresa","Estrada para nova Lombardia.","-40.541944","-19.883611","40º32'31''W","19º53'1''S",NA,NA,"RBR00044909",NA,NA,NA,"RBR00044909","795","795",NA,NA,NA
"9","2020-07-10 09:47:54-03","MBML","MBML-HERBARIO","32741",NA,"Plantae","Myrtaceae","Myrcia","cf. riodocensis","Myrcia cf. riodocensis","G.M.Barroso & Peixoto","M. Sobral/Março-2016",NA,NA,NA,"L. F. S. Magnago; V. Demuner, T. Cruz e Elias Bausen","800","2006","04","17","Brasil","Espírito Santo","Colatina","Alto Moacir, Pedra do Cruzeiro, propr.: Landislau.","-40.558611","-19.348056","40W33'31","19S20'53",NA,"Arvoreto 4,5m de alt. Botões florais verdes. Rupícula ao sol.","MBML032741",NA,NA,NA,"MBML032741","150","150",NA,NA,NA
"10","2020-07-10 09:47:57-03","MBML","MBML-HERBARIO","43499",NA,"Plantae","Myrtaceae","Myrcia","riodocensis","Myrcia riodocensis","G.M. Barroso & A.L. Peixoto",NA,NA,NA,NA,"D. Sucre","8269","1972","01","30","Brasil","Espírito Santo","Linhares","Docemade","-40.0722007751465","-19.3910999298096",NA,NA,"48094","pequena árvore com ca 10m alt., crescendo em mata de tabuleiro. Botões de cor verde. Cortex avermelhada papiraceo","MBML043499","auto",NA,NA,"MBML043499",NA,NA,"ISOTIPO",NA,NA
"11","2020-12-16 11:32:59-03","UFG","UFG","65191","S","Plantae","Myrtaceae","Myrcia","riodocensis","Myrcia riodocensis","G.M. Barroso & Peixoto","Barroso, G.M.; Peixoto","2012","10","30","Staggemeier, V.G.","917","2012","10","30","Brasil","Espírito Santo","Linhares","Reserva da Companhia Vale do Rio Doce","-40.0722007751465","-19.3910999298096",NA,NA,"48094","Árvore ca. de 4,0 metros de altura, botão e fruto verde (um só com ca. de 1,5 cm)..","UFG0065191","auto",NA,NA,"UFG0065191",NA,NA,NA,NA,NA
"12","2021-02-25 10:13:08-03","CVRD","CVRD","14157","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","riodocensis","Myrcia riodocensis","G.M.Barroso & Peixoto","J.E.Q. Faria","2012","03","29","J.E.Q. Faria","2494","2012","03","29","BRASIL","ES","Linhares",NA,"-40.057778","-19.136389","40°03'28,0W","19°08'11,0S",NA,"Árvore ca. 6 m de altura, caule avermelhado descamando placas brancas, botão floral verde <ll>dwc_commonname:</ll> Araçá mulato","CVRD014157",NA,"Magnoliophyta","Myrtales",NA,"44","44",NA,"Magnoliopsida","América do Sul"
"13","2021-02-25 10:13:08-03","CVRD","CVRD","12572","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","riodocensis","Myrcia riodocensis","G.M.Barroso & Peixoto","Wagner, M.A.","2019","12","02","Folli, D.A.","6430","2009","09","26","BRASIL","BA","Santa Cruz Cabrália",NA,"-39.28352","-16.245523","-39,28352","-16,245523",NA,"<ll>dwc_commonname:</ll> Araçá mulato","CVRD012572",NA,"Magnoliophyta","Myrtales",NA,"29","29",NA,"Magnoliopsida","América do Sul"
"14","2021-02-25 10:13:08-03","CVRD","CVRD","6862","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","riodocensis","Myrcia riodocensis","G.M.Barroso & Peixoto","Marcelo C. Souza","2005","11","24","Folli, D.A.","3918","2001","05","07","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,"48094","<ll>dwc_commonname:</ll> Araçá mulato","CVRD006862","auto","Magnoliophyta","Myrtales",NA,NA,NA,NA,"Magnoliopsida","América do Sul"
"15","2021-02-25 10:13:08-03","CVRD","CVRD","9671","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","riodocensis","Myrcia riodocensis","G.M.Barroso & Peixoto","Geovane S. Siqueira","2006","08","07","Siqueira, G.S.","237","2006","08","07","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,"48094","<ll>dwc_commonname:</ll> Araçá mulato","CVRD009671","auto","Magnoliophyta","Myrtales","CVRD009671",NA,NA,NA,"Magnoliopsida","América do Sul"
"16","2021-02-25 10:13:08-03","CVRD","CVRD","14715","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","riodocensis","Myrcia riodocensis","G.M.Barroso & Peixoto","Staggemeier, V.G.","2013","11","04","Staggemeier, V.G.","917","2012","10","30","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,"48094","Duplicatas: CVRD, K, UB, RB, UFG <ll>dwc_commonname:</ll> Araçá mulato","CVRD014715","auto","Magnoliophyta","Myrtales","CVRD014715",NA,NA,NA,"Magnoliopsida","América do Sul"
"17","2021-02-25 10:13:08-03","CVRD","CVRD","2961","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","riodocensis","Myrcia riodocensis","G.M.Barroso & Peixoto","Graziela M. Barroso","1990","07","17","Sucre, D.","8269","1972","01","30","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,"48094","Cortex avermelhado, papiracea. <ll>dwc_commonname:</ll> Araçá mulato","CVRD002961","auto","Magnoliophyta","Myrtales","CVRD002961",NA,NA,"ISOTYPUS","Magnoliopsida","América do Sul"
"18","2021-02-25 10:13:08-03","CVRD","CVRD","15096","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","riodocensis","Myrcia riodocensis","G.M.Barroso & Peixoto","Geovane S. Siqueira","2014","10","03","Siqueira, G.S.","1008","2014","10","03","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,"48094","<ll>dwc_commonname:</ll> Araçá mulato","CVRD015096","auto","Magnoliophyta","Myrtales","CVRD015096","45","45",NA,"Magnoliopsida","América do Sul"
"19","2021-02-25 10:13:08-03","CVRD","CVRD","8776","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","riodocensis","Myrcia riodocensis","G.M.Barroso & Peixoto","Geovane S. Siqueira","2005","12","28","Folli, D.A.","4866","2004","06","16","BRASIL","ES","Linhares","area RFL- 132","-40.0722007751465","-19.3910999298096",NA,NA,"48094","<ll>dwc_commonname:</ll> Araçá mulato","CVRD008776","auto","Magnoliophyta","Myrtales","CVRD008776",NA,NA,NA,"Magnoliopsida","América do Sul"
"20","2021-02-25 10:13:08-03","CVRD","CVRD","5949","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","riodocensis","Myrcia riodocensis","G.M.Barroso & Peixoto","Marcelo C. Souza","2005","11","22","Folli, D.A.","3197","1998","07","20","BRASIL","ES","Linhares","próximo a ant. viveiro de vasos ornamentais","-40.0722007751465","-19.3910999298096",NA,NA,"48094","<ll>dwc_commonname:</ll> Araçá mulato","CVRD005949","auto","Magnoliophyta","Myrtales",NA,NA,NA,NA,"Magnoliopsida","América do Sul"
"21","2019-11-13 11:27:10-03","USP","SPF","226432","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","riodocensis","Myrcia riodocensis","G.M.Barroso & Peixoto","Souza, MC","2005","11","24","Folli, DA","3918","2001","05","07","Brasil","Espírito Santo","Linhares","Reserva Natural Vale","-40.0722007751465","-19.3910999298096",NA,NA,"48094",NA,"SPF00226432","auto",NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-02-27 14:03:14-03","UFSJ","HUFSJ","3597","S","Plantae","Myrtaceae","Myrcia","riodocensis","Myrcia riodocensis","G.M.Barroso & Peixoto","Souza, MC","2005","11","24","Folli, DA","3918","2001","05","07","Brasil","Espírito Santo","Linhares","Reserva Natural Vale.","-40.0722007751465","-19.3910999298096",NA,NA,"48094","Porte arbóreo, botão verde, flor branca, descamação em escamas, fuste cilindrica, superficie da casca lisa, altura total 6m, altura da fuste 5m, diâmetro da copa 3m.","HUFSJ003597","auto",NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-02-27 14:03:14-03","UFSJ","HUFSJ","3596","S","Plantae","Myrtaceae","Myrcia","riodocensis","Myrcia riodocensis","G.M.Barroso & Peixoto","Souza, MC","2005","11","22","Folli, DA","3197","1998","07","20","Brasil","Espírito Santo","Linhares","Reserva Natural Vale. Próximo a antigo viveiro de vasos ornamentais.","-40.0722007751465","-19.3910999298096",NA,NA,"48094","Porte arbustivo, botão marrom, flor branca.","HUFSJ003596","auto",NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-02-27 14:03:14-03","UFSJ","HUFSJ","3595","S","Plantae","Myrtaceae","Myrcia","riodocensis","Myrcia riodocensis","G.M.Barroso & Peixoto","Siqueira, GS","2005","12","28","Folli, DA","4866","2004","06","16","Brasil","Espírito Santo","Linhares","Reserva Natural Vale.","-40.0722007751465","-19.3910999298096",NA,NA,"48094","Porte arbóreo, botão marrom, flor branca, fuste cilindrica, superficie da casca lisa, altura total 5m, altura da fuste 2m, diâmetro da copa 3m.","HUFSJ003595","auto",NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-11-01 15:06:23-03","UnB","UB","191593","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","riodocensis","Myrcia riodocensis","G.M.Barroso & Peixoto",NA,"2012","03",NA,"Faria, JEQ; Staggemeier, VG; Siqueira, GS","2494","2012","03","29","Brasil","Espírito Santo","Linhares","Resereva Natural da Vale do Rio Doce, ao lado do viveiro de mudas","-40.057778","-19.136389","-40.057778","-19.136389",NA,"Árvore ca. 6 m de altura, caule avermelhado com placa descamante branca, botão floral verde; Mata de tabuleiro",NA,NA,"Dicotyledoneae",NA,NA,"44","44",NA,NA,"Southern America"
"26","2019-11-01 15:06:23-03","UnB","UB","183719","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","riodocensis","Myrcia riodocensis","G.M.Barroso & Peixoto",NA,"2012",NA,NA,"Staggemeier, VG","917","2012","10","30","Brasil","Espírito Santo","Linhares","Reserva da Companhia Vale do Rio Doce. Estrada que desce para o alojamento lado esquerdo.","-40.0722007751465","-19.3910999298096",NA,NA,"48094","Árvore 4m, botão e fruto verde (um só com cerca de 1.5cm).",NA,"auto","Dicotyledoneae",NA,NA,NA,NA,NA,NA,"Southern America"
"27","2019-11-21 10:12:19-03","IBt","SP","468467","S","Plantae","Myrtaceae","Myrcia","riodocensis","Myrcia riodocensis","G.M.Barroso & Peixoto",NA,NA,NA,NA,"Sucre, D","8269","1972","01","30","Brasil","Espírito Santo","Linhares","Docemade","-40.0722007751465","-19.3910999298096",NA,NA,"48094","Pequena árvore ca. 10 m alt., crescendo em mata de tabuleiro. Botões de cor verde. Córtex avermelhado papiráceo","SP002913","auto",NA,NA,"SP002913",NA,NA,"Isotype",NA,NA
