"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","298200","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrolobium","tomentosum","Centrolobium tomentosum","Guill. ex Benth.","R. C. Barneby","W. W. Thomas","11906","1999","02","01","South America","Brazil","Bahia","Jussari","Serra do Teimoso, 7.5 km N then W of Jussari on road to Palmira, then 2 km S to Fazenda Teimoso, Reserva da Fazenda Teimoso, southern end","-39.5233","-15.155","300","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=249573' target='other'> <mi>dwc_moreinfo</mi></a>","NY00298200","NY00298200_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","566454","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrolobium","tomentosum","Centrolobium tomentosum","Guill. ex Benth.","F. A. Cloclet","K. L. V. R. de Sá","17","1999","08","24","South America","Brazil","Paraná","Rancho Alegre","Fazenda Congonhas","-50.9131","-23.07",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=249571' target='other'> <mi>dwc_moreinfo</mi></a>","NY00566454","NY00566454_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00006381","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrolobium","tomentosum","Centrolobium tomentosum","Guill. ex Benth.",NA,"P. Clausen","879",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,"Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=249574' target='other'> <mi>dwc_moreinfo</mi></a>","NY00006381","NY00006381_01","isolectotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02636995","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrolobium","tomentosum","Centrolobium tomentosum","Guill. ex Benth.","R. S. Souza","G. S. Silva","462","2014","09","05","South America","Brazil","Bahia","Jiquiriçá","Fazenda Araçá.","-39.599806","-13.189306","579","579","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2657747' target='other'> <mi>dwc_moreinfo</mi></a>","NY02636995","NY02636995_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02636996","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrolobium","tomentosum","Centrolobium tomentosum","Guill. ex Benth.","R. S. Souza","G. S. Silva","462","2014","09","05","South America","Brazil","Bahia","Jiquiriçá","Fazenda Araçá.","-39.599806","-13.189306","579","579","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3494028' target='other'> <mi>dwc_moreinfo</mi></a>","NY02636996","NY02636996_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00006382","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrolobium","tomentosum","Centrolobium tomentosum","Guill. ex Benth.",NA,"P. Clausen","879",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,"Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=249575' target='other'> <mi>dwc_moreinfo</mi></a>","NY00006382","NY00006382_01","isolectotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-18 09:29:38-03","UNESP-IBB","BOTU","25936","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrolobium","tomentosum","Centrolobium tomentosum","Guillemin ex Benth.","Martins, M.V.","Martins, M.V.","72","2008","02","08",NA,"Brasil","São Paulo","Matão",NA,"-48.537222","-21.620556",NA,NA,NA,"árvore de 15m de altura","BOTU025936",NA,NA,"48°32'14w","21°37'14s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-18 09:29:38-03","UNESP-IBB","BOTU","19272","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrolobium","tomentosum","Centrolobium tomentosum","Guillemin ex Benth.",NA,"Grombone, M.T.","P3","1986","02","26",NA,"Brasil","São Paulo","Botucatu",NA,"-48.433333","-22.866667",NA,NA,NA,"Árvore com 10 m de altura e30 cm circunferência do solo de 40 cm, flores amarelas com leve perfume adocicado","BOTU019272",NA,NA,"48°26' w","22°52' s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-18 09:29:38-03","UNESP-IBB","BOTU","1555","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrolobium","tomentosum","Centrolobium tomentosum","Guillem. ex Benth.","Escobar, N.A.G.","Amaral Jr., A.","1707","1974","02","19",NA,"Brasil","São Paulo","Agudos",NA,NA,NA,NA,NA,NA,"Árvore de 7 m de altura, pétalas amarelas, cálice castanho-esverdeado escuro","BOTU001555",NA,NA,"9999","9999","2017","08","29",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-18 09:29:38-03","UNESP-IBB","BOTU","25728","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrolobium","tomentosum","Centrolobium tomentosum","Guillemin ex Benth.",NA,"Engel, V.L.",NA,"1991","07","04",NA,"Brasil","São Paulo","Botucatu","Edgardia",NA,NA,NA,NA,NA,"Habito:arboreo, habitat:mata mesofila, bordas da mata,frutos:samara, dap:30 cm. <ll>dwc_commonname:</ll> arariba amarelo","BOTU025728",NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
