"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","class","fieldNumber","typeStatus"
"1","2021-04-05 14:33:50-03","UNESC","CRI","13323","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","tetragona","Bifrenaria tetragona","(Lindl.) Schltr.","Alexandre Medeiros","2018","02","24","Alexandre Medeiros","2018","02","24","Brasil","Santa Catarina","Balneário Camboriú","Barra.","-48.637778","-27.001389","48º38'16''W","27º0'5''S","Coleta 866. Flor castanho. Habito: Epífita","CRI011930","CRI011930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","686272","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","tetragona","Bifrenaria tetragona","(Lindl.) Schltr.","F. C. Hoehne",NA,NA,NA,"A. Gehrt","1922","01","25","Brazil","São Paulo",NA,"Alto da Serra. Matta da Estação Biologica.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=830278' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686272","NY00686272_01","Magnoliophyta","Asparagales","7519","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-13 09:20:27-03","UFRJ","RFA","42918","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","tetragona","Bifrenaria tetragona","(Lindl.) Schltr.","M.S. Wängler",NA,NA,NA,"M.S. Wängler","2012","02","21","Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares. Morão","-43.375556","-22.446389","43º22'32''W","22º26'47''S","23 psedobulbos","RFA38924",NA,NA,NA,"1066",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-31 13:40:42-03","MN","R","35729","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","tetragona","Bifrenaria tetragona","(Lindl.) Schltr.","Koehler, S.","2002","05",NA,"Brade, A.C.","1932","01","24","Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,NA,NA,NA,"11321",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA
"5","2016-09-01 11:57:59-03","FFCLRP","LBMBP","1264","S","Plantae","Orchidaceae","Bifrenaria","tetragona","Bifrenaria tetragona","(Lindl.) Schltr.","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-01 11:57:59-03","FFCLRP","LBMBP","1268","S","Plantae","Orchidaceae","Bifrenaria","tetragona","Bifrenaria tetragona","(Lindl.) Schltr.","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:20:02-03","UNICAMP","UEC","117740","S","Plantae","Orchidaceae","Bifrenaria","calcarata","Bifrenaria calcarata","Barb.Rodr.",NA,NA,NA,NA,"Silva, EF","2000","03",NA,"Brazil","Bahia","Rio do Meio","Barra da Estiva",NA,NA,NA,NA,"Material coletado para extração de DNA. Data da floração: III/2000 e VII/2000.","UEC083084","UEC083084","Liliopsida",NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-08-20 10:00:33-03","UNICAMP","UEC","137620","S","Plantae","Orchidaceae","Bifrenaria","tetragona","Bifrenaria tetragona","(Lindl.) Schltr.","Koehler, S",NA,NA,NA,"Castro, VP",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"UEC083041","UEC083041","Liliopsida",NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-08-20 10:00:33-03","UNICAMP","UEC","137619","S","Plantae","Orchidaceae","Bifrenaria","tetragona","Bifrenaria tetragona","(Lindl.) Schltr.","Koehler, S",NA,NA,NA,"Miller, D",NA,NA,NA,"Brazil","Rio de Janeiro","Nova Friburgo","Macaé de Cima","-42.5311012268066","-22.2819004058838",NA,NA,NA,"UEC083042","UEC083042","Liliopsida",NA,"s.n.",NA,NA,"33190","auto",NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:20:02-03","UNICAMP","UEC","117749","S","Plantae","Orchidaceae","Bifrenaria","tetragona","Bifrenaria tetragona","(Lindl.) Schltr.",NA,NA,NA,NA,"Orquidário Binot",NA,NA,NA,"Brazil","Rio de Janeiro","Petrópolis",NA,"-43.1786003112793","-22.5049991607666",NA,NA,"Data de floração: 12/II/2000. Material coletado para extração de DNA.","UEC083039","UEC083039","Liliopsida",NA,"s.n.",NA,NA,"36524","auto",NA,NA,NA,NA,NA,NA
"11","2020-10-14 10:03:57-03","FURB","FURB","31104","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","tetragona","Bifrenaria tetragona","(Lindl.) Schltr.","Mancinelli, WS; Engels, ME; Smidt, EC","2012","04",NA,"Schmitt, J.L.; Caglioni, E.; Andrade, S. & Cristofolini, C.","2010","06","05","Brasil","Santa Catarina","Paulo Lopes","Sertão do Campo.","-48.7619444","-27.8788889","-48.7619444","-27.8788889","Epífita IFFSC e226b (Abaixo de 4m) Habitat: Floresta Ombrófila Densa; Estágio Avançado; mata ciliar Habito: epífita de arbórea; Fruto verde;","FURB04600","FURB04600",NA,NA,"2646",NA,NA,NA,NA,"180","180",NA,NA,NA,NA
"12","2020-10-14 10:03:57-03","FURB","FURB","53010","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","tetragona","Bifrenaria tetragona","(Lindl.) Schltr.","Menini, L.","2017","01","11","Caglioni, E.; Junckes, A. R.","2017","01","11","Brasil","Santa Catarina","Ilhota","Parque Botânico Morro do Baú.","-48.9338889","-26.8033333","-48.9338889","-26.8033333","Epífito coletado em dossel de floresta em estágio avaçado de conservação. Flores de coloração esverdeada com manchas vináceas Habitat: floresta em estágio avançado de regeneração. Habito: Epífito","FURB53010","FURB53010",NA,NA,"666",NA,NA,NA,NA,"540","540",NA,NA,NA,NA
"13","2020-12-21 16:38:16-03","MBM","MBM","406939","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","tetragona","Bifrenaria tetragona","(Lindl.) Schltr.",NA,NA,NA,NA,"Ariati, V.","2014","01","09","Brazil","Paraná",NA,"L.T. 230kv Joinville Norte - Curitiba C2 (Resgate)",NA,NA,NA,NA,"Cultivada até florir. Flor verde, labelo cor vinho, sépalas com listras cor vinho saindo da base.","MBM406939","MBM406939",NA,NA,"s.n.","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:38:16-03","MBM","MBM","9595","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","tetragona","Bifrenaria tetragona umbrophila","Hoehne","Pabst, G.",NA,NA,NA,"Hatschbach, G.; Koczicki, C.; Koczicki, C.","1969","01","14","Brazil","Paraná","Bocaiúva do Sul","RIo Capivari","-49.1150016784668","-25.2061004638672",NA,NA,NA,"MBM009595","MBM009595",NA,NA,"20715","Southern America",NA,"61623","auto",NA,NA,"umbrophila",NA,NA,NA
"15","2020-12-21 16:38:16-03","MBM","MBM","9595","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","tetragona","Bifrenaria tetragona umbrophila","Hoehne","Pabst, G.",NA,NA,NA,"Hatschbach, G.; Koczicki, C.; Koczicki, C.","1969","01","14","Brazil","Paraná","Bocaiúva do Sul","RIo Capivari","-49.1150016784668","-25.2061004638672",NA,NA,NA,"MBM009595","MBM009595",NA,NA,"20715","Southern America",NA,"61623","auto",NA,NA,"umbrophila",NA,NA,NA
"16","2020-07-10 09:48:08-03","MBML","MBML-HERBARIO","11160",NA,"Plantae","Orchidaceae","Bifrenaria","calcarata","Bifrenaria calcarata","Barb.Rodr.","L. Kollmann/25-03-2004",NA,NA,NA,"Cintia C. Chamas; et al","1994","05","20","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389","40W31'49","19S58'17","Epífita, folhas largas, flor única, pétala amarela, labelo branco e lilás. Mata de encosta, sol.","MBML011160","MBML011160",NA,NA,"160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-07-10 09:48:08-03","MBML","MBML-HERBARIO","12314",NA,"Plantae","Orchidaceae","Bifrenaria","calcarata","Bifrenaria calcarata","Barb.Rodr.","L. Kollmann/08-11-2000",NA,NA,NA,"L. Kollmann; et al","2000","03","30","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389","40W31'49","19S58'17","Mata de encosta. Epifita a 1m na sombra. Sepalos verdes com listras castanhas. Petalos amareados com manchas castanhas. Labelo branco com listras vinosas ate o calo, do calo ae o apice castanho avermelhado.","MBML012314","MBML012314",NA,NA,"2757",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-07-10 09:48:08-03","MBML","MBML-HERBARIO","12315",NA,"Plantae","Orchidaceae","Bifrenaria","calcarata","Bifrenaria calcarata","Barb.Rodr.","L. Kollmann/08-11-2000",NA,NA,NA,"L. Kollmann; et al","2000","04","06","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389","40W31'49","19S58'17","Mata de encosta. Epifita a 2m na sombra. Sepalos amarronzados por fora, esverdeados por dentro. Petalos esbranquicados. Labelo lilas.","MBML012315","MBML012315",NA,NA,"2820",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-07-10 09:48:08-03","MBML","MBML-HERBARIO","13330",NA,"Plantae","Orchidaceae","Bifrenaria","calcarata","Bifrenaria calcarata","Barb.Rodr.","L. Kollmann/01-11-2001",NA,NA,NA,"C. N. de Fraga; et al","1995","08","23","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389","40W31'49","19S58'17","Mata Atlântica em altitude de +/- 1000m na trilha do Sagui, próximo a parcela da Luciana. Pseudobulbos quadrangulares verde acastanhado, folha membranácea, flores laranjas com alguns pêlos no lobo central do labelo.","MBML013330","MBML013330",NA,NA,"223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-07-10 09:48:08-03","MBML","MBML-HERBARIO","14262",NA,"Plantae","Orchidaceae","Bifrenaria","calcarata","Bifrenaria calcarata","Barb.Rodr.","L. Kollmann/25-04-2001",NA,NA,NA,"L. Kollmann; et al","2001","04","25","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389","40W31'49","19S58'17","Epífita caída. Tépalas verdes amareladas. Labelo rosa com listras mas escuras. Herb/Cult.","MBML014262","MBML014262",NA,NA,"3615",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-07-10 09:48:08-03","MBML","MBML-HERBARIO","15390",NA,"Plantae","Orchidaceae","Bifrenaria","calcarata","Bifrenaria calcarata","Barb.Rodr.","L. Kollmann/25-09-2001",NA,NA,NA,"L. Kollmann; et al","2001","09","25","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075","40W33'11","19S54'27","Epífita na meia sombra. Flores amareladas (passadas).","MBML015390","MBML015390",NA,NA,"4715",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-07-10 09:48:08-03","MBML","MBML-HERBARIO","16891",NA,"Plantae","Orchidaceae","Bifrenaria","calcarata","Bifrenaria calcarata","Barb.Rodr.","L. Kollmann/25-03-2004",NA,NA,NA,"R.R. Vervloet; et al","2002","04","03","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075","40W33'11","19S54'27","Epífita, a 5m, sépalas verde oliva,pétalas branca com tons rosa, labelo parte superior rosa, inferior branca. Lado esquerdo da trilha.","MBML016891","MBML016891",NA,NA,"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
