"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","year","month","day","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordNumber","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","phylum","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","individualCount","fieldNumber","typeStatus","maximumElevationInMeters","preparationType"
"1","2020-02-08 10:19:04-03","NBC","NL-BOTANY","L.1295659","PreservedSpecimen","Plantae","Magnoliopsidae","Poales","Gramineae","Panicum","spathellosum","Panicum spathellosum","Döll","Sellow F","Southern America","Brazil","Brasilia.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1295659 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1295659","NL-L1295659",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:19:04-03","NBC","NL-BOTANY","U.1501594","PreservedSpecimen","Plantae","Magnoliopsidae","Poales","Gramineae","Panicum","spathellosum","Panicum spathellosum","Döll","Renvoize SA; Wilmot-Dear CM; Zuloaga FO","Southern America","Argentina","Misiones, Candelaria, Villa Venecia.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1501594 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1501594","NL-U1501594","1978","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:19:04-03","NBC","NL-BOTANY","U.1501595","PreservedSpecimen","Plantae","Magnoliopsidae","Poales","Gramineae","Panicum","spathellosum","Panicum spathellosum","Döll","Renvoize SA; Wilmot-Dear CM; Saenz A","Southern America","Argentina","Misiones, Monte Carlo, Puerto Piray, among rocks beside river near Km. 45 on Cellulosa Estate.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1501595 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1501595","NL-U1501595","1978","10","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-07 11:47:43-03","UFMS","CGMS","27075","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Steinchisma","spathellosum","Steinchisma spathellosum","(Döll) Renvoize","C.R. Grippa; T.B. Guimarães",NA,"Brasil","Rio Tijolos.","Habitat: Fenda de rocha na margem e no meio do rio. Habito: Erva.","CGMS1056517",NA,"2007","12","16","A. Guglieri","2009","06","26","1470","Santa Catarina","Cerro Negro","-50.8758010864258","-27.7952995300293","26434","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-07 11:47:43-03","UFMS","CGMS","25101","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Steinchisma","spathellosum","Steinchisma spathellosum","(Döll) Renvoize","C.R. Grippa; T.B. Guimarães",NA,"Brasil","Rio Tijolos.","Coordenadas: UTM 506400/6910470 e 506432/6910843. Habitat: Fenda de rocha na margem e no meio do rio. Habito: Erva. 0,60m de altura.","CGMS1054525",NA,"2007","12","16","A. Guglieri","2009","06","26","1470","Santa Catarina","Cerro Negro","-50.8758010864258","-27.7952995300293","26434","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:20:43-03","UNICAMP","UEC","203191","S","Plantae",NA,NA,"Poaceae","Steinchisma","spathellosum","Steinchisma spathellosum","(Döll) Renvoize","Oliveira, RC; Valls, JFM; Carvalho, AM",NA,"Brazil","Brasil, Goías, Alto Paraíso, Distrito de São Jorge, Vale da Lua.","Cerrado rupestre.Relevo acidentado.Substrato em rocha sedimentar.","UEC106097","UEC106097","2010","06","29","Valls, JFM","2010","07","01","2534","Goiás","Alto Paraíso de Goiás","-47.790278","-14.1875",NA,NA,"Liliopsida","-47.790278","-14.1875",NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:41:04-03","MBM","MBM","322453","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Steinchisma","spathellosum","Steinchisma spathellosum","(Döll) Renvoize","Aguayo, A.","Southern America","Paraguay","Parque Nacional Ybycu'í","Hierba 1,30 m, espigas violáceas.; Bosque, sendero a la Laguna.","MBM322453","MBM322453","1989","01","15","Zuloaga, F.O.","1990",NA,NA,"58","Paraguari",NA,"-56.833333","-26.05",NA,NA,NA,"-56.833333","-26.05",NA,NA,NA,NA,NA,NA
"8","2020-10-01 14:27:09-03","JBB","HEPH","36337","S","Plantae",NA,"Poales","Poaceae","Steinchisma","spathellosum","Steinchisma spathellosum","(Döll) Renvoize","Oliveira, RC; Valls, JFM; Carvalho, AM de","Southern America","Brasil","Distrito de São Jorge, Vale da Lua",NA,NA,NA,"2010","06","29","Valls, JFM","2010","07","01","2534","Goiás","Alto Paraíso de Goiás","-47.790278","-14.1875",NA,NA,"Monocotyledon","-47.790278","-14.1875",NA,NA,NA,NA,NA,NA
"9","2021-02-11 17:21:19-03","UFPR","UPCB","44826","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Panicum","spathellosum","Panicum spathellosum","Doell","Tressens, S.G.",NA,"Argentina","Misiones, Dep. Guaraní, predio Guaraní, Arroyo Soberbio, ca. del límite con IPS","Hierba, sobre tronco en descomposición. Borde de arroyo..","UPCB0039337","UPCB0039337","1999","11","03","López, M.G.","2000","07",NA,"6512","Misiones","Guaraní",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2010-04-23 21:39:00-03","MO","MOBOT","2233236","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Panicum","spathellosum","Panicum spathellosum","Döll","Osvaldo Morrone|Norma B. Deginani|M. Mónica Ponce|Diego Giraldo-Cañas","South America","Argentina","Ruta Nac. 101, 8 Km de Bernardo de Irigoyen hacia San Antonio, Salto Andrecito",NA,NA,NA,"1996","10","15","Zuloaga, F. O., /07/",NA,NA,NA,"Morrone 1395","Misiones","General Manuel Belgrano","-53.66666","-26.2",NA,NA,NA,NA,NA,"690.00000000",NA,NA,NA,NA,NA
"11","2010-04-23 21:39:00-03","MO","MOBOT","2233248","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Panicum","spathellosum","Panicum spathellosum","Döll","Osvaldo Morrone|Norma B. Deginani|M. Mónica Ponce|Diego Giraldo-Cañas","South America","Argentina","Parq. Nac. Iguazú, pasarelas inferiores de Cataratas",NA,NA,NA,"1996","10","12","Zuloaga, F. O. & Morrone, O., /07/",NA,NA,NA,"Morrone 1224","Misiones","Iguazú","-54.43333","-25.66666",NA,NA,NA,NA,NA,"270.00000000",NA,NA,NA,NA,NA
"12","2016-11-15 05:15:00-02","MO","MOBOT","2248864","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Panicum","spathellosum","Panicum spathellosum","Döll","Antonio C. Krapovickas|et al.","South America","Argentina","Profundidad",NA,NA,NA,"1974","9","19","Zuloaga, F. O.",NA,NA,NA,"Krapovickas 25716","Misiones","Candelaria","-55.7","-27.56666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2009-11-09 18:57:00-02","MO","MOBOT","2248880","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Panicum","spathellosum","Panicum spathellosum","Döll","Angel L. Cabrera|et al.","South America","Argentina","Entre Bonpland y Santa Ana, Arroyo Maquinal",NA,NA,NA,"1978","8","24","Zuloaga, F. O.",NA,NA,NA,"Cabrera 29472","Misiones","Candelaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-07-06 13:53:00-03","MO","MOBOT","2248891","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Panicum","spathellosum","Panicum spathellosum","Döll","Angel L. Cabrera|et al.","South America","Argentina","Cataratas",NA,NA,NA,"1977","10",NA,"Zuloaga, F. O.",NA,NA,NA,"Cabrera 28934","Misiones","Iguazú","-54.45","-25.68333",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"15","2020-07-06 13:59:00-03","MO","MOBOT","2248913","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Panicum","spathellosum","Panicum spathellosum","Döll","Angel L. Cabrera|et al.","South America","Argentina","Güemes entre San José y Cerro Azul",NA,NA,NA,"1977","10",NA,"Zuloaga, F. O.",NA,NA,NA,"Cabrera 28631","Misiones","Leandro N. Alem",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"16","2018-07-03 15:49:00-03","MO","MOBOT","2248947","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Panicum","spathellosum","Panicum spathellosum","Döll","Bernadino S. Bertoni","South America","Argentina","Arroyo Liso.",NA,NA,NA,"1945","11","20","Zuloaga, F. O.",NA,NA,NA,"Bertoni 2003","Misiones","San Pedro",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"17","2010-08-24 09:46:00-03","MO","MOBOT","225979","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Panicum","spathellosum","Panicum spathellosum","Döll","F. Sellow","South America","Brazil",NA,NA,NA,NA,"1814",NA,NA,NA,NA,NA,NA,"Sellow s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2009-10-24 09:08:00-02","MO","MOBOT","2291515","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Panicum","spathellosum","Panicum spathellosum","Döll","Fernando O. Zuloaga|et al.","South America","Argentina","Apóstoles a Concepción de la Sierra, Arroyo las Tunas",NA,NA,NA,"1987","11","26","Zuloaga, F. O.",NA,NA,NA,"Zuloaga 3244","Misiones","Apóstoles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
