"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","monthIdentified","class","individualCount","county","dayIdentified","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","642290","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Nyctaginaceae","Belemia","fucsioides","Belemia fucsioides","Pires","C. Farney","A. P. Duarte","3704","1953","11","06","South America","Brazil","Espírito Santo","Entre Córrego da Preguica e Rio Preto. Norte do Estado do E. Santo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=283216' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642290","NY00642290_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","642291","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Nyctaginaceae","Belemia","fucsioides","Belemia fucsioides","Pires","J. A. Kallunki","R. P. Belém","3796","1968","06","30","South America","Brazil","Minas Gerais","Margem da Rodovia Teófilo Otoni. Nanuque. Zona calcárea","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=283217' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642291","NY00642291_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","342017","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Nyctaginaceae","Belemia","fucsioides","Belemia fucsioides","Pires",NA,"R. P. Belém","1460",NA,NA,NA,"South America","Brazil","Espírito Santo","Rodovia BR-5, 5 km. S de Morro-Danta. Beira da estrada","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=283218' target='other'> <mi>dwc_moreinfo</mi></a>","NY00342017","NY00342017_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:46:09-03","EAO","IAN","125168","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Nyctaginaceae","Belemia","fucsioides","Belemia fucsioides","Pires","Sá, CF de","Belém, RP","3796","1968","06","30","Southern America","Brasil","Minas Gerais","Margem da rodovia Teófilo Otoni, Manuque, zona cálcarea.",NA,"Cipó, corola vermelha, estames róseos, ovário verde.","IAN125168",NA,NA,"1988","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:55:18-03","NBC","NL-BOTANY","U.1439854","PreservedSpecimen","Plantae",NA,"Caryophyllales","Nyctaginaceae","Belemia","fucsioides","Belemia fucsioides","Pires",NA,"Belém RP",NA,"1968","06","30","Southern America","Brazil",NA,"Regiao Bahia- Espirito Santo. Minas Gerais. Margem da Rodovia Teofilo Otoni.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1439854 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1439854","NL-U1439854",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:55:18-03","NBC","NL-BOTANY","U.1439855","PreservedSpecimen","Plantae",NA,"Caryophyllales","Nyctaginaceae","Belemia","fucsioides","Belemia fucsioides","Pires",NA,"Lanna Sobrinho JP",NA,"1965","08","08","Southern America","Brazil",NA,"Espirito Santo, Morro Dantas, BR-5.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1439855 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1439855","NL-U1439855",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:55:18-03","NBC","NL-BOTANY","U.1439856","PreservedSpecimen","Plantae",NA,"Caryophyllales","Nyctaginaceae","Belemia","fucsioides","Belemia fucsioides","Pires",NA,"Belém RP",NA,"1968","06","30","Southern America","Brazil",NA,"Regiao Bahia- Espirito Santo. Minas Gerais. Margem da Rodovia Teofilo Otoni.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1439856 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1439856","NL-U1439856",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2013-12-01 05:44:00-02","MO","MOBOT","100174487","PreservedSpecimen","Plantae",NA,NA,"Nyctaginaceae","Belemia","fucsioides","Belemia fucsioides","Pires","J. Kallunki","Romeu P. Belém","Belém 3796","1968","6","30","South America","Brazil","Minas Gerais","Margem da Rodovia Teófilo Otoni. Manuque. Zona calcárea.",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-08-31 09:17:52-03","INPA","INPA","142245","S","Plantae","Dicotyledon Superasterids","Caryophyllales","Nyctaginaceae","Belemia","fucsioides","Belemia fucsioides","Pires","Farney, C de S.","Duarte, AP","3704","1953","11","06","Southern America","Brasil","Espírito Santo","Córrego da Preguiça, Entre o Córrego do Preguiça e Rio Preto, Norte do Estado de Espírito Santo.",NA,NA,"INPA0142245","INPA0142245 INPA0142245_e",NA,"1985","02",NA,NA,"Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-25 10:11:44-03","CVRD","CVRD","12793","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Nyctaginaceae","Belemia","fucsioides","Belemia fucsioides","Pires","Pedro Fiaschi","Folli, D.A.","6510","2009","12","09","América do Sul","BRASIL","ES",NA,NA,"<ll>dwc_commonname:</ll> Cipó sino","CVRD012793",NA,NA,"2016","08","Magnoliopsida",NA,"Pinheiros","20","-40.153012","-18.370578","-40,153012","-18,370578","81","81",NA
"11","2020-07-23 12:16:37-03","CEPLAC","CEPEC","1289","PreservedSpecimen","Plantae",NA,NA,"Nyctaginaceae","Belemia","fucsioides","Belemia fucsioides",NA,"J. M. Pires","R. P. Belém","1460","1965","08","09",NA,"Brasil","Espírito Santo","Rodovia BR-5, 5Km ao S de Morro danta.",NA,NA,NA,NA,"Isótipo",NA,NA,NA,NA,"MORRO DANTA",NA,NA,NA,NA,NA,NA,NA,"30/11/1978"
"12","2019-11-01 15:07:01-03","UnB","UB","2003","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Nyctaginaceae","Belemia","fucsioides","Belemia fucsioides","Pires","Incógnito","Belém, RP","1460","1965","08","09","Southern America","Brasil","Espírito Santo","Rodovia BR 05, 5km S de Morro-Danta",NA,"Tipo.; Trepadeira. Flor rósea; Beira de estrada.","UB0040108","UB0040108","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
