"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","typeStatus","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","01195760","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","bahiensis","Begonia bahiensis","A.DC.","S. F. Smith","J. G. Jardim","1752","1998","04","10","South America","Brazil","Bahia","Jussari","Rod. Jussari/Palmeira, entrada ca. 7,5 km percorrendo mais 1,7 km até a sede da Faz. Teimoso. Serra do Teimoso, Reserva Particular do Patrimônio Natural Serra do Teimoso","-39.58","-15.17","300","450","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1398536' target='other'> <mi>dwc_moreinfo</mi></a>","NY01195760","NY01195760_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00750034","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","bahiensis","Begonia bahiensis","A.DC.","S. F. Smith","P. Fiaschi","1203","2002","12","01","South America","Brazil","Bahia","Jussari","Estrada Jussari-Palmira, entrada à esquerda ca. 7.5 km. Fazenda Teimosos. RPPN Serra do Teimoso","-39.5286111","-15.1580556",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=913016' target='other'> <mi>dwc_moreinfo</mi></a>","NY00750034","NY00750034_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","453855","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","bahiensis","Begonia bahiensis","A.DC.","D. C. Wasshausen","J. A. Kallunki","437","1993","02","04","South America","Brazil","Bahia","Jussari","Ca. 7 km NW of Jussari on road to Palmira, Fazenda Santo Antonio","-39.53","-15.13",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=351450' target='other'> <mi>dwc_moreinfo</mi></a>","NY00453855","NY00453855_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","821915","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","bahiensis","Begonia bahiensis","A.DC.","S. F. Smith","P. Fiaschi","1063","2002","09","18","South America","Brazil","Bahia","Jussari","Fazenda São Roque, 2.5 km N da estrada de Palmeira a Itajú de Colônia","-39.57","-15.13",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=908541' target='other'> <mi>dwc_moreinfo</mi></a>","NY00821915","NY00821915_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","453857","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","bahiensis","Begonia bahiensis","A.DC.","L. B. Smith","A. M. V. de Carvalho","2019","1983","11","03","South America","Brazil","Bahia","Itamarajú","Faz. Pau-Brasil. Entrada no km 5 da Rod. Itamarajú/Eunápolis","-39.5676631","-16.9808834","160","160","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=351459' target='other'> <mi>dwc_moreinfo</mi></a>","NY00453857","NY00453857_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","634357","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","bahiensis","Begonia bahiensis","A.DC.","S. F. Smith","J. G. Jardim","1496","1998","02","04","South America","Brazil","Bahia","Jussari","Rod. Jussari/Palmira. Entrada ca 7.5 km percorrendo mais 1.7 km até a sede da Faz. Teimoso. Serra do Teimoso. RPPN Serra do Teimoso","-39.58","-15.17","300","450","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=351457' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634357","NY00634357_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","453854","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","bahiensis","Begonia bahiensis","A.DC.","S. F. Smith","W. W. Thomas","10188","1993","10","28","South America","Brazil","Bahia","Una","8.4 km east of BR 101 on road to Sao José and Una, then 2.1 km south up logging road, then up facing slope to forest at crest of mountain","-39.27","-15.1",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=351451' target='other'> <mi>dwc_moreinfo</mi></a>","NY00453854","NY00453854_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1419232","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","bahiensis","Begonia bahiensis","A.DC.","S. F. Smith","F. S. Juchum","48","2000","09","22","South America","Brazil","Bahia","Uruçuca","Reserva Gregório Bondar, área da EMARC","-39.2742","-14.6022",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1225839' target='other'> <mi>dwc_moreinfo</mi></a>","NY01419232","NY01419232_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","565003","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","bahiensis","Begonia bahiensis","A.DC.","S. F. Smith","J. L. Paixão","92","1998","11","18","South America","Brazil","Bahia","Ilhéus","Area do CEPEC, km 22 da Rod. Ilhéus/Itabuna (BR 415). Quadra do Arboreto","-39.2273659","-14.771874",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=351454' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565003","NY00565003_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01018515","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","bahiensis","Begonia bahiensis","A.DC.","P. Moonlight","J. G. Jardim","1734","1998","04","10","South America","Brazil","Bahia","Jussari","Rod. Jussari/Palmeira, entrada ca. 7.5 km percorrendo mais 1.7 km até a sede da Faze. Teimoso. Serra do Teimoso, Reserva Particular do Patrimônio Natural Serra do Tei moso.","-39.58","-15.17","300","450","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1260135' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018515","NY01018515_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
