"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","locality","identifiedBy","yearIdentified","class","relatedCatalogItem","fieldNumber","individualCount","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","984","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Qualea","clavata","Qualea clavata","Stafleu","isotype","W. A. Ducke","1061","1942","10","16","South America","Brazil","Amazonas","São Paulo de Olivença","-68.8724975585938","-3.37832999229431","362329","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=221101' target='other'> <mi>dwc_moreinfo</mi></a>","NY00000984","NY00000984_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-30 20:07:00-03","NY","NYBG","02361031","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Ruizterania","clavata","Ruizterania clavata",NA,NA,"I. L. do Amaral","1289","1983","05","18","South America","Brazil","Pará","Itaituba","-55.666667","-5.916667",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2572635' target='other'> <mi>dwc_moreinfo</mi></a>","NY02361031","NY02361031_01",NA,"Estrada Santarém-Cuiabá, BR 163, km 1208, Serra Mazi, sul do Pará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:50:38-03","EAO","IAN","10604","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Vochysiaceae","Qualea","clavata","Qualea clavata","Stafleu",NA,"Ducke, A","1061","1942","10","16","Southern America","Brasil","Amazonas","São Paulo de Olivença","-68.8724975585938","-3.37832999229431","362329",NA,"Árvore grande; pétala branca com pequenos sinais alaranjados.","IAN010604","IAN010604 IAN010604_e","auto","Mata de terra firme.","Stafleu, FA","1951",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:08:10-03","NBC","NL-BOTANY","U 0007110","PreservedSpecimen","Plantae",NA,"Myrtales","Vochysiaceae","Qualea","clavata","Qualea clavata","Stafleu","type","Ducke A",NA,"1931","10","05","Southern America","Brazil","Amazonas",NA,NA,NA,NA,NA,"silva non inundabili<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200007110 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0007110","NL-U0007110",NA,"Sao Paulo de Olivença (Rio Solimoes, civ. Amazonas)","Stafleu FA",NA,"Magnoliopsidae","13160 A",NA,NA,NA,NA,NA,NA
"5","2013-04-01 09:19:32-03","IPT","BCTW","19469","S","Plantae","Magnoliophyta",NA,NA,"Qualea","clavata","Qualea clavata","Stafleu",NA,"Loureiro, A.A.",NA,"1965","10","14",NA,"Brasil","Amazonas","Manaus","-60.025","-3.10194","138090",NA,"Madeira dura, pesada, cerne alaranjado com alburno creme, casca grossa escura com pobtos creme. Árvore de 30 metros e 50 cm diâmetro.Solo arenoso.",NA,NA,"auto","Reserva Florestal Adolpho Ducke, picada III, 1740 metros","M.F.Silva & L.Coelho",NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,NA
"6","2013-04-01 09:19:32-03","IPT","BCTW","16302","S","Plantae","Magnoliophyta",NA,NA,"Qualea","clavata","Qualea clavata","Stafleu",NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas","Manaus","-60.025","-3.10194","138090",NA,NA,NA,NA,"auto","Reserva Florestal Adolpho Ducke, picada III 2740 m","M.F. Silva & L. Coelho",NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,NA
"7","2015-10-03 07:19:40-03","MNHN","RECOLNAT_MNHN_P","P00733781","PreservedSpecimen",NA,NA,NA,"Vochysiaceae","Ruizterania","clavata","Ruizterania clavata","(Stafleu) Marc.-Berti","isotype","Ducke, A.",NA,"1931","10","5",NA,"brésil",NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00733781' target='other'> <mi>dwc_moreinfo</mi></a>","P00733781","P00733781_01",NA,"Sao Paulo de Olivença (Rio Solimoes, cir. Amazonas)","Marcano-Berti",NA,NA,NA,"23793",NA,NA,NA,NA,NA
"8","2010-12-22 13:53:00-02","MO","MOBOT","100331919","PreservedSpecimen","Plantae",NA,NA,"Vochysiaceae","Ruizterania","clavata","Ruizterania clavata","(Stafleu) Marc.-Berti",NA,"A. Ducke","Ducke 1161","1942","10","16","South America","Brazil","Amazonas","São Paulo de Olivença","-68.8724975585938","-3.37832999229431","362329",NA,NA,NA,NA,"auto",NA,"L. Marcano",NA,NA,NA,NA,"1",NA,NA,NA,NA
"9","2014-04-08 05:36:00-03","MO","MOBOT","2906471","PreservedSpecimen","Plantae",NA,NA,"Vochysiaceae","Ruizterania","clavata","Ruizterania clavata","(Stafleu) Marc.-Berti",NA,"Ieda L. do Amaral|M.N. Silva|O.P. Monteiro|J. Lima|Lois Brako|William D. Reese|M. Dibben","Amaral 1289","1983","5","18","South America","Brazil","Pará",NA,"-55.66666","-5.91666",NA,NA,NA,NA,NA,NA,"Município de Itaituba, estrada Santarèm-Cuiabá, BR 163, km 1208, Serra Mazi, sul do Pará. Mata alta de terra firme, solo argilo-pedregoso.","M.L. Kawasaki",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-08-31 09:08:22-03","INPA","INPA","278875","S","Plantae","Dicotyledon Com-Clade","Myrtales","Vochysiaceae","Qualea","clavata","Qualea clavata","Stafleu",NA,"Campos, P","1224","2016","07","13","Southern America","Brasil","Amazonas","Manaus","-60.229094","-2.843859",NA,NA,NA,"INPA0278875",NA,NA,"Igarapé Tarumã-Mirim, Comunidade Vale do Novo Amanhecer. Parcela Pc7. Subparcela 27.","Assunção, PACL","2017",NA,NA,NA,NA,"02","20","-60.229094","-2.843859"
"11","2021-01-10 20:47:11-03","INPA","INPA","16183","S","Plantae","Dicotyledon Com-Clade","Myrtales","Vochysiaceae","Ruizterania","clavata","Ruizterania clavata","(Stafleu) Marc.-Berti",NA,"Loureiro, AA","INPA16183","1965","10",NA,"Southern America","Brasil","Amazonas","Manaus","-59.966667","-2.883333",NA,NA,NA,"INPA0016183","INPA0016183 INPA0016183_1 INPA0016183_e INPA0016183_e1 INPA0016183_e1e",NA,"Reserva Florestal Adolfo Ducke, Reserva Florestal Ducke, picada 3, 2740","Coêlho, LF; Silva, MF da","1980",NA,NA,NA,NA,"11",NA,"-59.966667","-2.883333"
"12","2021-01-10 20:47:11-03","INPA","INPA","20742","S","Plantae","Dicotyledon Com-Clade","Myrtales","Vochysiaceae","Ruizterania","clavata","Ruizterania clavata","(Stafleu) Marc.-Berti",NA,"Coêlho, DF","INPA20742","1967","08","24","Southern America","Brasil","Amazonas","Manaus","-59.966667","-2.883333",NA,NA,NA,"INPA0020742","INPA0020742 INPA0020742_e INPA0020742_e1",NA,"Reserva Florestal Adolfo Ducke, Picada A do levantamento feito pelo Dr. Vivaldo.","Coêlho, LF; Silva, MF da","1980",NA,NA,NA,NA,"11",NA,"-59.966667","-2.883333"
