"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","day","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","identifiedBy","yearIdentified","minimumElevationInMeters","maximumElevationInMeters","class","monthIdentified","dayIdentified","relatedCatalogItem","fieldNumber","individualCount"
"1","2016-09-27 15:13:00-03","NY","NYBG","406597","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Crumenaria","choretroides","hirtella","Crumenaria choretroides hirtella","Hassl.","possible type","E. Hassler","10637","1907","09","South America","Paraguay","In altaplanitie et declivibus Sierra de Amambay. Custos herbarii nostri T. Rojas.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=313101' target='other'> <mi>dwc_moreinfo</mi></a>","NY00406597","NY00406597_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:32:12-03","UFRJ","RFA","11303","PreservedSpecimen","Plantae",NA,NA,"Rhamnaceae","Crumenaria","choretroides",NA,"Crumenaria choretroides","Mart. ex Reissek",NA,"P. Occhioni","4758","1971","11",NA,"Brasil","Vila Velha",NA,"Herbácea de 20 a 30cm flores alvas","RFA11034",NA,"09","Paraná","Ponta Grossa","-50.1618995666504","-25.0949993133545","46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-13 09:20:47-03","UFRJ","RFA","6886","PreservedSpecimen","Plantae",NA,NA,"Rhamnaceae","Crumenaria","choretroides",NA,"Crumenaria choretroides","Mart. ex Reissek",NA,"A.P. Duarte","4508","1958","12",NA,"Brasil","Serra do Cipó, Chapéu de Sol",NA,NA,"RFA26632",NA,NA,"Minas Gerais","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:47:27-03","EAO","IAN","145073","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rhamnaceae","Crumenaria","choretroides",NA,"Crumenaria choretroides","Mart.",NA,"Ratter, JA; Santos, RR dos","1963","1968","06","Southern America","Brasil","8km NE of the base Camp of the Expedition (Base Camp, c. 270km N of Xavantina).",NA,"Growing in short grassy campo which has recently been buraed.","IAN145073",NA,"25","Mato Grosso","Xavantina","-51.866667","-12.9",NA,NA,"-51.866667","-12.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:47:27-03","EAO","IAN","145260","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rhamnaceae","Crumenaria","choretroides",NA,"Crumenaria choretroides","Mart.",NA,"Richards, PW","s.n.","1968","08","Southern America","Brasil","Campo at S end of R 11, Base Camp Square.",NA,"Recently burnt moist campo on shale. Flowers white.","IAN145260",NA,"06","Mato Grosso","Xavantina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:47:27-03","EAO","IAN","153888","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rhamnaceae","Crumenaria","choretroides",NA,"Crumenaria choretroides","Mart.",NA,"Irwin, HS; Souza, R","7944","1965","09","Southern America","Brasil","Chapada da Contagem , cerrado recently burned over.",NA,"Herb with many flattened stems from thickened vertical root. Flowers cream.","IAN153888",NA,"04","Distrito Federal",NA,NA,NA,NA,NA,NA,NA,"Kallunki, JA","1976","1000","1000",NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:25:53-03","NBC","NL-BOTANY","U.1556811","PreservedSpecimen","Plantae",NA,"Rosales","Rhamnaceae","Crumenaria","choretroides",NA,"Crumenaria choretroides","Mart. ex Reissek",NA,"Oldenburger FHF; Mecenas VV",NA,"1975","11","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1556811 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1556811","NL-U1556811","13","Distrito Federal",NA,NA,NA,NA,NA,NA,NA,"Lima R","2003",NA,NA,"Magnoliopsidae","04","01","U 0081358",NA,NA
"8","2020-02-08 10:25:53-03","NBC","NL-BOTANY","U.1556812","PreservedSpecimen","Plantae",NA,"Rosales","Rhamnaceae","Crumenaria","choretroides",NA,"Crumenaria choretroides","Mart. ex Reissek",NA,"Prance GT",NA,"1973","10","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1556812 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1556812","NL-U1556812","16","Mato Grosso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,"U 0028018",NA,NA
"9","2020-02-08 10:25:53-03","NBC","NL-BOTANY","WAG.1539560","PreservedSpecimen","Plantae",NA,"Rosales","Rhamnaceae","Crumenaria","choretroides",NA,"Crumenaria choretroides","Mart. ex Reissek",NA,"Irwin HS; Soderstrom TR",NA,"1964","10","Southern America","Brazil","Among grasses on burned-over campo slopes, ca. 33km S. of Caiaponia on road to Jataì.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1539560 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1539560","NL-WAG1539560","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"10","2020-11-04 11:17:56-03","ESALQ","ESA","89223","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rhamnaceae","Crumenaria","choretroides",NA,"Crumenaria choretroides",NA,NA,"Souza, V.C.","30050.0","2004","10",NA,"Brasil","Cerca de 40 km de Cuiabá em direção a Chapada dos Guimarães. Restaurante Vale Verde. Cerrado pedregoso.",NA,"Subarbusto, ca. 40 cm alt.; flores alvas.","ESA089223","ESA089223","20","Mato Grosso","Cuiabá","-56.0966987609863","-15.5960998535156","74875","auto",NA,NA,"Souza, V.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA
