"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","typeStatus","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","class","individualCount","fieldNumber","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1009423","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","ludowigii","Cupania ludowigii","Somner & Ferrucci","L. de S. Leoni","5511","2003","10","30","South America","Brazil","Minas Gerais","Carangola","Córrego de Lage.","-42.0293998718262","-20.7331008911133","21913","530","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1747600' target='other'> <mi>dwc_moreinfo</mi></a>","NY01009423","NY01009423_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1365210","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","ludowigii","Cupania ludowigii","Somner & Ferrucci","J. M. A. Braga","2447","1995","06","01","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional de Itatiaia, proximidade do abrigo III, beira de estrada","-44.5667","-22.25",NA,"660","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1711479' target='other'> <mi>dwc_moreinfo</mi></a>","NY01365210","NY01365210_01",NA,"paratype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1009425","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","ludowigii","Cupania ludowigii","Somner & Ferrucci","L. de S. Leoni","5604","2004","02",NA,"South America","Brazil","Minas Gerais","Carangola","Córrego de Lage. Ao lado da estrada.","-42.0293998718262","-20.7331008911133","21913","580","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1747726' target='other'> <mi>dwc_moreinfo</mi></a>","NY01009425",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:20:54-03","UFRJ","RFA","24467","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Cupania","ludowigii","Cupania ludowigii","Somner & Ferrucci","F. M. de B. Pereira","83/11","2000","05","12",NA,"Brasil","Rio de Janeiro","Sapucaia","3º distrito, Fazenda Selo Verde","-42.849722","-22.090833",NA,"758",NA,"Arbusto com 5,0m de altura e DAP de 16cm, frutos verdes, folhas verdes e caule cinza, comum no local","RFA29421",NA,NA,NA,"G. V. Sommer","2010","04","08","42º50'59''W","22º5'27''S","758",NA,NA,NA,NA
"5","2020-11-13 09:20:55-03","UFRJ","RFA","27600","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Cupania","ludowigii","Cupania ludowigii","Somner & Ferrucci","A. Quinet","21/88","2001","04","15",NA,"Brasil","São Paulo","Bananal","Sertão da Joaquina","-44.265","-22.811667",NA,"950",NA,"Árvore, 10m de altura, 88cm de DAP, folha concolor verde, fruto imaturo verde, comum no local","RFA29422",NA,NA,NA,"G. V. Sommer","2010","04","08","44º15'54''W","22º48'42''S","950",NA,NA,NA,NA
"6","2019-10-09 11:24:37-03","UFBA","ALCB","044006","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapindaceae","Cupania","ludowigii","Cupania ludowigii","Somner & Ferrucci","Passos Júnior, LA; Guedes, ML; et al.","342","1999","08","08","Southern America","Brasil","Bahia","Ibicoara","Chapada Diamantina, Fazenda Ribeirão da Serra, margem do Rio Sincor , ca. de 2 Km a Nordeste da sede","-41.283333","-13.4",NA,"900",NA,"7,0 m. Folhas cart ceas discolores. Frutos imaturos. Comum. Indiv¡duos n§ 177, 185, 186, 188, 190, 191, 193, 194, 195, 198, 199, 200, 202, 204, 208, 211, 218.; com porte arbustivo-arb¢reo médio de 7,50 m. Solo areno-argiloso.","ALCB066721",NA,NA,NA,"Ferrucci, MS; Perdiz, R","2010","11","16","-41.283333","-13.4","900",NA,NA,NA,NA
"7","2019-10-09 11:24:37-03","UFBA","ALCB","53832","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapindaceae","Cupania","ludowigii","Cupania ludowigii","Somner & Ferrucci","Guedes, ML; Santana, DL; Loureiro, DM; Alves, L. de J.","8877","2001","05","21","Southern America","Brasil","Bahia","Bonito","Chapada Diamantina, Sede provisória do assentamento Santa Terezinha","-41.332778","-12.096111",NA,NA,NA,"6,0m. Folhas coriáceas, discolores. Frutos imaturos verdes. Frequente.; Área antropizada.","ALCB066720",NA,NA,NA,"Ferrucci, MS","2010","11","16","-41.332778","-12.096111",NA,NA,NA,NA,NA
"8","2019-10-09 11:24:37-03","UFBA","ALCB","78102","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapindaceae","Cupania","ludowigii","Cupania ludowigii","Somner & Ferrucci","Guedes, ML; Alunos de Botânica Econômica","13315","2007","05","01","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Próximo ao cemitério","-41.340833","-12.988333",NA,"1200",NA,"de ca 4m. Folhas com foliolos coriáceos, discolores. Frutos imaturos verdes. Ocasional.","ALCB066723",NA,NA,NA,"Ferrucci, MS; Perdiz, R","2010","11","16","-41.340833","-12.988333","1200",NA,NA,NA,NA
"9","2019-10-09 11:24:37-03","UFBA","ALCB","83521","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapindaceae","Cupania","ludowigii","Cupania ludowigii","Somner & Ferrucci","Melo, E; Ferreira, MC; Pereira, A; Costa, J","PCD1786","1995","04","25","Southern America","Brasil","Bahia","Lençóis","Chapada Diamantina, entrada de mata de grotão, fenda da Serra do Brejão","-41.452778","-12.456667",NA,"980",NA,"ca. 20 m. alt. Botões florais branco-amarelado, flores de cálice verde, corola alva. Frutos imaturos verdes, formato achatado. Ocasional.; Vegetação arbóreo, aberta, muito úmida, com epífitas e palmeiras do gênero Euterpe. Afloramento","ALCB000128","ALCB000128",NA,"parátipo","Guedes, ML","2017","06",NA,"-41.452778","-12.456667","980",NA,NA,NA,NA
"10","2019-10-09 11:24:37-03","UFBA","ALCB","88901","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapindaceae","Cupania","ludowigii","Cupania ludowigii","Somner & Ferrucci","Roque, N; Alunos de Botânica III","2050","2009","05","23","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, trilha Cruzeiro dos Bêbados até Medonha","-41.366667","-13",NA,"1020",NA,"ca. 6m alt., folhas levemente discolores. Fruto imaturo verde, fruto maduro amarelo-castanho.; ecótono entre campos rupestre e Mata Semidecídua.","ALCB066722",NA,NA,NA,"Ferrucci, MS; Perdiz, R","2010","11","16","-41.366667","-13","1020",NA,NA,NA,NA
