"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","day","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","individualCount","minimumElevationInMeters","maximumElevationInMeters","typeStatus","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","476950","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Hypericaceae","Hypericum","piriai","Hypericum piriai","Arechav.","N. K. B. Robson","J. E. Leite","584","1940","12","South America","Brazil","Rio Grande do Sul","Porto Alegre","Vicinity of Porto Alegre","-51.153181","-30.11284","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=360225' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476950","NY00476950_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","476932","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Hypericaceae","Hypericum","tenuifolium","Hypericum tenuifolium","A.St.-Hil.",NA,"A. C. Brade","12978","1933","12","South America","Brazil","São Paulo","Piracicaba","Villa Emma","-46.543068","-23.587347","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=92805' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476932",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:53:30-03","NBC","NL-BOTANY","U.1204954","PreservedSpecimen","Plantae",NA,"Malpighiales","Guttiferae","Hypericum","piriai","Hypericum piriai","Arechav.",NA,"Krukoff BA",NA,"1944","11","Southern America","Brazil",NA,NA,"Plants of Rio Grande do Sul, P. Alegre, Morro da Gloria, in campo saxoso.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1204954 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1204954","NL-U1204954","Magnoliopsidae","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:53:30-03","NBC","NL-BOTANY","L.2420581","PreservedSpecimen","Plantae",NA,"Malpighiales","Guttiferae","Hypericum","tenuifolium","Hypericum tenuifolium","Pursh",NA,"Sellow F",NA,NA,NA,"Southern America","Brazil",NA,NA,"Brasilia.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2420581 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2420581","NL-L2420581","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-08-27 13:33:39-03","IAP","PACA-AGP","40098","PreservedSpecimen","Plantae","Magnoliophyta","Theales","Guttiferae","Hypericum","piriai","Hypericum piriai","Arech.","Emrich-Rambo","Rambo, B.",NA,"1949","01",NA,"Brasil","RS","Porto Alegre","Vila Manresa","-51.2299995422363","-30.0331001281738",NA,"Habitat: in rupestribus humidis Fenofase: flor e fruto","PACA040098",NA,"Magnoliatae","22","1954","08","03","29946","auto",NA,NA,NA,NA,NA,NA,NA
"6","2019-08-27 13:33:39-03","IAP","PACA-AGP","38046","PreservedSpecimen","Plantae","Magnoliophyta","Theales","Guttiferae","Hypericum","piriai","Hypericum piriai","Arech.","Emrich-Rambo","Rambo, B.",NA,"1948","11",NA,"Brasil","RS","Porto Alegre","Vila Manresa","-51.2299995422363","-30.0331001281738",NA,"Habitat: in rupestribus humidis nudis Fenofase: flor e fruto","PACA038046",NA,"Magnoliatae","17","1954","08","03","29946","auto",NA,NA,NA,NA,NA,NA,NA
"7","2019-08-27 13:33:39-03","IAP","PACA-AGP","37778","PreservedSpecimen","Plantae","Magnoliophyta","Theales","Guttiferae","Hypericum","piriai","Hypericum piriai","Arech.","Emrich-Rambo","Rambo, B.",NA,"1948","10",NA,"Brasil","RS","Porto Alegre","Vila Manresa","-51.2299995422363","-30.0331001281738",NA,"Habitat: in rupestribus humidis nudis Fenofase: flor e fruto","PACA037778",NA,"Magnoliatae","01","1954","08","03","29946","auto",NA,NA,NA,NA,NA,NA,NA
"8","2019-08-27 13:33:39-03","IAP","PACA-AGP","33864","PreservedSpecimen","Plantae","Magnoliophyta","Theales","Guttiferae","Hypericum","piriai","Hypericum piriai","Arech.","Emrich-Rambo","Rambo, B.",NA,"1946","10",NA,"Brasil","RS","Porto Alegre","Vila Manresa","-51.2299995422363","-30.0331001281738",NA,"Habitat: in rupestribus humidis Fenofase: flor e fruto","PACA033864",NA,"Magnoliatae","03","1954","08","03","29946","auto",NA,NA,NA,NA,NA,NA,NA
"9","2019-08-27 13:33:39-03","IAP","PACA-AGP","29327","PreservedSpecimen","Plantae","Magnoliophyta","Theales","Guttiferae","Hypericum","piriai","Hypericum piriai","Arech.","Emrich-Rambo","Rambo, B.",NA,"1945","10",NA,"Brasil","RS","Porto Alegre","Vila Manresa","-51.2299995422363","-30.0331001281738",NA,"Habitat: in rupestribus humidis nudis Fenofase: flor e fruto","PACA029327",NA,"Magnoliatae","26","1954","08","03","29946","auto",NA,NA,NA,NA,NA,NA,NA
"10","2019-08-27 13:33:39-03","IAP","PACA-AGP","27145","PreservedSpecimen","Plantae","Magnoliophyta","Theales","Guttiferae","Hypericum","piriai","Hypericum piriai","Arech.","Emrich-Rambo","Rambo, B.",NA,"1945","10",NA,"Brasil","RS","Porto Alegre","Vila Manresa","-51.2299995422363","-30.0331001281738",NA,"Habitat: in rupestribus humidis nudis Fenofase: flor e fruto","PACA027145",NA,"Magnoliatae",NA,"1954","08","03","29946","auto",NA,NA,NA,NA,NA,NA,NA
