"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","fieldNumber","typeStatus","individualCount"
"1","2021-04-05 14:24:56-03","UNESC","CRI","9377","PreservedSpecimen","Plantae","Asteraceae","Critoniopsis","quinqueflora","Critoniopsis quinqueflora","(Less.) H.Rob.","A. Korte; A. Kniess","3669","2010","06","08","Brasil","Santa Catarina","Santa Terezinha","Imbuial.","-49.950556","-26.640278","49º57'2''W","26º38'25''S","626","626","Ecótono Floresta Ombrófila Mista e Floresta Ombrófila Densa Habito: arbusto","CRI000847","CRI000847",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:24:56-03","UNESC","CRI","1179","PreservedSpecimen","Plantae","Asteraceae","Critoniopsis","quinqueflora","Critoniopsis quinqueflora","(Less.) H.Rob.","Vanilde Citadini-Zanette; Aurélio José de Aguiar","1428","1990","07","27","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI001416","CRI001416","Marcos Sobral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:24:56-03","UNESC","CRI","12971","PreservedSpecimen","Plantae","Asteraceae","Critoniopsis","quinqueflora","Critoniopsis quinqueflora","(Less.) H.Rob.","Schwirkowski, P.","1174","2015","08","15","Brasil","Santa Catarina","São Bento do Sul","Minas de caulim. Minas de caulim.","-49.216667","-26.292778","49º13'W","26º17'34''S","948","948","Em interior de mata,área sombreada","CRI011613","CRI011613","Oliveira, A. A.","2017","08","31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:24:56-03","UNESC","CRI","11242","PreservedSpecimen","Plantae","Asteraceae","Critoniopsis","quinqueflora","Critoniopsis quinqueflora","(Less.) H.Rob.","H.F. Uller","162","2009","06","21","Brasil","Santa Catarina","Timbó","Morro Azul.","-49.233333","-26.810833","49º14'0''W","26º48'39''S","400","400","Floresta Ombrófila Densa Habitat: topo do morro Habito: arbustiva","CRI000844","CRI000844","M. Sobral","2009","07","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:24:56-03","UNESC","CRI","9398","PreservedSpecimen","Plantae","Asteraceae","Critoniopsis","quinqueflora","Critoniopsis quinqueflora","(Less.) H.Rob.","M. Verdi; R. P. Hasckel & G. Klemz","2392","2009","06","17","Brasil","Santa Catarina","Anitápolis",NA,"-49.165","-27.906667","49º9'54''W","27º54'24''S","782","782","Ecótono Floresta Ombrófila Mista e Floresta Estacional Decidual","CRI000846","CRI000846","M. Sobral","2009","07","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:24:56-03","UNESC","CRI","14276","PreservedSpecimen","Plantae","Asteraceae","Critoniopsis","quinqueflora","Critoniopsis quinqueflora","(Less.) H.Rob.","Stival-Santos, A.; Legal, E. & Silveira, S.","3117","2010","06","23","Brasil","Santa Catarina","Águas Mornas","rio Cubatão. rio Cubatão.","-48.960833","-27.809722","48º57'39''W","27º48'35''S","620","620","Florística IFFSC 253 (Arvoreta) Habitat: Floresta Ombrófila Densa; Estágio Avançado; entorno do fragmento Habito: arvoreta;","CRI013327",NA,"Gasper, AL de","2010","09","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:16-03","UNESC","CRI","14549","PreservedSpecimen","Plantae","Asteraceae","Critoniopsis","quinqueflora","Critoniopsis quinqueflora","(Less.) H.Rob.","Renato Colares; Altamir Antunes; Guilherme Lodetti; Aline Guislon & Bruna Ghislandi",NA,"2018","03","06","Brasil","Santa Catarina","Grão Pará","PESF","-49.212778","-28.186667","49º12'46''W","28º11'12''S",NA,NA,"Habito: Arbustivo","CRI013852",NA,"Renato Colares","2018","03","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:24:56-03","UNESC","CRI","3210","PreservedSpecimen","Plantae","Asteraceae","Critoniopsis","quinqueflora","Critoniopsis quinqueflora","(Less.) H.Rob.","Vanilde Citadini-Zanette; Robson dos Santos & Clair Maria Martinello","1841","1993","07","27","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI000845","CRI000845","Vanilde Citadini- Zanette",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","806636","PreservedSpecimen","Plantae","Asteraceae","Critoniopsis","quinqueflora","Critoniopsis quinqueflora","(Less.) H.Rob.","R. Reitz","9702","1960","08","11","Brazil","Santa Catarina",NA,"Serra da Boa Vista, São José.",NA,NA,NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=802428' target='other'> <mi>dwc_moreinfo</mi></a>","NY00806636","NY00806636_01",NA,NA,NA,NA,"Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","806641","PreservedSpecimen","Plantae","Asteraceae","Critoniopsis","quinqueflora","Critoniopsis quinqueflora","(Less.) H.Rob.","G. G. Hatschbach","16487","1967","05","25","Brazil","Paraná","Quatro Barras","Morro Mãe Catira.","-48.909237","-25.347215",NA,NA,"1200","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=802464' target='other'> <mi>dwc_moreinfo</mi></a>","NY00806641","NY00806641_01",NA,NA,NA,NA,"Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
