"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","recordNumber","monthIdentified","dayIdentified","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2021-04-05 14:33:55-03","UNESC","CRI","4034","PreservedSpecimen","Plantae","Poaceae","Agenium","villosum","Agenium villosum","(Nees) Pilg.","Hilda M. Longhi-Wagner","J. A. Jarenkow","1989","11","19","Brasil","Rio Grande do Sul","Piratini","Serra das Asperesas, BR 293.","-53.104444","-31.448611","53º6'16''W","31º26'55''S","318","318","Habito: cespitoso","CRI006282","CRI006282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:55-03","UNESC","CRI","2406","PreservedSpecimen","Plantae","Poaceae","Agenium","villosum","Agenium villosum","(Nees) Pilg.","L. B. Smith","L. B. Smith; R. M. Klein","1975","02","13","Brasil","Santa Catarina","Lages","Lajes.","-50.342222","-27.849444","50º20'32''W","27º50'58''S",NA,NA,NA,"CRI006279","CRI006279","1977","16122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:34:00-03","UNESC","CRI","2306","PreservedSpecimen","Plantae","Poaceae","Schizachyrium","tenerum","Schizachyrium tenerum","Nees","L. B. Smith","R. Klein","1962","02","27","Brasil","Santa Catarina","Irani",NA,"-51.914444","-27.045833","51º54'52''W","27º2'45''S",NA,NA,NA,"CRI008818","CRI008818","1977","4.802",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:00-03","UNESC","CRI","2332","PreservedSpecimen","Plantae","Poaceae","Schizachyrium","tenerum","Schizachyrium tenerum","Nees","L. B. Smith","R. M. Klein","1964","02","28","Brasil","Santa Catarina","Abelardo Luz",NA,"-52.322222","-26.568889","52º19'20''W","26º34'8''S",NA,NA,NA,"CRI008815","CRI008815","1977","4.879",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:34:00-03","UNESC","CRI","2389","PreservedSpecimen","Plantae","Poaceae","Schizachyrium","tenerum","Schizachyrium tenerum","Nees","L. B. Smith","L. B. Smith; R. M. Klein e P. A. Young","1975","02","13","Brasil","Santa Catarina","São Joaquim",NA,"-49.940833","-28.285833","49º56'27''W","28º17'9''S",NA,NA,NA,"CRI008816","CRI008816","1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:34:00-03","UNESC","CRI","7397","PreservedSpecimen","Plantae","Poaceae","Schizachyrium","tenerum","Schizachyrium tenerum","Nees","Vanilde Citadini-Zanette","Edilane Rocha","2005","12","29","Brasil","Santa Catarina","Criciúma",NA,"-49.373333","-28.6725","49º22'24''W","28º40'21''S",NA,NA,NA,"CRI007226","CRI007226","2006","8","06","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:39:32-03","E","E","295617","PreservedSpecimen","Plantae","Gramineae","Agenium","villosum","Agenium villosum",NA,NA,"Brooks, R.R.; Reeves, R.D.; Baker, A.J.M.; Diaz Ferreira, H.","1988","04","14","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00295617 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00295617",NA,NA,"96",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:310529",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:39:41-03","E","E","304499","PreservedSpecimen","Plantae","Gramineae","Schizachyrium","tenerum","Schizachyrium tenerum",NA,NA,"Harley, R.M.; Giulietti, A.M.;Nic Lughadha, E; Freire Fierro, A.","1992","01","10","BR","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00304499 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00304499",NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:312860",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:39:41-03","E","E","161850","PreservedSpecimen","Plantae","Gramineae","Schizachyrium","tenerum","Schizachyrium tenerum",NA,NA,"Pereira, S.C.","1986","02","26","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00161850 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00161850",NA,NA,"5193",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:170131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:39:41-03","E","E","312539","PreservedSpecimen","Plantae","Gramineae","Schizachyrium","tenerum","Schizachyrium tenerum",NA,NA,"Harley, R.M.; Hind, D.J.N.; Nic Lughadha, E.; Souza, V.C.; Sakuragui, C.M.; Ganev, W.","1992","12","26","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00312539 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00312539",NA,NA,"50416",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:313469",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
