"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","scientificNameAuthorship","coordinatePrecision","geoFlag","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","fieldNumber","yearIdentified","monthIdentified","dayIdentified","individualCount","class"
"1","2016-09-27 17:04:00-03","NY","NYBG","1654143","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","michelangeliana","Miconia michelangeliana","R. Goldenberg","F. A. Michelangeli","1605","2011","02","07","South America","Brazil","Espírito Santo","Santa Teresa","Nova Lombardia, Terreno do Furlani","-40.53703","-19.79982","930","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1568318' target='other'> <mi>dwc_moreinfo</mi></a>","NY01654143","NY01654143_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2017-02-01 11:46:00-02","NY","NYBG","1546408","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","michelangeliana","Miconia michelangeliana",NA,"L. J.-C. Kollmann","10743","2008","03","12","South America","Brazil","Espírito Santo","Santa Teresa","Nova Lombardia, terreno de J. V. Furlani","-40.5383","-19.8053","895","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1845540' target='other'> <mi>dwc_moreinfo</mi></a>","NY01546408","NY01546408_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1546409","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","michelangeliana","Miconia michelangeliana",NA,"R. Goldenberg","886","2007","07","13","South America","Brazil","Espírito Santo","Santa Teresa","Nova Lomardia. Terreno do Furlani","-40.5383","-19.8053","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1845541' target='other'> <mi>dwc_moreinfo</mi></a>","NY01546409","NY01546409_01","paratype","R.Goldenb. & L.Kollmann",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-20 21:18:22-03","UFV","VIC","41710","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","michelangeliana","Miconia michelangeliana",NA,"Kollmann, L.J.C.","10743","2008","03","12",NA,"Brasil","Espirito Santo","Santa Teresa","Nova Lombardia","-40.6002998352051","-19.9356002807617",NA,NA,"Árvore 8m, DAP 10cm, fust 3,4m; caule verde; peciolo vermelho no sol; folhas ligeiramente brilhosas na face adaxial, dverde calara na face abaxial com bervuras salientas; inflorescencia verde; ovario verde com máculas verde claras; pét","VIC041710","VIC041710",NA,NA,"23813","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-27 10:25:39-03","UFES","VIES","35702","S","Plantae",NA,NA,"Melastomataceae","Miconia","michelangeliana","Miconia michelangeliana","Goldenberg, R.","Kollmann, L.J.C.","10743","2008","03","12",NA,"Brasil","Espírito Santo","Santa Teresa","Nova Lombardia, terreno de J.V. Furlani","-40.6002998352051","-19.9356002807617","895",NA,NA,"VIES035702","VIES035702","Isotipo","R.Goldenb. & L.Kollmann","23813","auto","895",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-06 19:29:55-03","UFES","VIES","28706","S","Plantae",NA,NA,"Melastomataceae","Miconia","michelangeliana","Miconia michelangeliana",NA,"Assis, A.M.; Cribari, R.S.; Santos, R.; Santos, J.P.","4545","2018","07","28",NA,"Brasil","Espírito Santo","Vargem Alta",NA,"-40.998611","-20.458889","1200",NA,NA,"VIES028706","VIES028706",NA,"R.Goldenb. & L.Kollmann",NA,NA,"1200","40º59'55''W","20º27'32''S",NA,NA,NA,NA,NA,NA
"7","2015-02-11 15:24:14-02","MNHN","RECOLNAT_MNHN_P","P02440142","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Miconia","michelangeliana","Miconia michelangeliana",NA,"Kollmann, L.",NA,"2008","3","12",NA,"Brésil",NA,NA,"ES, Mun. de Santa Teresa, Nova Lombardia, terreno de J.V. Furlani",NA,NA,"895","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02440142' target='other'> <mi>dwc_moreinfo</mi></a>","P02440142","P02440142_01","isotype","R.Goldenb. & L.Kollmann",NA,NA,NA,NA,NA,"10743",NA,NA,NA,NA,NA
"8","2021-02-11 17:20:03-03","UFPR","UPCB","57455","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","michelangeliana","Miconia michelangeliana","Goldenberg, R.","Goldenberg, R.","886","2007","07","13",NA,"Brasil","Espírito Santo","Santa Teresa","BLOQUEADO",NA,NA,"950",NA,"Árvore 12m, em população com indivíduos com até 16m. Frutos imaturos verdes (material em sílica). Mata Atlântica de encosta..","UPCB0002149","UPCB0002149","Paratype","R. Goldenb. & L. Kollmann",NA,NA,"950","9999","9999",NA,"2010",NA,NA,NA,NA
"9","2021-02-11 17:20:03-03","UFPR","UPCB","60295","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","michelangeliana","Miconia michelangeliana","Goldenberg, R.","Vervloet, R.R.","326","2002","05","29",NA,"Brasil","Espírito Santo","Santa Teresa","BLOQUEADO",NA,NA,NA,NA,"Árvore 10m, beira do rio, próximo à cachoeira, local rochoso, camada fina de solo, dossel aproximado 16m, caule rugoso, frutos imaturos de cor verde, com pintas brancas..","UPCB0002150","UPCB0002150","Paratype","R.Goldenb. & Kollmann",NA,NA,NA,"9999","9999",NA,"2008","01","01",NA,NA
"10","2021-02-11 17:20:03-03","UFPR","UPCB","60303","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","michelangeliana","Miconia michelangeliana","Goldenberg, R.","Boudet Fernandes, H.","3369","2005","01","20",NA,"Brasil","Espírito Santo","Santa Teresa","BLOQUEADO",NA,NA,NA,NA,"Árvore, 8m, botões verdes, próximo à cachoeira..","UPCB0002148","UPCB0002148","Paratype","R.Goldenb. & Kollmann",NA,NA,NA,"9999","9999",NA,"2008","01","01",NA,NA
