"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","month","locality","phylum","day","barcode","imagecode","occurrenceRemarks","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","continentOcean","class","order","typeStatus"
"1","2021-03-31 13:41:09-03","MN","R","24937","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","russelliana","Miltonia russelliana","(Lindl.) Lindl.","Brade, A.C.","Schwacke, C.A.W.","IV - 60","1884","Brasil","Santa Catarina","Blumenau","-49.0661010742188","-26.9193992614746","34291","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-31 13:41:09-03","MN","R","43851","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","russelliana","Miltonia russelliana","(Lindl.) Lindl.","Pabst, G.F.J.","Rosa, M.",NA,"1947","Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto","1966","08","29","04","Jacarepaguá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-31 13:41:09-03","MN","R","43903","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","russelliana","Miltonia russelliana","(Lindl.) Lindl.","Pabst, G.F.J.","Rosa, M.",NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto","1958","10","04",NA,"Jacarepaguá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-07-05 11:14:19-03","FFCLRP","LBMBP","790","S","Plantae","Orchidaceae","Miltonia","russelliana","Miltonia russelliana","(Lindl.) Lindl.","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-08-20 10:00:54-03","UNICAMP","UEC","139754","S","Plantae","Orchidaceae","Miltonia","russelliana","Miltonia russelliana","(Lindl.) Lindl.","Singer, RB","Breier, TB; Singer, RB","1036","2003","Brazil","São Paulo","Cananéia","-47.9199981689453","-25.0100002288818","37574","auto","2003","05",NA,"05","Parque Estadual da Ilha do Cardoso, Início da trilha dos índios.","Liliopsida","10","UEC001907","UEC001907",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-08-20 10:00:54-03","UNICAMP","UEC","140314","S","Plantae","Orchidaceae","Miltonia","russelliana","Miltonia russelliana","(Lindl.) Lindl.",NA,"Ribeiro, JE","s.n.",NA,"Brazil","São Paulo","Ubatuba","-45.0699996948242","-23.4300003051758","34265","auto",NA,NA,NA,NA,"Picinguaba","Liliopsida",NA,"UEC001908","UEC001908","Data de floração: 07/07/2004. Cultivado na casa de vegetação da Unicamp.",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-10-14 10:04:15-03","FURB","FURB","41949","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","russelliana","Miltonia russelliana","(Lindl.) Lindl.","Caetano, JO","Caetano, J.O.","19","2013","Brasil","Santa Catarina","Benedito Novo","-49.3988889","-26.7836111",NA,NA,"2013","05","15","05","Próximo a PCH, Ceesan Alto Benedito.",NA,"15","FURB04699","FURB04699",NA,"-49.3988889","-26.7836111","280","280",NA,NA,NA,NA
"8","2020-10-14 10:04:15-03","FURB","FURB","54578","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","russelliana","Miltonia russelliana","(Lindl.) Lindl.","Funez, L.A.","Funez, L.A.","6413","2017","Brasil","Santa Catarina","Rodeio","-49.3786111","-26.9333333",NA,NA,"2017","06","08","06","Propriedade do Sr. Feler.",NA,"08","FURB54578","FURB54578","Pétalas e sépalas marrom-avermelhado, labelo branco-rosado Habitat: Floresta Habito: Epífita","-49.3786111","-26.9333333","104","104",NA,NA,NA,NA
"9","2020-10-14 10:04:15-03","FURB","FURB","59072","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","russelliana","Miltonia russelliana","(Lindl.) Lindl.","Kassner-Filho, A.","Kassner-Filho, A.","2759","2018","Brasil","Santa Catarina","Blumenau","-49.1033333","-26.6675",NA,NA,"2018","05","14","05","Vila Itoupava.",NA,"14","FURB59072","FURB59072","tépalas castanho, labelo lilás Habitat: interior do fragmento Habito: epífita","-49.1033333","-26.6675000","200","200",NA,NA,NA,NA
"10","2020-12-09 14:47:24-03","FURB","FURB","66521","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","russelliana","Miltonia russelliana","(Lindl.) Lindl.","Kassner-Filho, A.","Kassner-Filho, A.","5706","2020","Brasil","Santa Catarina","Araquari","-48.6888889","-26.5525",NA,NA,"2020","06","11","06","Morro Grande (U.A. 913).",NA,"11","FURB66521","FURB66521","tépalas castanho, labelo branco e lilás escuro Habitat: interior do fragmento Habito: epífita","-48.6888889","-26.5525000","14","14",NA,NA,NA,NA
