"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","continentOcean","individualCount","verbatimLongitude","verbatimLatitude","imagecode","class","order","typeStatus","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","sex","preparationType"
"1","2020-06-29 11:29:37-03","UFRJ","RFA","30316","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","triangularis","Aechmea triangularis","L.B.Sm.","T. Wendt","2000","12","07","T. Wendt; G. K. Brown; L. Kollmann","392","2000","12","07","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.6002998352051","-19.9356002807617","23813","Epífita. Brácteas escapais rosa choque. Brácteas florais marrons. Sépalas marrons com ápice rosa. Pétalas azuis","RFA51969","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-17 04:41:00-03","MO","MOBOT","101230116","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","triangularis","Aechmea triangularis","L.B. Sm.","A.P.G. de Faria",NA,NA,NA,"M. B. Foster","Foster 829",NA,NA,NA,"Brazil","Espírito Santo",NA,"Mulford and Racine Foster, August 7, 1940 bloomed April 22, 1941 from Santa Teresa, Espirito Santo, Brazil.",NA,NA,NA,NA,NA,NA,"South America","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-14 16:46:05-03","MBML","MBML-HERBARIO","10240",NA,"Plantae","Bromeliaceae","Aechmea","triangularis","Aechmea triangularis","L.B.Smith","I. G. Varassin",NA,NA,NA,"I. G. Varassin; et al","59","1998","12","18","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Epífita. Heliófila. Brácteas florais vermelhas, flores roxas.","MBML010240",NA,NA,NA,"40W31'49","19S58'17","MBML010240",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-14 16:46:05-03","MBML","MBML-HERBARIO","10297",NA,"Plantae","Bromeliaceae","Aechmea","triangularis","Aechmea triangularis","L.B.Smith","I. G. Varassin",NA,NA,NA,"I. G. Varassin","66","1999","03","23","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Epífita. Heliófila. Brácteas florais vermelhas, flores roxas.","MBML010297",NA,NA,NA,"40W31'49","19S58'17","MBML010297",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-14 16:46:05-03","MBML","MBML-HERBARIO","17844",NA,"Plantae","Bromeliaceae","Aechmea","triangularis","Aechmea triangularis","L.B.Smith",NA,NA,NA,NA,"R.R. Vervloet; et al","1073","2002","09","25","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,"Epífita a 3m, folhas de cor verde, espinhos negros, escapo floral vinho escuro, brácteas escapais rosada, flores com pétalas azul, frutos e sépalas passados enegrecidos, base das folhas de cor vinho, dossel 10m.","MBML017844",NA,NA,NA,"40W33'11","19S54'27","MBML017844",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-14 16:46:05-03","MBML","MBML-HERBARIO","5420",NA,"Plantae","Bromeliaceae","Aechmea","triangularis","Aechmea triangularis","L.B.Smith","A. Costa/Out.-1995",NA,NA,NA,"H. Q. Boudet Fernandes","2284","1989","02","16","Brasil","Espírito Santo","Santa Leopoldina","Cabeceira do Rio Bonito, cerca de 1000 m/s.m., floresta, alto de encosta. Divisa com o Município de Santa Teresa (Radar da Aeronáutica)","-40.581667","-19.985",NA,"Informações transcritas do banco de dados, material não localizado no inventário de 2010","MBML005420",NA,NA,NA,"40W34'54","19S59'6","MBML005420",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-07-10 09:44:23-03","MBML","MBML-HERBARIO","933",NA,"Plantae","Bromeliaceae","Aechmea","triangularis","Aechmea triangularis","L.B.Smith","A. Costa/Out.-1995",NA,NA,NA,"W. A. Hoffmann","228","1984","10","31","Brasil","Espírito Santo","Santa Teresa","Nova Lombardia","-40.510556","-19.823611",NA,"Flores azul anis, encontrada sobre tronco seco.","MBML000933",NA,NA,NA,"40W30'38","19S49'25","MBML000933",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","2902177","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","kautskyana","Aechmea kautskyana","E. Pereira & L.B. Sm. in E. Pereira",NA,NA,NA,NA,"R. Kautsky","643","1979","8","8","Brazil","Espírito Santo","Castelo","Forno Grande.","-41.184700012207","-20.6035995483398","23588",NA,"US00091486","auto","South America - Neotropics","1",NA,NA,"US00091486_01","Monocotyledonae","Bromeliales","Isotype","1000","1000",NA,NA,NA
"9","2020-07-23 12:00:45-03","CEPLAC","CEPEC","44960","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","triangularis","Aechmea triangularis",NA,"L. B. Smith",NA,NA,NA,"M. B. & R. Foster","829","1941","04","22","Brasil","Espírito Santo","SANTA TERESA","Sem informação.","-40.6002998352051","-19.9356002807617","23813",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,"Fototipo",NA,NA,NA,NA,NA
"10","2010-08-16 16:42:18-03","GH","HU-HERB","GH 00006515","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","triangularis","Aechmea triangularis","L. B. Smith",NA,NA,NA,NA,"M. B. Foster & R. Foster","829","1940","8","7","Brazil","Espirito Santo",NA,"Santa Thereza",NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,"Holotype",NA,NA,"829","undetermined","Sheet"
