"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","scientificNameAuthorship","occurrenceRemarks","barcode","imagecode","class","typeStatus"
"1","2020-10-01 14:24:03-03","JBB","HEPH","34137","S","Plantae","Dicotyledon","Myrtales","Myrtaceae","Eugenia","longipetiolata","Eugenia longipetiolata","Bünger, MO","2012","10","29","Bünger, MO; Moura-Júnior, EG","626","2012","10","29","Southern America","Brasil","São Paulo","Cubatão","Parque Estadual da Serra do Mar, Núcleo Itutinga-Pilóes, na estrada que leva à portaria do núcleo","-46.474444","-23.901111","-46.474444","-23.901111","27","27",NA,NA,NA,NA,NA,NA
"2","2020-12-11 11:39:10-03","UFMG","BHCB","161470","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","longipetiolata","Eugenia longipetiolata",NA,"2012","12","29","Bünger, MO; Moura-Júnior, EG","626","2012","10","29","Southern America","Brasil","São Paulo","Cubatão","Parque Estadual da Serra do Mar, Núcleo Itutinga - Pilões. Beira da estrada - estrada que leva à portaria do Núcleo.","-46.474444","-23.901111","-46.474444","-23.901111","2","2","Mazine","Árvore ca. 15m. Botões imaturos.","BHCB015136","BHCB015136",NA,NA
"3","2019-09-04 18:38:16-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Myrtaceae","Stenocalyx","mutabilis","Stenocalyx mutabilis",NA,NA,NA,NA,"H. W. Schott","5854",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae","Syntype"
"4","2019-09-04 18:32:23-03","F","FMNH-SEEDPLANTS","V0065739F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Myrtaceae","Stenocalyx","mutabilis","Stenocalyx mutabilis",NA,NA,NA,NA,"H. W. Schott",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,"V0065739F","V0065739F_01","Dicotyledoneae","Possible type"
"5","2017-09-11 17:11:19-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Myrtaceae","Stenocalyx","mutabilis","Stenocalyx mutabilis",NA,NA,NA,NA,"Schott, HW","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"ad Tingua",NA,NA,NA,NA,NA,NA,"O.Berg","Original herbarium: Mart.",NA,"P14P1N0005",NA,NA
