"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","typeStatus","class","relatedCatalogItem","coordinatePrecision","geoFlag","individualCount"
"1","2021-04-05 14:33:47-03","UNESC","CRI","8923","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","cordifolia","Neomitranthes cordifolia","(D.Legrand) D.Legrand","M. Sobral","2010","01","25","M. Verdi; D.H. Klettenberg & G. Klemz","2890","2009","03","11","Brasil","Santa Catarina","Criciúma","Bairro Universitário (Próximo a Unesc).","-49.409167","-28.709167","49º24'33''W","28º42'33''S","58","58","Habitat: Floresta Ombrófila Densa Habito: arbustiva","CRI005548","CRI005548",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:47-03","UNESC","CRI","1600","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","cordifolia","Neomitranthes cordifolia","(D.Legrand) D.Legrand","Marcos Sobral",NA,NA,NA,"R. R. B. Negrelle; et al.","323","1992","08","23","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Floresta Atlântica de Planície Quaternária Habito: árvore","CRI005546","CRI005546",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:41-03","UNESC","CRI","10544","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","cordifolia","Neomitranthes cordifolia","(D.Legrand) D.Legrand","M. Verdi",NA,NA,NA,"M. Verdi; Luciana Mancini","1","2011","09","01","Brasil","Rio Grande do Sul","Morrinhos do Sul",NA,"-49.921389","-29.316667","49º55'17''W","29º19'0''S",NA,NA,NA,"CRI005550","CRI005550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:41-03","UNESC","CRI","7902","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","cordifolia","Neomitranthes cordifolia","(D.Legrand) D.Legrand","Vanilde Citadini- Zanette","2008","04","20","Jean Gabriel Cemin",NA,"2007","10","31","Brasil","Santa Catarina","Turvo",NA,"-49.679444","-28.926667","49º40'46''W","28º55'36''S","9","9",NA,"CRI005543","CRI005543",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:47-03","UNESC","CRI","1601","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","cordifolia","Neomitranthes cordifolia","(D.Legrand) D.Legrand","M. Sobral",NA,NA,NA,"R. Negrelle; C. Londero","568","1992","11","07","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Habito: árvore","CRI005545","CRI005545",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:47-03","UNESC","CRI","8436","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","cordifolia","Neomitranthes cordifolia","(D.Legrand) D.Legrand","Vanilde Citadini-Zanette","2008",NA,NA,"Mainara F. Cascaes",NA,"2008","08","25","Brasil","Santa Catarina","Maracajá",NA,"-49.453056","-28.847222","49º27'11''W","28º50'50''S",NA,NA,NA,"CRI005549","CRI005549",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:47-03","UNESC","CRI","1576","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","cordifolia","Neomitranthes cordifolia","(D.Legrand) D.Legrand","M. Sobral",NA,NA,NA,"R. Negrelle",NA,"1991","09","20","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Habito: árvore","CRI005547","CRI005547",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","616854","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","cordifolia","Neomitranthes cordifolia","(D.Legrand) D.Legrand","C. E. B. Proença",NA,NA,NA,"R. Reitz","9055","1959","09","05","Brazil","Santa Catarina","Sombrio","Pirao Frio, Sombrio","-49.6167","-29.1142",NA,NA,"10","10","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=217902' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616854","NY00616854_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","616853","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","cordifolia","Neomitranthes cordifolia","(D.Legrand) D.Legrand","M. Sobral",NA,NA,NA,"R. Negrelle","A-323","1992","08","23","Brazil","Santa Catarina","Itapoá","Reserva Volta Velha","-48.6158","-26.1169",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=217901' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616853","NY00616853_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","616856","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","cordifolia","Neomitranthes cordifolia","(D.Legrand) D.Legrand","C. E. B. Proença",NA,NA,NA,"G. G. Hatschbach","19448","1968","06","27","Brazil","Paraná","Paranaguá","Rio Cachoeirinha","-48.5092","-25.5203",NA,NA,"50","50","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=217904' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616856","NY00616856_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA
