"record_id","modified","institutionCode","collectionCode","catalogNumber","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","basisOfRecord","yearIdentified","typeStatus"
"1","2020-07-10 09:48:07-03","MBML","MBML-HERBARIO","21374","Plantae","Orchidaceae","Acianthera","heringeri","Acianthera heringeri","(Hoehne) F.Barros","H.L. Silva-16/01/2020","M. V. S. Berger; et al","114","2003","08","10","Brasil","Espírito Santo","Santa Maria de Jetibá","Pedra do Garrafão","-40.924167","-20.176944","40W55'27","20S10'37","Epífita, meia sombra. Trilha das bromélias próximo a canteiro vriesia ruschi. Com frutos e flor vestigial com labelo amarelado e extremidade marrom, pétalas verde-amareladas e sépalas amareladas com estrias longitudinais roxas, coluna","MBML021374","MBML021374",NA,NA,NA,NA,NA,NA,NA
"2","2020-07-10 09:48:07-03","MBML","MBML-HERBARIO","49946","Plantae","Orchidaceae","Acianthera","heringeri","Acianthera heringeri","(Hoehne) F.Barros",NA,"Chiron","12109","2012","04","02","Brasil","Espírito Santo","Conceição do Castelo","Capijuma","-41.2439002990723","-20.3682994842529",NA,NA,NA,"MBML049946","MBML049946","17824","auto",NA,NA,NA,NA,NA
"3","2020-07-10 09:48:07-03","MBML","MBML-HERBARIO","43376","Plantae","Orchidaceae","Acianthera","heringeri","Acianthera heringeri","(Hoehne) F. Barros","G. Chiron","Chiron","9865","2009","12","02","Brasil","Espírito Santo","Domingos Martins","Aracê","-40.6591987609863","-20.3633003234863",NA,NA,NA,"MBML043376","MBML043376","48150","auto","1000","1000",NA,NA,NA
"4","2020-07-10 09:48:07-03","MBML","MBML-HERBARIO","47167","Plantae","Orchidaceae","Acianthera","heringeri","Acianthera heringeri","Lindl.",NA,"Chiron","9865","2009","12","02","Brasil","Espírito Santo","Domingos Martins","Aracê","-40.6591987609863","-20.3633003234863",NA,NA,NA,"MBML047167","MBML047167","48150","auto",NA,NA,NA,NA,NA
"5","2019-11-21 10:13:43-03","IBt","SP","52548","Plantae","Orchidaceae","Pleurothallis","heringerii","Pleurothallis heringerii","Hoehne","Hoehne, FC","Heringer, EP","1855","1945","04","02","Brasil","Minas Gerais","Caparaó","Serra do Caparaó","-41.9043998718262","-20.523099899292",NA,NA,"Epífita encontrada sob floresta na encosta da serra que vai ao Pico da Bandeira. Mata sombria e fria. Flores amarelas","SP002346","SP002346","15056","auto",NA,NA,"S","1946","Holotype"
