"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","infraspecificEpithet","verbatimLongitude","verbatimLatitude","class","individualCount","minimumDepthInMeters","maximumDepthInMeters","typeStatus","fieldNumber"
"1","2020-09-23 10:41:10-03","E","E","202824","PreservedSpecimen","Plantae","Lythraceae","Cuphea","linarioides","Cuphea linarioides","Barboza, M.A.; Farias, R.; Fonseca Filho, J.; Gonçalves, E.G.","43","1999","01","20","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:217221","<a href=http://data.rbge.org.uk/herb/E00202824 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202824",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00940427","PreservedSpecimen","Plantae","Lythraceae","Cuphea","linarioides","Cuphea linarioides","A. Macedo","2716","1950","11","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977728' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940427","Magnoliophyta","Myrtales","Cham. & Schltdl.","L. B. Smith","Minas Gerais","Ituiutaba","S. Vicente.","-49.465","-18.9692","NY00940427_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00940415","PreservedSpecimen","Plantae","Lythraceae","Cuphea","linarioides","Cuphea linarioides","H. S. Irwin","6946","1964","10","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977282' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940415","Magnoliophyta","Myrtales","Cham. & Schltdl.","A. Lourteig","Goiás","Caiapônia","Ca. 33 km. E. of Caiapônia on road to Jataí. Serra do Caiapó.","-51.8","-17.15","NY00940415_01","800","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","445391","PreservedSpecimen","Plantae","Lythraceae","Cuphea","linarioides","Cuphea linarioides","G. G. Hatschbach","23464","1970","02","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=737259' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445391","Magnoliophyta","Myrtales","Cham. & Schltdl.","A. Lourteig","Paraná","Sao José dos Pinhais","Rio Pequeno","-49.2064","-25.5347","NY00445391_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00940420","PreservedSpecimen","Plantae","Lythraceae","Cuphea","linarioides","Cuphea linarioides","H. S. Irwin","25561","1970","01","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977493' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940420","Magnoliophyta","Myrtales","Cham. & Schltdl.","A. Lourteig","Minas Gerais","Patrocínio","Morro da Pedras, ca. 26 km N.E. of Patrocínio","-46.9925","-18.9439","NY00940420_01","1050","1050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00940425","PreservedSpecimen","Plantae","Lythraceae","Cuphea","linarioides","Cuphea linarioides","R. Goodland","200","1965","11","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977694' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940425","Magnoliophyta","Myrtales","Cham. & Schltdl.","S. A. T. Graham","Minas Gerais","Paraopeba","Paraopeba.","-44.4042","-19.2744","NY00940425_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00940422","PreservedSpecimen","Plantae","Lythraceae","Cuphea","linarioides","Cuphea linarioides","S. A. T. Graham","965","1985","11","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977506' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940422","Magnoliophyta","Myrtales","Cham. & Schltdl.",NA,"Minas Gerais","Datas","14 km. SE of Datas on BR-259, then 8 km. SW on road to Costa Sena.","-43.669","-18.523","NY00940422_01","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00940426","PreservedSpecimen","Plantae","Lythraceae","Cuphea","linarioides","Cuphea linarioides","R. Goodland","245","1965","11","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977697' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940426","Magnoliophyta","Myrtales","Cham. & Schltdl.","T. B. Cavalcanti","Minas Gerais","Paraopeba",NA,"-44.4042","-19.2744","NY00940426_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","445393","PreservedSpecimen","Plantae","Lythraceae","Cuphea","linarioides","Cuphea linarioides","S. A. T. Graham","840","1982","02","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=737263' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445393","Magnoliophyta","Myrtales","Cham. & Schltdl.",NA,"Paraná","Almirante Tamandaré","At Rio Barangui, ca 25 km N of Curitiba on road to Tamandare","-49.31","-25.3247","NY00445393_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","818326","PreservedSpecimen","Plantae","Lythraceae","Cuphea","linarioides","Cuphea linarioides","H. S. Irwin","6092","1964","09","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=860471' target='other'> <mi>dwc_moreinfo</mi></a>","NY00818326","Magnoliophyta","Myrtales","Cham. & Schltdl.","A. Lourteig","Distrito Federal","Brasília",NA,"-47.9167","-15.7833","NY00818326_01","700","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
