"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","phylum","continentOcean","occurrenceRemarks","barcode","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","order","typeStatus","class","individualCount"
"1","2015-07-02 14:03:14-03","JBP","HPL","5714","S","Plantae","Myrtaceae","Eugenia","mattosii","Eugenia mattosii","C.D. Legrand","H. Lorenzi","2003","10","11","H. Lorenzi","4035","2003","10","11","Brasil","RS","Nova Petrópolis","Cultivada na floricultura Ursula.","-51.1144","-29.3764","14669","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-21 14:40:08-03","UFJF","CESJ","27586","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","mattosii","Eugenia mattosii","Legrand","M. Sobral","1997","01",NA,"Hermes M. de Souza","s.n.","1968","08","20","Brasil","São Paulo",NA,NA,NA,NA,NA,NA,"Angiosperma","América do Sul","Arbusto flores brancas, ornamental.","CESJ027586",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-21 14:40:08-03","UFJF","CESJ","70888","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","mattosii","Eugenia mattosii","Legrand","M. Sobral","2017","05","02","L.A. Funez","5394","2016","07","27","Brasil","Santa Catarina","Apiúna","subida, margem do Rio Itajaí-Açu, próximo ap Ativa Rafting.","-49.436389","-27.076667",NA,NA,"Angiosperma","América do Sul","Rochas expostas da margem do rio. Arbusto 1m, flores brancas.","CESJ070888","-49.436389","-27.076667","111","111",NA,NA,NA,NA,NA
"4","2020-10-14 10:03:22-03","FURB","FURB","30984","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","mattosii","Eugenia mattosii","D.Legrand","M. Sobral","2017","05","02","Funez, L.A.","5394","2016","07","27","Brasil","Santa Catarina","Apiúna","Subida, margem do Rio Itajaí-Açu, próximo ao Ativa Rafting.","-49.4363889","-27.0766667",NA,NA,NA,NA,NA,"FURB47327","-49.4363889","-27.0766667","111","111","FURB47327",NA,NA,NA,NA
"5","2019-11-08 08:53:48-03","FURB","FURB","3681","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","mattosii","Eugenia mattosii","D.Legrand","Sobral, M","2006","05",NA,"Pozzobon, M.",NA,"2004","06","01","Brasil","Santa Catarina","Indaial","PCH.","-49.2036111","-26.8833333",NA,NA,NA,NA,NA,"FURB32262","-49.2036111","-26.8833333","59","59","FURB32262",NA,NA,NA,NA
"6","2020-10-14 10:03:22-03","FURB","FURB","51570","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","mattosii","Eugenia mattosii","D.Legrand","M. Sobral","2017","05","02","Funez, L.A.","5608","2016","11","01","Brasil","Santa Catarina","Indaial","Foz do Encano com o Rio Itajaí Açu.","-49.19","-26.8883333",NA,NA,NA,NA,"Flores brancas, frutos vermelhos Habitat: Margem do rio Habito: Arbusto","FURB51570","-49.1900000","-26.8883333","42","42","FURB51570",NA,NA,NA,NA
"7","2020-10-14 10:03:22-03","FURB","FURB","51617","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","mattosii","Eugenia mattosii","D.Legrand","M. Sobral","2017","05","02","Funez, L.A.; Zermiani, A.E., Rocha, N.M. & Koffke, H.","5651","2016","11","08","Brasil","Santa Catarina","Blumenau","Margem do Rio Itajaí Açu, Vale da Lua.","-49.1119444","-26.88",NA,NA,NA,NA,"Fruto maduro vermelho Habitat: Vegetação ripária das rochas Habito: Arbusto","FURB51617","-49.1119444","-26.8800000","31","31","FURB51617",NA,NA,NA,NA
"8","2019-11-08 08:53:48-03","FURB","FURB","54565","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","mattosii","Eugenia mattosii","D.Legrand","Funez, L.A.","2017","08","21","Funez, L.A.; Marascalchi, M.N., Kassner-Filho, A.","6468","2017","08","21","Brasil","Santa Catarina","Blumenau","Ponte do Salto.","-49.1025","-26.8797223",NA,NA,NA,NA,"Flores brancas Habitat: Entre rochas expostas Habito: Arbusto","FURB54565","-49.1025000","-26.8797223","42","42","FURB54565",NA,NA,NA,NA
"9","2020-10-14 10:03:22-03","FURB","FURB","60760","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","mattosii","Eugenia mattosii","D.Legrand","Funez, L.A.","2018","10","14","Funez, L.A.","7745","2018","07","23","Brasil","Santa Catarina","Blumenau","Ponte do Salto.","-49.1025","-26.88",NA,NA,NA,NA,"Flores brancas Habitat: Afloramentos rochosos às margens do rio Habito: Arbusto","FURB60760","-49.1025000","-26.8800000","30","30","FURB60760",NA,NA,NA,NA
"10","2020-10-14 10:03:22-03","FURB","FURB","65128","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","mattosii","Eugenia mattosii","D.Legrand","Bones, F.L.V.","2019","10","07","Bones, F.L.V.","210","2019","07","04","Brasil","Santa Catarina","Indaial","Encano Norte. Beira do Rio Itajaí açu.","-49.1969444","-26.8863889",NA,NA,NA,NA,"Flor branca Habitat: Beira de rio. Habito: Arbusto","FURB65128","-49.1969444","-26.8863889",NA,NA,"FURB65128",NA,NA,NA,NA
