"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","year","month","day","locality","decimalLongitude","decimalLatitude","identifiedBy","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","typeStatus","individualCount","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1162574","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenaea","courbaril","Hymenaea courbaril","L.","H. S. Irwin","48802","South America","Brazil","Amapá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1372268' target='other'> <mi>dwc_moreinfo</mi></a>","NY01162574","NY01162574_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00979377","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenaea","courbaril","Hymenaea courbaril longifolia","(Benth.) Y.T.Lee & Andrade-Lima","Y.- T. Lee","112","South America","Brazil","Ceará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1081841' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979377","NY00979377_01","longifolia","1971","12","03","Chapada do Araripe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1161283","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenaea","courbaril","Hymenaea courbaril","L.","W. Milliken","822","South America","Brazil","Roraima","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1370606' target='other'> <mi>dwc_moreinfo</mi></a>","NY01161283","NY01161283_01 NY01161283_02",NA,"1987","10","29","SEMA Ecological Reserve, Ilha de Maracá","-61.43","3.37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00979245","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenaea","courbaril","Hymenaea courbaril","L.","H. S. Irwin","26268","South America","Brazil","Minas Gerais","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1081708' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979245","NY00979245_01",NA,"1970","02","07","Serra da Anta, summit of chapada, ca. 10 km S.E. of Paracatu","-46.80175","-17.2787","Y.- T. Lee","Paracatu","675","675",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1161287","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenaea","courbaril","Hymenaea courbaril","L.","S. H. K. Keel","S-12","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1371118' target='other'> <mi>dwc_moreinfo</mi></a>","NY01161287","NY01161287_01 NY01161287_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","470660","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenaea","courbaril","Hymenaea courbaril stilbocarpa","(Hayne) Y.T.Lee & Langenh.","G. G. Hatschbach","14450","South America","Brazil","Paraná","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=526239' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470660","NY00470660_01","stilbocarpa","1966","06","22","Rio Paranapanema","-52.3419","-22.7347","Y.- T. Lee; J. H. Langenheim","Santo Antônio do Caiuá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00836350","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenaea","courbaril","Hymenaea courbaril","L.","W. W. Thomas","13278","South America","Brazil","Alagoas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=77073' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836350","NY00836350_01",NA,"2002","11","04","Usina Coruripe, Mata do Riachao. Atlantic Coastal Rain forest (Mata de Tabuleiro)","-36.278617","-10.0494","W. W. Thomas","Coruripe","53","53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00979428","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenaea","courbaril","Hymenaea courbaril","L.","G. E. Schatz","764","South America","Brazil","Maranhão","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1081856' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979428","NY00979428_01",NA,"1983","02","24","2km N of Presidente Dutra on Fazenda São Paulo","-44.47","-5.25",NA,"Presidente Dutra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","470646","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenaea","courbaril","Hymenaea courbaril altissima","(Ducke) Y.T.Lee & Langenh.","F. C. Hoehne","28566","South America","Brazil","São Paulo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=18074' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470646","NY00470646_01","altissima","1931","12","04","Jardim Botanico S. Paulo","-46.618358","-23.646109","Y.- T. Lee; J. H. Langenheim","Sao Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00979352","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenaea","courbaril","Hymenaea courbaril","L.","A. Castellanos","596","South America","Brazil","Piauí","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1081835' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979352","NY00979352_01",NA,"1964","08","02","Rio Itaueira",NA,NA,"Y.- T. Lee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
