"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","fieldNumber","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","00898117","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Paepalanthus","scytophyllus","Paepalanthus scytophyllus","Ruhland","H. N. Moldenke","G. M. Magalhaes","2539","1942","11","20","South America","Brazil","Minas Gerais","Jaboticatubas","Varzea do Charco","-43.7447","-19.5136","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966821' target='other'> <mi>dwc_moreinfo</mi></a>","NY00898117","NY00898117_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:52:24-03","EAO","IAN","35125","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Eriocaulaceae","Paepalanthus","scytophyllus","Paepalanthus scytophyllus","Ruhland",NA,"Glaziou, AFM","19967",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN035125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-02-02 14:38:09-02","BGBM","B","B 10 0157348","S","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","scytophyllus","Paepalanthus scytophyllus",NA,NA,"A. F. M. Glaziou","19971","1892","03","30","Middle and South America","Brazil",NA,NA,"Minas Geraës: Pinheiro.",NA,NA,NA,"Habitat: dans le campo sec. <a href=http://herbarium.bgbm.org/object/B100157348 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100157348","B100157348 B100157348_1","isosyntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-02-02 14:38:09-02","BGBM","B","B 10 0157349","S","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","scytophyllus","Paepalanthus scytophyllus","Ruhland",NA,"A. F. M. Glaziou","19967","1892","04","04","Middle and South America","Brazil",NA,NA,"Brasilien: Tombador bei Diamantina.",NA,NA,NA,"type determination Moldenke, 1959: Cotype <a href=http://herbarium.bgbm.org/object/B100157349 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100157349","B100157349 B100157349_1","type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2010-04-06 10:30:48-03","MNHN","RECOLNAT_MNHN_P","P00741983","PreservedSpecimen",NA,NA,NA,"Eriocaulaceae","Paepalanthus","scytophyllus","Paepalanthus scytophyllus","Ruhland","Costa","Glaziou, A.",NA,"1892","4","6",NA,"Brésil",NA,NA,"Province de Minas Geraes : Tombador, près de Diamantina",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00741983' target='other'> <mi>dwc_moreinfo</mi></a>","P00741983","P00741983_01","syntype","19967 A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-09-30 07:49:29-03","MNHN","RECOLNAT_MNHN_P","P00741986","PreservedSpecimen",NA,NA,NA,"Eriocaulaceae","Paepalanthus","scytophyllus","Paepalanthus scytophyllus","Ruhland","Costa","Glaziou, A.",NA,"1892","4","6",NA,"Brésil",NA,NA,"Province de Minas Geraes : Tombador, près de Diamantina",NA,NA,"hb","Attaché avec P00741985 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00741986' target='other'> <mi>dwc_moreinfo</mi></a>","P00741986","P00741986_01","syntype","19967 A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-11 11:44:07-03","UFMG","BHCB","29942","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Paepalanthus","scytophyllus","Paepalanthus scytophyllus","Ruhland",NA,"Splett","785","1995","03","07","Southern America","Brasil","Minas Gerais","Diamantina","Estrada Diamantina - Birinirí, 5,7 km depois de Diamantina.","-43.666667","-18.25",NA,"Planta rizomatosa de 0,5 - 0,8 m de altura. Flores brancas.; Crescendo em solo arenoso, no local pouco frequente.","BHCB013245",NA,NA,NA,"2016","06","16","-43.666667","-18.25","1200","1200",NA,NA,NA
"8","2020-12-11 11:44:07-03","UFMG","BHCB","62740","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Paepalanthus","scytophyllus","Paepalanthus scytophyllus","Ruhland",NA,"Magalhães, GM","2539",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Jaboticatubas",NA,"-43.7449989318848","-19.513599395752",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31264","auto",NA
"9","2009-07-27 09:32:00-03","MO","MOBOT","3047973","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","scytophyllus","Paepalanthus scytophyllus","Ruhland",NA,"Auguste F.M. Glaziou","Glaziou 19967","1892","4","4","South America","Brazil","Minas Gerais",NA,"Combeador prés Diamantina, Tambe campo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-09-04 18:33:56-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Eriocaulaceae","Paepalanthus","scytophyllus","Paepalanthus scytophyllus",NA,NA,"A. Glaziou","19967","1892","4","4","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"Syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledoneae"
