"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","class","order","year","month","day","locality","occurrenceRemarks","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber","preparationType","typeStatus","minimumElevationInMeters","maximumElevationInMeters","sex"
"1","2021-04-08 17:37:06-03","EAO","IAN","76456","PreservedSpecimen","Plantae","Dicotiledônea","Asteraceae","Mikania","verticillata","Mikania verticillata","Sch.Bip.","Sellow, F","1114","Southern America","Brasil","IAN076456",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:50:25-03","NBC","NL-BOTANY","L.3763109","PreservedSpecimen","Plantae",NA,"Compositae","Mikania","anethifolia","Mikania anethifolia","(DC.) Matzenb.","Pedersen TM",NA,"Southern America","Uruguay","NL-L3763109","Magnoliopsidae","Asterales","1997","04","08","Plantae Uruguayenses. Cuchilla Yacaré Cururú. Dep. Artigas.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3763109 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3763109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-02-02 14:37:55-02","BGBM","B","B 10 0002023","S","Plantae",NA,"Compositae","Mikania","carvifolia","Mikania carvifolia",NA,"Pivetta","378","Middle and South America","Brazil","B100002023",NA,NA,NA,NA,NA,"RGS.","<a href=http://herbarium.bgbm.org/object/B100002023 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100002023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-08-27 13:27:40-03","IAP","PACA-AGP","91772","PreservedSpecimen","Plantae","Magnoliophyta","Compositae","Mikania","anethifolia","Mikania anethifolia","(DC.) Matzenbacher","Mondin, C.","2587",NA,"Brasil","PACA091772","Magnoliatae","Asterales","2003","09","20","Cerro Palomas","Capítulos brancos. EM PERIGO. Habitat: Na encosta do cerro. Hábito: erva",NA,"M. R. Ritter","2003","09","20","RS","Santana do Livramento","-55.5327987670898","-30.8908004760742","79795","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-08-27 13:27:40-03","IAP","PACA-AGP","55693","PreservedSpecimen","Plantae","Magnoliophyta","Compositae","Mikania","carvifolia","Mikania carvifolia","Hier. & Arech.","J. Pivetta","378",NA,"Brasil","PACA055693","Magnoliatae","Asterales","1954","02","19","Dr. Pestana","SEM MATERIAL Habitat: in campestribus erecta Fenofase: flor",NA,"Emrich-Rambo","1955","04","07","RS","Ijuí","-53.9146995544434","-28.3878002166748","36807","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-01-17 11:24:32-02","PUCRS","MPUC","11634","S","Plantae",NA,"Asteraceae","Mikania","anethifolia","Mikania anethifolia","(DC.) Matzembacher",NA,NA,"South America","Brasil",NA,"Magnoliopsida","Asterales","1976","03","23","Morro Armour","Nova Combinação",NA,"N.I. Matzenbacher",NA,NA,NA,"RS","Sant Ana do Livramento","-55.5327778","-30.8894444",NA,NA,"-55.5327778000","-30.8894444000","2",NA,NA,NA,NA,NA,NA
"7","2021-03-16 17:50:57-03","UCS","HUCS","16939","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Mikania","anethifolia","Mikania anethifolia","(DC.) Matzenbacher","Scur, L.","676",NA,"Brasil",NA,NA,"Asterales","2000","03","25","Criúva","No campo",NA,"Robinson, H.","2001","06",NA,"Rio Grande do Sul","Caxias do Sul","-51.1794013977051","-29.1681003570557","49662","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-16 17:50:57-03","UCS","HUCS","15363","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Mikania","anethifolia","Mikania anethifolia","(DC.) Matzenbacher","Kegler, A.","923",NA,"Brasil",NA,NA,"Asterales","2000","03","25","Criúva - São Jorge","Em orla da capoeira",NA,"Robinson, H.","2000","06",NA,"Rio Grande do Sul","Caxias do Sul","-51.1794013977051","-29.1681003570557","49662","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-16 17:50:58-03","UCS","HUCS","48208","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Mikania","anethifolia","Mikania anethifolia","(DC.) Matzenbacher","Matzenbacher, N.I.","486",NA,"Brasil",NA,NA,"Asterales","1976","03","26","Morro Armour face W 10 Km SE de Livramento","Espécie ameaçada de extinção ( em perigo) &nf;Doação Herbário ICN 040568&nf;; ocorre da metade até o topo do morro",NA,"Ritter, M.R.",NA,NA,NA,"Rio Grande do Sul","Santana do Livramento","-55.5327987670898","-30.8908004760742","79795","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-25 12:11:35-03","UFSM","SMDB","1221","S","Plantae",NA,"Asteraceae","Mikania","anethifolia","Mikania anethifolia","(DC.) Matzenbacher","Alvarez, A.F.","s.n.",NA,"Brasil","SMDB001221",NA,NA,"1976","03","30","Estância do Davi Gonzales",NA,"SMDB001221","Ritter, MR",NA,NA,NA,"Rio Grande do Sul","Livramento",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2015-09-07 15:53:18-03","MNHN","RECOLNAT_MNHN_P","P00244245","PreservedSpecimen",NA,NA,"Asteraceae","Mikania","anethifolia","Mikania anethifolia","(DC.) Matzenbacher","Sellow, F.",NA,NA,"Brésil","P00244245",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00244245' target='other'> <mi>dwc_moreinfo</mi></a>","P00244245_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3474","hb",NA,NA,NA,NA
"12","2015-09-07 15:53:18-03","MNHN","RECOLNAT_MNHN_P","P00244246","PreservedSpecimen",NA,NA,"Asteraceae","Mikania","anethifolia","Mikania anethifolia","(DC.) Matzenbacher","Gaudichaud, C.",NA,NA,"Brésil","P00244246",NA,NA,"1833",NA,NA,"Rio Grande","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00244246' target='other'> <mi>dwc_moreinfo</mi></a>","P00244246_01","Matzenbacher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"912","hb",NA,NA,NA,NA
"13","2015-10-03 10:19:54-03","MNHN","RECOLNAT_MNHN_P","P00244247","PreservedSpecimen",NA,NA,"Asteraceae","Mikania","anethifolia","Mikania anethifolia","(DC.) Matzenbacher","Gaudichaud, C.",NA,NA,"Brésil","P00244247",NA,NA,"1833",NA,NA,"Rio Grande","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00244247' target='other'> <mi>dwc_moreinfo</mi></a>","P00244247_01","Matzenbacher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"929","hb",NA,NA,NA,NA
