"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","typeStatus","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","4031643","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","concinna","Thelypteris concinna","(Willd.) Ching","E. P. Killip","22807","1929","05","07","South America","Peru","Ayacucho","La Mar","Aina [Ayna district] , between Huanta and Río Apurimac","-73.860914","-12.664916","750","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4335476' target='other'> <mi>dwc_moreinfo</mi></a>","NY04031643",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","4031637","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","concinna","Thelypteris concinna","(Willd.) Ching","H. H. van der Werff","16712","2001","03","04","South America","Peru","Amazonas",NA,"Prov. San Martin","-77.8","-5.68","1950",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4335470' target='other'> <mi>dwc_moreinfo</mi></a>","NY04031637",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","4031660","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","concinna","Thelypteris concinna","(Willd.) Ching","J. Campos","2322","1996","01","31","South America","Peru","Cajamarca","San Ignacio","Distrito San Ignacio: Marizagüa.","-79.03","-5.18","1500","1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4335493' target='other'> <mi>dwc_moreinfo</mi></a>","NY04031660",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","4031644","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","concinna","Thelypteris concinna","(Willd.) Ching","E. P. Killip","23552","1929","05","29","South America","Peru","Junín","Chanchamayo","La Merced","-75.332995","-11.061082","700",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4335477' target='other'> <mi>dwc_moreinfo</mi></a>","NY04031644",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","4031635","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","concinna","Thelypteris concinna","(Willd.) Ching","T. B. Croat","88389","2003","05","01","South America","Ecuador","Imbabura",NA,"Along road between Apuela and Selva Alegre, 8.3 Km S of Apuela, along cut-off-road to Vacas Galindo just after bridge over Río Cristo, along small stream near bridge.","-78.565","0.3161","1318",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4335468' target='other'> <mi>dwc_moreinfo</mi></a>","NY04031635",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","4031656","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","concinna","Thelypteris concinna","(Willd.) Ching","E. P. Killip","24563","1929","06","08","South America","Peru","Junín","Chanchamayo","Schunke Hacienda, above San Ramón","-75.399968","-11.153572","1400","1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4335489' target='other'> <mi>dwc_moreinfo</mi></a>","NY04031656",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","4031659","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","concinna","Thelypteris concinna","(Willd.) Ching","E. Pittier","155","1921","11","07","South America","Venezuela","Distrito Capital",NA,"Near Las Ajuntas; along river banks.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4335492' target='other'> <mi>dwc_moreinfo</mi></a>","NY04031659",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","4031653","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","concinna","Thelypteris concinna","(Willd.) Ching","A. Brown","8243","1979","07","07","South America","Argentina","Salta","Anta","Parque Nacional El Rey.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4335486' target='other'> <mi>dwc_moreinfo</mi></a>","NY04031653",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","4031636","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","concinna","Thelypteris concinna","(Willd.) Ching","H. H. van der Werff","17866","2003","06","29","South America","Peru","Pasco","Oxapampa","Parque Nacional Yanachaga, El Huampal.","-75.57","-10.18","1200",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4335469' target='other'> <mi>dwc_moreinfo</mi></a>","NY04031636",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","4031648","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","concinna","Thelypteris concinna","(Willd.) Ching","W. H. Camp","E3156","1945","05","07","South America","Ecuador","Chimborazo",NA,"Cañon of the río Chanchau near Huigra.",NA,NA,"1219","1372","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4335481' target='other'> <mi>dwc_moreinfo</mi></a>","NY04031648",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
