"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","coordinatePrecision","geoFlag","preparationType","fieldNumber","individualCount","class","order","typeStatus"
"1","2019-10-09 11:22:45-03","UFBA","ALCB","106275","PreservedSpecimen","Plantae","Dicotyledon","Plantaginaceae","Bacopa","cochlearia","Bacopa cochlearia","(Huber) L.B.Sm.","Guedes, ML","2012","09","Guedes, ML; Alunos de Microbiologia Vegetal UFBA","19971","2012","04","27","Southern America","Brasil","Bahia","Lençóis","Chapada Diamantina, Marimbus","-41.383333","-12.55","-41.383333","-12.55","Folhas membranáceas, sésseis, discolores, margens serrada. Flores lilases.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-31 13:41:32-03","MN","R","95896","PreservedSpecimen","Plantae",NA,"Plantaginaceae","Bacopa","cochlearia","Bacopa cochlearia","(Huber) L.B. Sm.","Cochran, W.C.",NA,NA,"Freire Allemão, F.; Cysneiros, M.","1275",NA,NA,NA,NA,"Brasil","Ceará",NA,NA,NA,NA,NA,NA,"M.N. Plantas da Comm. Scient. da Prov. do Ceará","R010054327","R010054327_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-31 13:41:32-03","MN","R","95897","PreservedSpecimen","Plantae",NA,"Plantaginaceae","Bacopa","cochlearia","Bacopa cochlearia","(Huber) L.B. Sm.","Cochran, W.C.",NA,NA,"Freire Allemão, F.; Cysneiros, M.","1274",NA,NA,NA,NA,"Brasil","Ceará",NA,NA,NA,NA,NA,NA,"M.N. Plantas da Comm. Scient. da Prov. do Ceará","R010053830","R010053830_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-19 10:25:29-03","CPAP","CPAP","12800","PreserverdSpecimen","Plantae",NA,"Scrophulariaceae","Bacopa","cochlearia","Bacopa cochlearia","(Huber) L.B.Sm.",NA,NA,NA,"Pott, A.","6826","1994","03","05",NA,"Brasil","MS","Porto Murtinho","Fazenda Flórida, Reserva Indigena Kadiweu, Nabileque, Pantanal","-57.633333","-20.8","57°38' W","20°48' S","Erva ereta, base aerênquimatosa; algo crassa e viscosa. Odorosa. FLOR: arroxeada. FRUTO: . INTERESSE: Aromática. FREQUÊNCIA: . AMBIENTE: Campo úmido em caronal (Elyonurus). SUBSTRATO: solo arenoso. RELEVO: plano. <ll>dwc_commonname:</ll> Limaozinho",NA,NA,"90","90",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-19 10:25:29-03","CPAP","CPAP","12805","PreserverdSpecimen","Plantae",NA,"Scrophulariaceae","Bacopa","cochlearia","Bacopa cochlearia","(Huber) L.B.Sm.",NA,NA,NA,"Pott, A.","6831","1994","03","05",NA,"Brasil","MS","Porto Murtinho","Aeroporto","-57.866667","-21.7","57°52' W","21°42' S","Erva ereta algo crassa e viscosa, base aerênquimatosa. FLOR: arroxeada. FRUTO: . INTERESSE: Aromática. FREQUÊNCIA: . AMBIENTE: Campo secundário, úmido (original: mata de chaco úmido). SUBSTRATO: solo argiloso (gley pouco húmico eutrófico). RELEVO: plano.",NA,NA,"90","90",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-02-15 11:50:35-02","IPA","IPA","16294","S","Plantae","Plantae","Scrophulariaceae","Bacopa","cochlearia","Bacopa cochlearia","(Huber) L.B. Sm.","Andrade-Lima; Giulietti, A.M.","1970","08","Andrade-Lima","67-5100","1967","10","29","Southern America","Brasil","Ceará","Fortaleza","Praia do Futuro, área baixa úmida.","-38.543098449707","-3.71722006797791",NA,NA,"Flor amarelo e roxo.","IPA0016294",NA,NA,NA,"17","19924","auto",NA,NA,NA,NA,NA,NA
"7","2021-04-07 11:47:05-03","UFMS","CGMS","74731","PreservedSpecimen","Plantae",NA,"Plantaginaceae","Bacopa","cochlearia","Bacopa cochlearia","(Huber) L.B.Sm.",NA,NA,NA,"V.J. Pott; S.M. Salis, A. Arantes & R.R. da Silva","3086","1996","03","27",NA,"Brasil","Mato Grosso do Sul","Porto Murtinho","17 Km da cidade, na estrada MS-195, Bocaiuval para Tereré.","-57.75","-21.6833333","-57,75","-21,6833333","Flor lilás. CPAP - 15602. Habitat: Brejo graminoso em carandazal, na área chaquenha. Solo argiloso. Relevo plano. Habito: Erva ereta, 80 cm de altura. Comum.","CGMS1107597",NA,"85","85",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-07 11:47:05-03","UFMS","CGMS","74757","PreservedSpecimen","Plantae",NA,"Plantaginaceae","Bacopa","cochlearia","Bacopa cochlearia","(Huber) L.B.Sm.",NA,NA,NA,"A. Pott","6826","1994","03","05",NA,"Brasil","Mato Grosso do Sul","Porto Murtinho","Fazenda Flórida, Reserva Indígena Kadiweu, Nabileque,Pantanal.","-57.6333333","-20.8","-57,6333333","-20,8","Flor arroxeada. Odorosa. CPAP - 12800. Habitat: Campo úmido em caronal (Elionurus). Solo arenoso. Relevo plano. Habito: Erva ereta, base aerenquimatosa; algo crassa e viscosa.","CGMS1107623",NA,"90","90",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-07 11:47:05-03","UFMS","CGMS","43309","PreservedSpecimen","Plantae",NA,"Plantaginaceae","Bacopa","cochlearia","Bacopa cochlearia","(Huber) L.B.Sm.","A.L.B. Sartori; F.J. Kochanovski","2012","03","F.J. Kochanovski; J. Fabri; L. Arakaki","557","2012","08","23",NA,"Brasil","Mato Grosso do Sul","Porto Murtinho","Fazenda Retiro Conceição, Frente.","-57.7627778","-21.6977777","-57,7627778","-21,6977777","Flor lilás. Área perturbada Habitat: Savana Estépica Arborizada (Chaco Arborizado). Habito: Erva.","CGMS1073294",NA,"90","90","29",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-07 11:47:05-03","UFMS","CGMS","71588","PreservedSpecimen","Plantae",NA,"Plantaginaceae","Bacopa","cochlearia","Bacopa cochlearia","(Huber) L.B.Sm.",NA,NA,NA,"A. Pott; V.J. Pott; S.N. Moreira","14515","2007","07","27",NA,"Brasil","Mato Grosso do Sul","Bela Vista","Pousada Princesa do APA, arredores da cidade de Bela Vista.","-56.5105556","-22.0786111","-56,5105556","-22,0786111","Flor azulada; Fruto castanho; Folha odorosa. Habitat: Vegetação secundária de transição Cerrado decidual / Chaco. Habito: Erva ereta ou subereta, multicaule.","CGMS1104366",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
