"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","coordinatePrecision","geoFlag","phylum","class","order","recordNumber","individualCount","continentOcean","preparationType","relationshipType","relatedCatalogItem","fieldNumber","typeStatus","infraspecificEpithet","sex"
"1","2021-04-05 14:25:43-03","UNESC","CRI","8960","PreservedSpecimen","Plantae","Orchidaceae","Acianthera","saundersiana","Acianthera saundersiana","(Rchb.f.) Pridgeon & M.W.Chase","Waechter","2011","08","23","Lislaine Cardoso de Oliveira","2011","04","14","Brasil","Santa Catarina","Araranguá","Sanga do Veado.","-49.486111","-28.935278","49º29'10''W","28º56'7''S","4","4","CRI005794","CRI005794",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:43-03","UNESC","CRI","14116","PreservedSpecimen","Plantae","Orchidaceae","Acianthera","saundersiana","Acianthera saundersiana","(Rchb.f.) Pridgeon & M.W.Chase","Peterson T. Padilha","2018","09","29","Caio Feltrin","2018","09","29","Brasil","Santa Catarina","Treviso","Localidade de Santo Antonio. Contrafortes da REBIO do Aguaí. Microbacia do Rio Pio.","-49.523056","-28.491111","49º31'23''W","28º29'28''S","590","590","CRI012766",NA,"Habito: Epífita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:43-03","UNESC","CRI","12444","PreservedSpecimen","Plantae","Orchidaceae","Acianthera","saundersiana","Acianthera saundersiana","(Rchb.f.) Pridgeon & M.W.Chase","Peterson T. Padilha & Renato Colares","2017","07","18","Alexandre Medeiros","2017","04","20","Brasil","Santa Catarina","Balneário Camboriú","Barra.","-48.6347007751465","-26.9906005859375",NA,NA,NA,NA,"CRI010651",NA,"Coleta 100. Habito: Epífita","8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:57-03","FZB-BH","CVJBFZB","2376","S","Plantae","Orchidaceae","Acianthera","saundersiana","Acianthera saundersiana","(Rchb.f.) Pridgeon & M.W.Chase","Carlos A. Ferreira Jr.","2012","08","22","Carlos Alberto F. Jr.; Maria Guadalupe, Fernando Fernandez, Fernando Araujo","2012","07","12","Brasil","Minas Gerais","Santana do Riacho","RPPN Brumas do Espinhaço e Ermo da Gerais","-43.7144012451172","-19.1688995361328","19º 02' 24S","43º 42' 06W","1414","1414",NA,NA,"254","26557","auto","Magnoliophyta","Equisetopsida","Asparagales","CAF539","2",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:57-03","FZB-BH","CVJBFZB","2243","S","Plantae","Orchidaceae","Acianthera","saundersiana","Acianthera saundersiana","(Rchb.f.) Pridgeon & M.W.Chase","Carlos A. Ferreira Jr.","2009","05",NA,"Carlos Alberto F. Jr.;","1997","05","03","Brasil","Minas Gerais","Bom Jesus do Amparo","Serra da Bocaína","-43.4735984802246","-19.7035999298096",NA,NA,NA,NA,NA,NA,"254","11340","auto","Magnoliophyta","Equisetopsida","Asparagales",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","512410","PreservedSpecimen","Plantae","Orchidaceae","Acianthera","saundersiana","Acianthera saundersiana","(Rchb.f.) Pridgeon & M.W.Chase",NA,NA,NA,NA,"G. G. Hatschbach","1958","07","27","Brazil","Paraná","Lapa","Col. Mariental","-49.7156","-25.7697",NA,NA,NA,NA,"NY00512410","NY00512410_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=255223' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta",NA,"Asparagales","4939",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","533578","PreservedSpecimen","Plantae","Orchidaceae","Acianthera","saundersiana","Acianthera saundersiana","(Rchb.f.) Pridgeon & M.W.Chase",NA,NA,NA,NA,"G. G. Hatschbach","1961","06","02","Brazil","Paraná","Paranaguá","Caioba","-48.5092","-25.5203",NA,NA,NA,NA,"NY00533578","NY00533578_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=302758' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta",NA,"Asparagales","8151",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","533575","PreservedSpecimen","Plantae","Orchidaceae","Acianthera","saundersiana","Acianthera saundersiana","(Rchb.f.) Pridgeon & M.W.Chase",NA,NA,NA,NA,"G. G. Hatschbach","1968","08","08","Brazil","Paraná","Morretes","Rio Sagrado de Cima","-48.8342","-25.4769",NA,NA,"100","300","NY00533575","NY00533575_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=302759' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta",NA,"Asparagales","19571",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","512477","PreservedSpecimen","Plantae","Orchidaceae","Acianthera","saundersiana","Acianthera saundersiana","(Rchb.f.) Pridgeon & M.W.Chase",NA,NA,NA,NA,"R. Reitz","1953","05","14","Brazil","Santa Catarina","Palhoça","Campo do Massiambu","-48.62515","-27.834087",NA,NA,"5","5","NY00512477","NY00512477_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=61111' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta",NA,"Asparagales","597",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","512409","PreservedSpecimen","Plantae","Orchidaceae","Acianthera","saundersiana","Acianthera saundersiana","(Rchb.f.) Pridgeon & M.W.Chase",NA,NA,NA,NA,"A. Gehrt","1921","07","14","Brazil","São Paulo",NA,"Pirajussara",NA,NA,NA,NA,NA,NA,"NY00512409","NY00512409_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=255224' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta",NA,"Asparagales","5713",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","533574","PreservedSpecimen","Plantae","Orchidaceae","Acianthera","saundersiana","Acianthera saundersiana","(Rchb.f.) Pridgeon & M.W.Chase",NA,NA,NA,NA,"P. K. H. Dusén","1914","02","12","Brazil","Paraná","Pinhais",NA,"-49.157618","-25.419851",NA,NA,NA,NA,"NY00533574","NY00533574_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=302756' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta",NA,"Asparagales","14612",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","533579","PreservedSpecimen","Plantae","Orchidaceae","Acianthera","saundersiana","Acianthera saundersiana","(Rchb.f.) Pridgeon & M.W.Chase",NA,NA,NA,NA,"A. C. Brade","1922","05","06","Brazil","São Paulo","Iguape","Morro das Pedras","-47.5497","-24.7003",NA,NA,NA,NA,"NY00533579","NY00533579_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=302761' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta",NA,"Asparagales","8317",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","533576","PreservedSpecimen","Plantae","Orchidaceae","Acianthera","saundersiana","Acianthera saundersiana","(Rchb.f.) Pridgeon & M.W.Chase",NA,NA,NA,NA,"G. G. Hatschbach","1970","11","19","Brazil","Paraná","Sao Jerônimo da Serra","Rio Jaguariaiva, Cerredeira Paulista","-50.7408","-23.7278",NA,NA,NA,NA,"NY00533576","NY00533576_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=302760' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta",NA,"Asparagales","25563",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
