"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","yearIdentified","monthIdentified","dayIdentified","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","order","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","919647","PreservedSpecimen","Plantae","Marchantiophyta","Metzgeriaceae","Metzgeria","liebmanniana","Metzgeria liebmanniana","Lindenb. & Gottsche","J.-P. Frahm","J.-P. Frahm","686","1982","09","01","South America","Peru","San Martín","Rioja","Strasse Chachapoyas-Moyobamba km 379","2100","2100","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986152' target='other'> <mi>dwc_moreinfo</mi></a>","NY00919647",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-09 17:04:56-03","IAP","PACA-BRYOPHYTES","81600","PreservedSpecimen","Plantae",NA,"Metzgeriaceae","Metzgeria","liebmanniana","Metzgeria liebmanniana","Lindenb. et Gott.","Costa, D. P.","Sehnem, A.","1080","1942","01","14",NA,"Brasil","RS","Bom Jesus","Serra da Rocinha",NA,NA,NA,"Habitat: Ad arborem.","PACA081600","1997","05","14","-50.4166984558105","-28.6678009033203","55856","auto",NA,NA,NA,NA,NA,NA
"3","2021-03-16 17:55:58-03","UCS","HUCS","28025","PreservedSpecimen","Plantae","Bryophyta","Metzgeriaceae","Metzgeria","liebmanniana","Metzgeria liebmanniana","Lindenb. & Gottsche","Yano, O.","Bordin, J.","415","2006","02","09",NA,"Brasil","Rio Grande do Sul","Caxias do Sul","Bairro Cinquentenário","780","780",NA,"em terreno baldio - em trnco de Ligustrum",NA,"2006","06","08","-51.1794013977051","-29.1681003570557","49662","auto","Metzgeriales",NA,NA,NA,NA,NA
"4","2021-03-16 17:55:58-03","UCS","HUCS","3304","PreservedSpecimen","Plantae","Bryophyta","Metzgeriaceae","Metzgeria","liebmanniana","Metzgeria liebmanniana","Lindenb. & Gottsche","Griffin III, D.","Wasum, R.A.","s.n.","1987","09","12",NA,"Brasil","Rio Grande do Sul","Esmeralda","Fazenda da Guabiroba","850","850",NA,"sobre troncos - interior da mata",NA,"1987","11","13","-51.190299987793","-28.0536003112793","38649","auto","Metzgeriales",NA,NA,NA,NA,NA
"5","2021-03-16 17:55:58-03","UCS","HUCS","25968","PreservedSpecimen","Plantae","Bryophyta","Metzgeriaceae","Metzgeria","liebmanniana","Metzgeria liebmanniana","Lindenb. & Gottsche","Yano, O.","Bordin, J.","103","2005","02","19",NA,"Brasil","Rio Grande do Sul","Caxias do Sul","Travessão Gablontz","780","780",NA,"base do tronco de Zanthoxyllum - orla da mata",NA,"2008","07","18","-51.1794013977051","-29.1681003570557","49662","auto","Metzgeriales",NA,NA,NA,NA,NA
"6","2019-05-02 10:54:47-03","IBt","SP-BRYOPHYTA","086369","S","Plantae",NA,"Metzgeriaceae","Metzgeria","liebmanniana","Metzgeria liebmanniana","Lindb. & Gottsche",NA,"Vital, D.M.","29","1962","03","09","Southern America","BRASIL","Rio de Janeiro","Itatiaia",NA,"2200","2200",NA,NA,"SP060841",NA,NA,NA,"-44.563333","-22.496111",NA,NA,NA,"-44.563333","-22.496111",NA,NA,NA
"7","2019-05-02 10:54:47-03","IBt","SP-BRYOPHYTA","174102","S","Plantae",NA,"Metzgeriaceae","Metzgeria","liebmanniana","Metzgeria liebmanniana","Lindb. & Gottsche",NA,"Vital, D.M.","10707","1982","07","16","Southern America","BRASIL","Paraná","Sengés","In a cerrado vegetation","620","620",NA,"In partial shade, on vertical side of an arenitic rocky outcrop","SP081810",NA,NA,NA,"-49.463611","-24.112778",NA,NA,NA,"-49.463611","-24.112778",NA,NA,NA
"8","2019-05-02 10:54:47-03","IBt","SP-BRYOPHYTA","189684","S","Plantae",NA,"Metzgeriaceae","Metzgeria","liebmanniana","Metzgeria liebmanniana","Lindb. & Gottsche","Yano, O.","Yano, O.; Compagnoli, R.C.","8246","1983","08","23","Southern America","BRASIL","Paraná","Rolândia","Praça da av. Presidente Vargas.","730","730",NA,"Sobre o tronco vivo de Ligustrum sp.","SP084682",NA,NA,NA,"-51.369167","-23.309722",NA,NA,NA,"-51.369167","-23.309722",NA,NA,NA
"9","2019-05-02 10:54:47-03","IBt","SP-BRYOPHYTA","191197","S","Plantae",NA,"Metzgeriaceae","Metzgeria","liebmanniana","Metzgeria liebmanniana","Lindb. & Gottsche","Costa, D.P.","Yano, O.; Andrade Lima, D.","2639","1980","08","24","Southern America","BRASIL","Pernambuco","Taquaritinga do Norte",NA,"780","780",NA,"Sobre galhos de árvore viva, na mata ao lado da micronda","SP086255",NA,NA,NA,"-36.044167","-7.903056",NA,NA,NA,"-36.044167","-7.903056",NA,NA,NA
"10","2019-05-02 10:54:47-03","IBt","SP-BRYOPHYTA","206172","S","Plantae",NA,"Metzgeriaceae","Metzgeria","liebmanniana","Metzgeria liebmanniana","Lindb. & Gottsche",NA,"Vital, D.M.; Buck, W.R.","11805","1984","09","16","Southern America","BRASIL","Espírito Santo","Iúna","Parque Nacional do Caparaó","2350","2890",NA,"Along trail From Terreirão to the summit of Pico da Bandeira; dry, rocky hillsides along Rio José Preto with scattered shrubs and small trees.","SP087606",NA,NA,NA,"-41.716667","-20.433333",NA,NA,NA,"-41.716667","-20.433333",NA,NA,NA
"11","2019-05-02 10:54:47-03","IBt","SP-BRYOPHYTA","206129","S","Plantae",NA,"Metzgeriaceae","Metzgeria","liebmanniana","Metzgeria liebmanniana","Lindb. & Gottsche",NA,"Vital, D.M.; Buck, W.R.","11743","1984","09","16","Southern America","BRASIL","Minas Gerais","Caparaó Novo","Parque Nacional do Caparaó","1970","2350",NA,"Along trail to Pico da Bandeira from Tronqueira do Terreirão; dry, rocky hillsides along Rio José Preto with scattered shrubs and small trees.","SP087565",NA,NA,NA,"-41.733333","-20.433333",NA,NA,NA,"-41.733333","-20.433333",NA,NA,NA
"12","2016-12-17 10:45:00-02","MO","MOBOT","100943677","PreservedSpecimen","Plantae",NA,"Metzgeriaceae","Metzgeria","liebmaniana","Metzgeria liebmaniana","Lindenb. & Gottsche","D.P. Costa","S.R. Gradstein|et al.","Gradstein 6682a","1988","9","25","South America","Ecuador","Pichincha",NA,"Cotopaxi National Park, Aguas Limpias.","3850.00000000",NA,NA,NA,NA,NA,NA,NA,"-78.4833333","-0.6333333",NA,NA,NA,NA,NA,"1",NA,NA
"13","2016-12-17 10:31:00-02","MO","MOBOT","100943674","PreservedSpecimen","Plantae",NA,"Metzgeriaceae","Metzgeria","liebmaniana","Metzgeria liebmaniana","Lindenb. & Gottsche","D.P. Costa","Jan-Peter Frahm|Patricia Geissler|S.R. Gradstein|G. Philippe|Wolfram Schultze-Motel","Frahm 1171","1982","9","7","South America","Peru","Amazonas","Chachapoyas","km 403.5 StraBe Cajamarca-Chachapoyas","3200.00000000",NA,NA,NA,NA,NA,NA,NA,"-75.5","-13.2666667",NA,NA,NA,NA,NA,"1",NA,NA
"14","2016-12-17 10:21:00-02","MO","MOBOT","100943670","PreservedSpecimen","Plantae",NA,"Metzgeriaceae","Metzgeria","liebmaniana","Metzgeria liebmaniana","Lindenb. & Gottsche","D.P. Costa","Jan-Peter Frahm|et al.","Frahm 686","1982","9","1","South America","Peru","San Martín","Rioja","Strasse Chachapoyas-Moyobamba Km 379, n-exponierter Bergregenwald.","2100.00000000",NA,NA,NA,NA,NA,NA,NA,"-77.4","-6.1333333",NA,NA,NA,NA,NA,"1",NA,NA
"15","2016-12-17 00:34:00-02","MO","MOBOT","100943658","PreservedSpecimen","Plantae",NA,"Metzgeriaceae","Metzgeria","liebmaniana","Metzgeria liebmaniana","Lindenb. & Gottsche","D.P. Costa","Antoine M. Cleef|et al.","Cleef 5168","1972",NA,NA,"South America","Colombia","Cundinamarca","San Cayetano","San Cayetano, Cogua, Páramo Alto, Laguna verde, alrededores.","3600.00000000",NA,NA,NA,NA,NA,NA,NA,"-75.1","6.2166667",NA,NA,NA,NA,NA,"1",NA,NA
"16","2016-12-17 00:29:00-02","MO","MOBOT","100943656","PreservedSpecimen","Plantae",NA,"Metzgeriaceae","Metzgeria","liebmaniana","Metzgeria liebmaniana","Lindenb. & Gottsche","D.P. Costa","Antoine M. Cleef","Cleef 4284 p.p.","1972","7","9","South America","Colombia","Boyacá","Socotá","Socota, Páramo de Pisba, via Socha-La Punta, km 72, S Cerro Bizcocho.","3535.00000000",NA,NA,NA,NA,NA,NA,NA,"-72.6166667","5.9333333",NA,NA,NA,NA,NA,"1",NA,NA
"17","2016-12-17 00:32:00-02","MO","MOBOT","100943657","PreservedSpecimen","Plantae",NA,"Metzgeriaceae","Metzgeria","liebmaniana","Metzgeria liebmaniana","Lindenb. & Gottsche","D.P. Costa","Thomas van der Hammen|Roberto Jaramillo M.","van der Hammen 4363","1976","8","20","South America","Colombia","Cundinamarca",NA,"Santa Fe De Bogota, Paramo Chisaca, Santa Rosa, Bodegas de Sumapaz, valle Rio Colorado","3460.00000000",NA,NA,NA,NA,NA,NA,NA,"-74.2166667","4.2833333",NA,NA,NA,NA,NA,"1",NA,NA
"18","2016-12-17 00:40:00-02","MO","MOBOT","100943659","PreservedSpecimen","Plantae",NA,"Metzgeriaceae","Metzgeria","liebmaniana","Metzgeria liebmaniana","Lindenb. & Gottsche","D.P. Costa","Noris Salazar A.","Salazar Allen 6463","1988","10","20","South America","Colombia","Cundinamarca","Subachoque","Subachoque, Supata, N de Bogota- El Tablazo.","3500.00000000",NA,NA,NA,NA,NA,NA,NA,"-74.1666667","5",NA,NA,NA,NA,NA,"1",NA,NA
"19","2016-12-17 00:49:00-02","MO","MOBOT","100943661","PreservedSpecimen","Plantae",NA,"Metzgeriaceae","Metzgeria","liebmaniana","Metzgeria liebmaniana","Lindenb. & Gottsche","D.P. Costa","Antoine M. Cleef","Cleef 1171 p.p.","1972","1","27","South America","Colombia","Meta",NA,"Páramo de Sumapaz, Hoya de la Quebrada Sitiales.","3450.00000000",NA,NA,NA,NA,NA,NA,NA,"-74.25","3.75",NA,NA,NA,NA,NA,"1",NA,NA
