"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","typeStatus","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2020-04-28 14:12:49-03","UFES","VIES","5542","S","Plantae","Annonaceae","Trigynaea","flagelliflora","Trigynaea flagelliflora","Lobão","A. Lobão","2020","04","17","Vinha, P.C.","1199","1991","02","05","Brasil","Espírito Santo","Cachoeiro de Itapemirim","Monte Cristo.","-41.1128005981445","-20.8488998413086","35694","VIES005542","VIES005542","auto",NA,NA,NA,NA,NA
"2","2020-04-27 16:08:34-03","UFES","VIES","20523","S","Plantae","Annonaceae","Trigynaea","flagelliflora","Trigynaea flagelliflora","Lobão","A.Q. Lobão","2017","05","22","Zorzanelli, R.F.; Silva, A.E.; Entringer, D.L.; Bernardi, U.C.S. & Oliveira, M.","10","2013","03","16","Brasil","Espírito Santo","Cachoeiro de Itapemirim","RPPN Cafundó. Trilha entre as parcelas 14 e 20.","-41.221667","-20.713333",NA,"VIES020523","VIES020523",NA,"Isotipo","41º13'18''W","20º42'48''S","111","111"
"3","2019-11-13 11:14:40-03","USP","SPF","241000","PreservedSpecimen","Plantae","Annonaceae","Trigynaea","flagelliflora","Trigynaea flagelliflora","Lobão","Lobão, AQ","2017","05","22","Zorzanelli, RF","10","2013","03","16","Brasil","Espírito Santo","Cachoeiro de Itapemirim","RPPN Fazenda Cafundó. Trilha entre as parcelas 14 e 20.","-41.371389","-21.1925",NA,"SPF00241000",NA,NA,"isotype","-41.371389","-21.1925",NA,NA
