"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","class","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","individualCount","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","144622","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Pteris","limae","Pteris limae","Brade","isotype","G. Santos","s.n.","1931","06","South America","Brazil","Santo Antonio do Imbe, E. do Rio Brasil Matas do logar denominado Valao do Imbe","sheet","Collector's name on label: Joaquim dos Santos Lima Jr. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402003' target='other'> <mi>dwc_moreinfo</mi></a>","NY00144622","NY00144622_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","886532","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Pteris","limae","Pteris limae","Brade",NA,"P. H. Labiak E.","4040","2007","07","South America","Brazil","Alto de Santo Antonio. Terreno do Bozza.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1026995' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886532","NY00886532_01","F. B. Matos; P. H. Labiak E.","12","Espírito Santo","Santa Teresa","-40.5911","-19.9086","760","760",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:45:24-03","NBC","NL-BOTANY","L.3601692","PreservedSpecimen","Plantae",NA,"Polypodiales","Pteridaceae","Pteris","limae","Pteris limae","Brade",NA,"Lima Santos J",NA,NA,NA,"Southern America","Brazil","State of Rio; S. Antonio do Imbe.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3601692 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3601692","NL-L3601692",NA,NA,NA,NA,NA,NA,NA,NA,"Pteropsida",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-02-02 14:39:05-02","BGBM","B","B 20 0090097","S","Plantae",NA,NA,"Polypodiaceae","Pteris","limae","Pteris limae","Brade","isotype","J. Santos Lima","36","1931",NA,"Middle and South America","Brazil","Est. do Rio: Santo Antonio de Imbé.",NA,"<a href=http://herbarium.bgbm.org/object/B200090097 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B200090097","B200090097",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 17:47:13-03","UFPB","JPB","17870","PreservedSpecimen","Plantae","Ferns","Fern","Pteridaceae","Pteris","limae","Pteris limae","Bradi",NA,"Felix, LP","2668","1990","01","Southern America","Brasil",NA,NA,"; HABITAT: Em derrubada de mata. Solo humoso de mata, terrestre.","JPB0017870","JPB0017870",NA,"13","Bahia","Buerarema","-39.2997016906738","-14.959400177002",NA,NA,NA,"14251","auto",NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:42:25-03","MBM","MBM","393025","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Pteris","limae","Pteris limae","Brade",NA,"Labiak, P.H.; Goldenberg, R.; Matos, F.B.; Kollmann, L.; Goldenberg, R.; Matos, F.B.; Kollmann, L.","4040","2007","07","Southern America","Brazil","Alto de Santo Antonio, Terreno do Bozza",NA,"Terrestre.; Mata Atlântica de encosta, no interior da mata, próximo ao riacho.","MBM393025","MBM393025","Matos, F.B.; Labiak, P.H.","12","Espírito Santo","Santa Teresa","-40.591111","-19.908611","760","760",NA,NA,NA,"-40.591111","-19.908611",NA,NA,NA,NA,NA
"7","2017-09-27 11:37:42-03","MNHN","RECOLNAT_MNHN_P","P01312395","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Pteris","limae","Pteris limae","Brade",NA,"Santos Lima, J.",NA,"1935","6",NA,"Brésil","Santo Antonio de Imbé. E de Rio","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01312395' target='other'> <mi>dwc_moreinfo</mi></a>","P01312395","P01312395_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-29 14:53:46-03","UFPR","UPCB","57754","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Pteridaceae","Pteris","limae","Pteris limae","Brade",NA,"Labiak, P.H.","4040","2007","07",NA,"Brasil","BLOQUEADO",NA,"Terrestre, no interior da mata, próximo ao riacho. Mata Atlântica de encosta..","UPCB0008959","UPCB0008959","Labiak, P.H. & Matos, F.B.","12","Espírito Santo","Santa Teresa",NA,NA,"760","760",NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA
"9","2020-07-10 09:49:01-03","MBML","MBML-HERBARIO","31326",NA,"Plantae",NA,NA,"Pteridaceae","Pteris","limae","Pteris limae","Brade",NA,"P. Labiak; et al","4040","2007","07",NA,"Brasil","Alto de Santo Antônio, terreno do Boza",NA,NA,"MBML031326","MBML031326","F.B. Matos & P.Labiak/VII-2007","12","Espírito Santo","Santa Teresa","-40.591667","-19.909167",NA,NA,NA,NA,NA,"40W35'30","19S54'33",NA,NA,NA,NA,NA
"10","2020-07-10 09:49:01-03","MBML","MBML-HERBARIO","14630",NA,"Plantae",NA,NA,"Pteridaceae","Pteris","limae","Pteris limae","Brade",NA,"L. Kollmann; et al","3784","2001","05",NA,"Brasil","Santo Antônio",NA,"Terrestre 60cm na sombra. Folhas e pecíolos verdes com pêlos pretos.","MBML014630","MBML014630","P. Labiak/14-07-2007","31","Espírito Santo","Santa Teresa","-40.589167","-19.922222",NA,NA,NA,NA,NA,"40W35'21","19S55'20",NA,NA,NA,NA,NA
"11","2020-07-10 09:49:01-03","MBML","MBML-HERBARIO","20014",NA,"Plantae",NA,NA,"Pteridaceae","Pteris","limae","Pteris limae","Brade",NA,"R.R. Vervloet; et al","2004","2003","03",NA,"Brasil","São Lourenço",NA,"Terrestre, meia encosta, dossel 18m, pêlos marrons.","MBML020014","MBML020014","P. Labiak/14-07-2007","15","Espírito Santo","Santa Teresa","-40.620556","-19.931111",NA,NA,NA,NA,NA,"40W37'14","19S55'52",NA,NA,NA,NA,NA
"12","2020-07-10 09:49:01-03","MBML","MBML-HERBARIO","219",NA,"Plantae",NA,NA,"Pteridaceae","Pteris","limae","Pteris limae","Brade",NA,"H. Q. Boudet Fernandes","1157","1985","05",NA,"Brasil","Morro do Loteamento Jardim da Montanha",NA,"Samambaia terrestre em solo muito pedregoso com matéria orgânica, soros marrons, capoeira.","MBML000219","MBML000219_1 MBML000219_2 MBML000219_3","Lana Sylvestre/1997","22","Espírito Santo","Santa Teresa","-40.587778","-19.950556",NA,NA,NA,NA,NA,"40W35'16","19S57'2",NA,NA,NA,NA,NA
"13","2020-07-10 09:49:01-03","MBML","MBML-HERBARIO","221",NA,"Plantae",NA,NA,"Pteridaceae","Pteris","limae","Pteris limae","Brade",NA,"H. Q. Boudet Fernandes","1262","1985","06",NA,"Brasil","Vale do Canaã",NA,"Samambaia terrestre com pêlos marrons na fronde, esporângios verdes, semi-sombra, capoeirão, encosta.","MBML000221","MBML000221","in dupl.: Lana Sylvestre/1997","18","Espírito Santo","Santa Teresa","-40.601944","-19.906111",NA,NA,NA,NA,NA,"40W36'7","19S54'22",NA,NA,NA,NA,NA
"14","2020-07-10 09:49:01-03","MBML","MBML-HERBARIO","25131",NA,"Plantae",NA,NA,"Pteridaceae","Pteris","limae","Pteris limae","Brade",NA,"A. P. Fontana; et al","1392","2005","04",NA,"Brasil","Bela Vista",NA,"Terrestre, folhas verdes com pêlos marrons, fértil.","MBML025131","MBML025131","P. Labiak/14-07-2007","29","Espírito Santo","Santa Teresa","-40.604167","-19.780556",NA,NA,NA,NA,NA,"40W36'15","19S46'50",NA,NA,NA,NA,NA
"15","2020-07-10 09:49:01-03","MBML","MBML-HERBARIO","260",NA,"Plantae",NA,NA,"Pteridaceae","Pteris","limae","Pteris limae","Brade",NA,"W. Boone","588","1985","07",NA,"Brasil","Mata Fria",NA,"Samambaia terrestre, ciófila, mata.","MBML000260","MBML000260","Lana Sylvestre/1997","17","Espírito Santo","Santa Teresa","-40.683333","-19.931111",NA,NA,NA,NA,NA,"40W41'0","19S55'52",NA,NA,NA,NA,NA
