"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","day","county","decimalLongitude","decimalLatitude","identifiedBy","yearIdentified","monthIdentified","dayIdentified","class","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","verbatimLongitude","verbatimLatitude","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","148611","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Polypodium","saxicola","Polypodium saxicola","Rosenst.","isotype","A. C. Brade","8274","1924","03","South America","Brazil","São Paulo","Serra do Itatins","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=82528' target='other'> <mi>dwc_moreinfo</mi></a>","NY00148611","NY00148611_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2017-05-17 10:21:00-03","NY","NYBG","02687567","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","gymnosora","Thelypteris gymnosora",NA,NA,"L. Sylvestre","2257","2012","07","South America","Brazil","Rio de Janeiro","Rio Macapá. Parque Estadual do Desengano","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2964588' target='other'> <mi>dwc_moreinfo</mi></a>","NY02687567","NY02687567_01","25","Santa Maria Madalena","-41.911944","-21.876111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:51:08-03","EAO","IAN","107564","PreservedSpecimen","Plantae","Fern",NA,"Thelypteridaceae","Thelypteris","gymnosora","Thelypteris gymnosora","Ponce",NA,"Magalhães, MG","5350",NA,NA,"Southern America","Brasil","Minas Gerais","Umbrófila na mata. Fazenda Pedro Dutra. Hervalia.",NA,"Muito frequente. 0,40-0,60m de altura.","IAN107564",NA,NA,NA,NA,NA,"Almeida, TE","2011","07","15",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-08-27 13:35:29-03","IAP","PACA-AGP","74417","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Grammitidaceae","Lellingeria","itatimensis","Lellingeria itatimensis","(C. Chr.) A. R. Sm. & R. C. Moran",NA,"Sehnem, A.","7300","1959","02",NA,"Brasil","RS","Taimbé",NA,"Habitat: ad rupem iuxta rivum inter muscos","PACA074417",NA,"27","São Francisco de Paula","-50.5835990905762","-29.4480991363525","P. Labiak","2000","09",NA,"Filicopsida","76715","900","900","auto",NA,NA,NA
"5","2019-10-18 16:50:23-03","IAP","PACA-AGP","74418","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Grammitidaceae","Lellingeria","itatimensis","Lellingeria itatimensis","(C. Chr.) A. R. Sm. & R. C. Moran",NA,"Sehnem, A.","7734","1961","01",NA,"Brasil","RS","Taimbé",NA,"Habitat: ad rupem inter muscos ad rivum","PACA074418",NA,"02","São Francisco de Paula","-50.5835990905762","-29.4480991363525","P. Labiak","2000","09",NA,"Filicopsida","76715","900","900","auto",NA,NA,NA
"6","2019-08-27 13:36:34-03","IAP","PACA-AGP","114695","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","gymnosora","Thelypteris gymnosora","Ponce",NA,"V. Graeff","75","2013","07",NA,"Brasil","RS","Nascente do Rio dos Sinos",NA,NA,"PACA114695",NA,"23","Caraá","-50.291056","-29.706944","V. Graeff, T. Padoin, V. Leão","2013","12","20","Filicopsida",NA,NA,NA,NA,"50°17'27,8W","29°42'25S",NA
"7","2020-05-29 18:15:23-03","UFJF","CESJ","3270","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Thelypteridaceae","Amauropelta","saxicola","Amauropelta saxicola","(Sw.) Salino & T.E. Almeida",NA,"E.P. Heringer","s.n.","1944",NA,"América do Sul","Brasil","Minas Gerais",NA,NA,"Terrestre, na mata de encosta.","CESJ003270",NA,NA,"Cel. Pacheco",NA,NA,"A. Salino","2017","08",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-21 14:54:41-03","UFJF","CESJ","24705","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Thelypteridaceae","Amauropelta","saxicola","Amauropelta saxicola","(Sw.) Salino & T.E. Almeida",NA,"S.H. Borges","s.n.","1989","01","América do Sul","Brasil","Minas Gerais","Ribeirão Passa-Quatro",NA,"Frequente à beira do Ribeirão.","CESJ024705",NA,"13","São Tomé das Letras","-44.9852981567383","-21.7222003936768","A. Salino","2017","08",NA,NA,"16076",NA,NA,"auto",NA,NA,NA
"9","2020-01-10 18:17:05-03","UFJF","CESJ","72905","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Thelypteridaceae","Amauropelta","saxicola","Amauropelta saxicola","(Sw.) Salino & T.E. Almeida",NA,"D. Sucre; P.I.S. Braga","4178","1968","11","América do Sul","Brasil","Rio de Janeiro","Araras, Malta",NA,"Crescendo em beira de rio. Saxícola. Umbrófila","CESJ072905",NA,"23","Petrópolis","-43.1786003112793","-22.5049991607666","A. Salino","2019","11",NA,NA,"36524",NA,NA,"auto",NA,NA,NA
"10","2019-11-21 14:54:41-03","UFJF","CESJ","70485","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Thelypteridaceae","Amauropelta","saxicola","Amauropelta saxicola","(Sw.) Salino & T.E. Almeida",NA,"V.A.O. Dittrich","2229","2017","10","América do Sul","Brasil","São Paulo","Serra da Bocaina, Rio do Capitão-Mor",NA,"Terrícola (em barranco do rio) ou rupícola (em matacões) em borda de Floresta Ombrófila Densa Montana","CESJ070485",NA,"14","Arapeí","-44.48825","-22.722083","V.A.O. Dittrich","2017","10",NA,NA,NA,"1125","1125",NA,"-44.48825","-22.722083",NA
"11","2019-11-21 14:54:41-03","UFJF","CESJ","70489","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Thelypteridaceae","Amauropelta","saxicola","Amauropelta saxicola","(Sw.) Salino & T.E. Almeida",NA,"V.A.O. Dittrich","2210","2017","10","América do Sul","Brasil","São Paulo","Serra da Bocaina, Próximo à rodovia SP-247 (trecho asfaltado)",NA,"Terrícola ou rupícola (em matacão) à beira de riacho em Floresta Ombrófila Densa Montana alterada","CESJ070489",NA,"13","Bananal","-44.419361","-22.797472","V.A.O. Dittrich","2017","10",NA,NA,NA,"1270","1270",NA,"-44.419361","-22.797472",NA
"12","2020-01-10 18:17:05-03","UFJF","CESJ","72960","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Thelypteridaceae","Amauropelta","saxicola","Amauropelta saxicola","(Sw.) Salino & T.E. Almeida",NA,"A. Barbosa","416","1950","02","América do Sul","Brasil","Rio de Janeiro","Serra dos Orgãos, margem do Rio Paquequer",NA,"Erva rupestre.","CESJ072960",NA,"09",NA,NA,NA,"V.A.O. Dittrich","2020","01",NA,NA,NA,"1200","1200",NA,NA,NA,NA
"13","2019-11-21 14:54:41-03","UFJF","CESJ","18990","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Thelypteridaceae","Amauropelta","saxicola","Amauropelta saxicola","(Sw.) Salino & T.E. Almeida",NA,"L. Krieger","CESJ18990","1977","09","América do Sul","Brasil","Minas Gerais","Serra do Caparaó",NA,"Sobre rochas, ao sol, folhas verde-claro, raquis escuras na base. Caule curto.","CESJ018990","CESJ018990 CESJ018990_1","27",NA,NA,NA,"A. Salino","2017","08",NA,NA,NA,NA,NA,NA,NA,NA,NA
