"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","imagecode","geoFlag","phylum","typeStatus","class","order","individualCount"
"1","2020-09-23 10:36:45-03","E","E","271767","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","altimontana","Vriesea altimontana","Harris, V","24","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:286239","<a href=http://data.rbge.org.uk/herb/E00271767 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00271767",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:36:45-03","E","E","280349","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","altimontana","Vriesea altimontana","Harris, V",NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:288371","<a href=http://data.rbge.org.uk/herb/E00280349 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00280349",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:36:45-03","E","E","280350","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","altimontana","Vriesea altimontana","Harris, V",NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:288372","<a href=http://data.rbge.org.uk/herb/E00280350 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00280350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:36:45-03","E","E","271770","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","altimontana","Vriesea altimontana","Harris, V",NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:286248","<a href=http://data.rbge.org.uk/herb/E00271770 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00271770",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-07 17:00:40-03","MN","R","233768","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","altimontana","Vriesea altimontana","Baez, C. 882; Lima, T.; Rosa, P. & Maurenza, D.",NA,NA,"Brasil",NA,NA,NA,"R010031765,R010031766,R010031767","E. Pereira & Martinelli","Baez, C.","2017","04","06","2016","08","25","Rio de Janeiro","Santa Maria Madalena","Parque Estadual do Desengano.","-41.911667","-21.9","41°54'42''W","21°54'0''S","1760","1760",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-24 16:39:42-03","MN","R","26650","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","altimontana","Vriesea altimontana","Brade, A.C.","11587",NA,"Brasil",NA,NA,NA,"R010010922","E. Pereira & Martinelli","Costa, A.F.","1991","02",NA,"1932","04",NA,"Rio de Janeiro","Santa Maria Madalena",NA,"-42.0080986022949","-21.9552993774414",NA,NA,"1500","1500","30526","R010010922 R010010922_1","auto",NA,NA,NA,NA,NA
"7","2019-02-15 11:35:41-02","IPA","IPA","65455","S","Plantae","Bromeliaceae","Vriesea","altimontana","Vriesea altimontana","Martinelli; et al.; et al.","13257","Southern America","Brasil",NA,NA,"Epífita, semi-heliofila,frequencia média,folhas concolores com estrias verde-escuras,apiceatropurpureo; infl. com escapo verde; bracteas escapais vermelhas, bracteas primarias vermelhas com apice verde, ramos vermelhos, bracteas flora","IPA0065455","E. Pereira & Martinelli","Martinelli, G.","1988","12","21","1988","12","21","Rio de Janeiro","Santa Maria Madalena","Parque Estadual do Desengano, Pedra do Desengano, Campos de altitude.","-42.0080986022949","-21.9552993774414",NA,NA,NA,NA,"30526",NA,"auto","Plantae",NA,NA,NA,NA
"8","2019-02-15 11:35:41-02","IPA","IPA","65449","S","Plantae","Bromeliaceae","Vriesea","altimontana","Vriesea altimontana","Martinelli; et al.; et al.","13377","Southern America","Brasil",NA,NA,"Rupicola ou epifita em mata de altitude, heliofila;folhas concolores com estrias em zig-zag pouco visiveis, bainha castanho escura:inflo. com escapo vermelho , bracteas primarias vermelhas;raque e ramos vermelhos com flores secundas;","IPA0065449","E. Pereira & Martinelli","Martinelli, G.","1989","06","29","1989","06","29","Rio de Janeiro","Santa Maria Madalena","Parque Estadual do Desengano, Pedra do Desengano, campos de altitude.","-42.0080986022949","-21.9552993774414",NA,NA,NA,NA,"30526",NA,"auto","Plantae",NA,NA,NA,NA
"9","2019-02-15 11:35:41-02","IPA","IPA","65396","S","Plantae","Bromeliaceae","Vriesea","altimontana","Vriesea altimontana","Costa, A.","255","Southern America","Brasil",NA,NA,"Epífita frequente na mata de altitude,ciofila,folhas verdes com strias irregulares,bainha castanho escuro,brácteas escapais verdes com apice castanho, raque verde,bracteas primarias verdes com manchas vermelhas, bracteas florais verme","IPA0065396","E. Pereira & Martinelli","Martinelli, G.","1988","12","21","1988","12","21","Rio de Janeiro","Santa Maria Madalena","Parque Estadual do Desengano, Pedra do Desengano.capos de altitude.","-42.0080986022949","-21.9552993774414",NA,NA,NA,NA,"30526",NA,"auto","Plantae",NA,NA,NA,NA
"10","2015-09-05 08:38:42-03","MNHN","RECOLNAT_MNHN_P","P00753309","PreservedSpecimen",NA,"Bromeliaceae","Vriesea","altimontana","Vriesea altimontana","s.c.",NA,NA,"Brésil","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00753309' target='other'> <mi>dwc_moreinfo</mi></a>","P00753309","E.Pereira & Martinelli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P00753309_01 P00753309_02",NA,NA,"isotype",NA,NA,NA
"11","2020-09-12 05:00:02-03","US","US","2959446","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","altimontana","Vriesea altimontana","G. Martinelli & C. Farney","8747","South America - Neotropics","Brazil",NA,NA,NA,"US00091148","E. Pereira & Martinelli",NA,NA,NA,NA,"1982","9","16","Rio de Janeiro","Macae","Picodo frade de Macae.","-41.7868995666504","-22.3708000183105",NA,NA,"1100","1200","47209","US00091148_01","auto",NA,"Isotype","Monocotyledonae","Bromeliales","1"
"12","2020-09-12 05:00:02-03","US","US","2959445","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","altimontana","Vriesea altimontana","G. Martinelli & C. Farney","8747","South America - Neotropics","Brazil",NA,NA,NA,"US01101041","E. Pereira & Martinelli",NA,NA,NA,NA,"1982","9","16","Rio de Janeiro","Macae","Picodo frade de Macae.","-41.7868995666504","-22.3708000183105",NA,NA,"1100","1200","47209","US01101041_01","auto",NA,"Isotype","Monocotyledonae","Bromeliales","1"
"13","2020-09-12 05:00:02-03","US","US","2959444","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","altimontana","Vriesea altimontana","G. Martinelli & C. Farney","8747","South America - Neotropics","Brazil",NA,NA,NA,"US00091147","E. Pereira & Martinelli",NA,NA,NA,NA,"1982","9","16","Rio de Janeiro","Macae","Picodo frade de Macae.","-41.7868995666504","-22.3708000183105",NA,NA,"1100","1200","47209","US00091147_01","auto",NA,"Isotype","Monocotyledonae","Bromeliales","1"
"14","2019-11-21 10:02:48-03","IBt","SP","382070","S","Plantae","Bromeliaceae","Vriesea","altimontana","Vriesea altimontana","Versieux, LM; Calvente, AM","248",NA,"Brasil",NA,NA,NA,"SP053272","E.Pereira & Martinelli","Versieux, LM","2007","09",NA,"2005","11","25","Rio de Janeiro","Santa Maria Madalena","Próximo ao Pico da Pedra do Desengano.","-41.911167","-21.899722","-41.911167","-21.899722","1900","1900",NA,"SP053272",NA,NA,NA,NA,NA,NA
