"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","individualCount","continentOcean","preparationType","previousCatalogNumber","barcode","minimumElevationInMeters","maximumElevationInMeters","imagecode","verbatimLongitude","verbatimLatitude","relatedCatalogItem","fieldNumber","infraspecificEpithet","typeStatus"
"1","2019-06-10 10:11:03-03","FZB-BH","CVJBFZB","2428","S","Plantae","Pteridophyta","Equisetopsida","Polypodiales","Aspleniaceae","Asplenium","praemorsum","Asplenium praemorsum","Sw.","Carlos A. Ferreira Jr.","2012","11","28","Carlos Alberto F. Jr.; Fernando Fernandes; Juliana Ordones; Lívia Echternadt","CAF","2012","11","28","Brasil","Minas Gerais","Santana do Riacho","RPPN Brumas do Espinhaço e Ermo da Gerais, mata do Pico Brumoso","-43.7144012451172","-19.1688995361328","26557","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:11:03-03","FZB-BH","CVJBFZB","3263","S","Plantae","Pteridophyta","Equisetopsida","Polypodiales","Aspleniaceae","Asplenium","praemorsum","Asplenium praemorsum","Sw.","Carlos A. Ferreira Jr.","2013","12","09","Carlos Alberto F. Jr.; Juliana Ordones","Caf","2013","12","06","Brasil","Minas Gerais","Catas Altas","Estrada asfaltada loco após a casa da ponte, Serra do Caraça","-43.4075012207031","-20.0746994018555","11966","254","auto","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:11:03-03","FZB-BH","CVJBFZB","1463","S","Plantae","Pteridophyta","Equisetopsida","Polypodiales","Aspleniaceae","Asplenium","praemorsum","Asplenium praemorsum","Sw.","Carlos A. Ferreira Jr.","2010","03","26","Carlos Alberto F. Jr.; Rainna Souza Gomes",NA,"2010","03","26","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, capões próximo a estatua do Juquinha","-43.7144012451172","-19.1688995361328","26557","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:36:20-03","E","E","305616","PreservedSpecimen","Plantae",NA,NA,NA,"Aspleniaceae","Asplenium","praemorsum","Asplenium praemorsum",NA,NA,NA,NA,NA,"Laessoe, T. & Silva, T.","52549","1992","03","17","BR",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00305616 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:313956","E00305616",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","4043238","PreservedSpecimen","Plantae","Pteridophyta",NA,"Polypodiales","Aspleniaceae","Asplenium","praemorsum","Asplenium praemorsum","Sw.",NA,NA,NA,NA,"H. H. Smith","964","1898","08","18","Colombia",NA,NA,"Santa Marta. Above Onaca.",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4352269' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY04043238","1219",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","4043262","PreservedSpecimen","Plantae","Pteridophyta",NA,"Polypodiales","Aspleniaceae","Asplenium","praemorsum","Asplenium praemorsum","Sw.",NA,NA,NA,NA,"F. Prieto","E2661","1945","04","14","Ecuador","Azuay",NA,"Vicinity of Cuenca. Near Union of ríos Tarqui and Yanuncay.",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4352294' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY04043262","2499","2713",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","4043229","PreservedSpecimen","Plantae","Pteridophyta",NA,"Polypodiales","Aspleniaceae","Asplenium","praemorsum","Asplenium praemorsum","Sw.",NA,NA,NA,NA,"R. Spruce","5340","1857",NA,NA,"Ecuador",NA,NA,"In Andibus Ecuadorensibus",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4352260' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY04043229",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","4043270","PreservedSpecimen","Plantae","Pteridophyta",NA,"Polypodiales","Aspleniaceae","Asplenium","praemorsum","Asplenium praemorsum","Sw.",NA,NA,NA,NA,"É. André","641",NA,NA,NA,"Colombia",NA,NA,"Popayan",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4352302' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY04043270",NA,NA,"NY04043270_01",NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","4043250","PreservedSpecimen","Plantae","Pteridophyta",NA,"Polypodiales","Aspleniaceae","Asplenium","praemorsum","Asplenium praemorsum","Sw.",NA,NA,NA,NA,"J. E. Madsen","50420","1984","03","09","Ecuador","Imbabura",NA,"Road Otavalo-Ibarra, km 2 from Otavalo.","-78.25","0.25",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4352281' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY04043250","2000",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","4043304","PreservedSpecimen","Plantae","Pteridophyta",NA,"Polypodiales","Aspleniaceae","Asplenium","praemorsum","Asplenium praemorsum","Sw.",NA,NA,NA,NA,"A. Sagástegui A.","7703","1973","07","27","Peru","Cajamarca","Contumazá","alrededores de Guzmango",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4352337' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY04043304","2600",NA,"NY04043304_01",NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","4043241","PreservedSpecimen","Plantae","Pteridophyta",NA,"Polypodiales","Aspleniaceae","Asplenium","praemorsum","Asplenium praemorsum","Sw.",NA,NA,NA,NA,"C. Acosta-Arteaga","254","1974","04","08","Colombia","Boyacá",NA,"Desierto de La Candelaria.",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4352272' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY04043241","2190",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","4043248","PreservedSpecimen","Plantae","Pteridophyta",NA,"Polypodiales","Aspleniaceae","Asplenium","praemorsum","Asplenium praemorsum","Sw.",NA,NA,NA,NA,"C. Acosta-Arteaga","217","1974","03","31","Colombia","Cundinamarca",NA,"Mun. Sasaima, km. 66.",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4352279' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY04043248","1500",NA,NA,NA,NA,NA,NA,NA,NA
