"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","439747","PreservedSpecimen","Plantae","Magnoliophyta","Dipsacales","Caprifoliaceae","Valeriana","reitziana","Valeriana reitziana","Borsini","G. G. Hatschbach","O. dos S. Ribas","1572","1996","10","28","South America","Brazil","Paraná","Palmeira","Recanto dos Papagaios","-50.0064","-25.4294","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=712723' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439747","NY00439747_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","439749","PreservedSpecimen","Plantae","Magnoliophyta","Dipsacales","Caprifoliaceae","Valeriana","reitziana","Valeriana reitziana","Borsini","G. G. Hatschbach","G. G. Hatschbach","23188","1969","12","09","South America","Brazil","Paraná","Guarapuava","Fda. 3 Capoes","-51.4581","-25.3956","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=712721' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439749","NY00439749_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","439748","PreservedSpecimen","Plantae","Magnoliophyta","Dipsacales","Caprifoliaceae","Valeriana","reitziana","Valeriana reitziana","Borsini","G. G. Hatschbach","G. G. Hatschbach","28144","1971","12","03","South America","Brazil","Paraná","Palmas","Horizonte","-51.57403","-26.589411","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=712722' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439748","NY00439748_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","439746","PreservedSpecimen","Plantae","Magnoliophyta","Dipsacales","Caprifoliaceae","Valeriana","reitziana","Valeriana reitziana","Borsini","L. B. Smith; S. F. Smith","G. G. Hatschbach","15431","1966","12","13","South America","Brazil","Paraná","Palmas","S. Agostinho","-51.9906","-26.4844","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=712720' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439746","NY00439746_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-13 09:19:18-03","UFRJ","RFA","10249","PreservedSpecimen","Plantae",NA,NA,"Caprifoliaceae","Valeriana","reitziana","Valeriana reitziana","Borsini","G.G. Hatschbach","G.G. Hatschbach","23188","1969","12","09",NA,"Brasil","Paraná","Guarapuava","Fazenda Três Capões","-51.4580993652344","-25.395299911499",NA,"Flor creme","RFA50530",NA,"1970","53832","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:04:29-03","ESALQ","ESA","40746","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Caprifoliaceae","Valeriana","reitziana","Valeriana reitziana","Borsini","Hatschbach, G.","Ribas, O.S. ; Luz, M.F.","1572.0","1996","10","28",NA,"Brasil","Paraná","Palmeira",NA,"-50.0064010620117","-25.4293994903564",NA,NA,"ESA040746","ESA040746","1996","35166","auto","01","01",NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:04:29-03","ESALQ","ESA","88851","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Caprifoliaceae","Valeriana","reitziana","Valeriana reitziana","Borsini","Hatschbach, G.","Silva, J.M. et al.","3783.0","2003","10","28",NA,"Brasil","Paraná","Palmeira",NA,"-50.0064010620117","-25.4293994903564",NA,NA,"ESA088851","ESA088851","2004","35166","auto","01","01",NA,NA,NA,NA,NA,NA,NA
"8","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0012523","PreservedSpecimen","Plantae","Magnoliophyta","Dipsacales","Valerianaceae","Valeriana","reitziana","Valeriana reitziana","Borsini","G. Hatschbach","G. Hatschbach; E. Barbosa","59659","1993","10","19",NA,"Brazil","Parana",NA,"Rodovia Castro Tibagi, km 24 (Mun. Tibagi).","-50.4","-24.5",NA,"QBS. Ascendente, flor alvescente. Campo limpo, seco.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0012532","PreservedSpecimen","Plantae","Magnoliophyta","Dipsacales","Valerianaceae","Valeriana","reitziana","Valeriana reitziana","Borsini","M. Sobral","G. Hatschbach; A. C. Cervi, E. Barbosa","71797","2000","11","12",NA,"Brazil","Santa Catarina",NA,"Rod SC-438, Rio Pelotas (Mun. Bom Jardim da Serra).","-49.624707","-28.34037",NA,"Ereta, flor alva.",NA,NA,NA,NA,NA,NA,NA,"1350",NA,NA,NA,NA,NA,NA
"10","2019-11-21 14:46:59-03","UFJF","CESJ","43516","PreservedSpecimen","Plantae","Angiosperma",NA,"Valerianaceae","Valeriana","reitziana","Valeriana reitziana","Borsini","G. Hatschbach","J.M. Silva; et al.","3783","2003","10",NA,"América do Sul","Brasil","Paraná","Palmeira","Recanto dos Papagaios","-50.0064010620117","-25.4293994903564",NA,"Ereta, flor creme. Campo limpo, seco.","CESJ043516",NA,NA,"35166","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
