"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","class","coordinatePrecision","geoFlag","dayIdentified","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","7537","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Wunderlichia","azulensis","Wunderlichia azulensis","Maguire & G.M.Barroso","holotype","G. M. Magalhaes","12039","1958","09","10","South America","Brazil","Pedra Azul.","4000","5000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=280716' target='other'> <mi>dwc_moreinfo</mi></a>","NY00007537","NY00007537_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","856174","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Wunderlichia","azulensis","Wunderlichia azulensis","Maguire & G.M.Barroso",NA,"G. M. Magalhaes","s.n.","1958","09","01","South America","Brazil","Pedra Azul, northeast Minas Gerais",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=932404' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856174","NY00856174_01","J. F. Pruski","Minas Gerais","Pedra Azul","-41.2969","-16.0056",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","856175","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Wunderlichia","azulensis","Wunderlichia azulensis","Maguire & G.M.Barroso",NA,"G. M. Magalhaes","14086","1958","10","06","South America","Brazil","10 - 12 km L da cidade de Pedra Azul",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=932409' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856175","NY00856175_01","J. F. Pruski","Minas Gerais","Pedra Azul","-41.2969","-16.0056",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:11:36-03","UFBA","ALCB","126976","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Wunderlichia","azulensis","Wunderlichia azulensis","Maguire & G.M. Barroso",NA,"Mauand, LP; Paula, LFA; Azevedo, LO; Porembski, S","323","2016","03","31","Southern America","Brasil","Pedra do Kaladão. Inselberg próximo ao Posto do Kaladão na BR 418.","380","380",NA,"Folhas coriáceas, infrutescência antiga. Muitos indivíduos ocorrendo no local. Caules cobertos por líquens. Altura: 2 m. Rupícola.; Ilha de vegetação em afloramento rochoso.","ALCB041059","ALCB041059",NA,"Minas Gerais","Carlos Chagas","-40.995","-17.263333","-40.995","-17.263333",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:11:36-03","UFBA","ALCB","104489","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Wunderlichia","azulensis","Wunderlichia azulensis","Maguire & G.M. Barroso",NA,"Carvalho, G; Daneu, L; Gomes, LCJ; Hmeljevski, KV","399","2010","08","26","Southern America","Brasil","Extremo Sul, Pedra do Oratório - Inselberg",NA,NA,NA,"ca. 3 m alt. Folhas discolores, pilosas. Brácteas dos capítulos cobertas por indumento branco e pontas pretas, pétalas bege. Inselberg.",NA,NA,"Roque, N","Bahia","Guaratinga","-39.782778","-16.583889","-39.782778","-16.583889","2012","03",NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:52:30-03","NBC","NL-BOTANY","U.1150915","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Wunderlichia","azulensis","Wunderlichia azulensis","Maguire & G.M.Barroso",NA,"Harley RM; et al.",NA,"1988","10","19","Southern America","Brazil","Projecto dos Campos Rupestres; Minas Gerais. Mun.: Pedra Azul. 10 km ao leste da cidade, na estrada para Almenara.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1150915 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1150915","NL-U1150915",NA,NA,NA,"-41.2","-16.133333","-41.2","-16.133333",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"7","2021-03-24 17:08:41-03","UFES","SAMES","1154","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Wunderlichia","azulensis","Wunderlichia azulensis","Maguire & G.M.Barroso",NA,"Pinto Junior, H.V.; Menezes, L.F.T.; Covre, C.","190","2015","09","18",NA,"Brasil","Pedra Tri-gêmea. Afloramento granítico.",NA,NA,NA,"Árvore habitando ilha de vegetação em afloramento granítico, folhas verdes escuro, praticamente sem folhas, inflorescência sem alterações após ser desidratada, sol pleno.","SAMES01154",NA,NA,"Espírito Santo","Vila Pavão","-40.611400604248","-18.6149997711182",NA,NA,NA,NA,NA,"19647","auto",NA,NA,NA
"8","2021-03-01 16:26:13-03","UNICAMP","UEC","195509","S","Plantae","Magnoliopsida",NA,"Asteraceae","Wunderlichia","azulensis","Wunderlichia azulensis","Maguire & G.M.Barroso",NA,"Monge, M; Shimizu, GH; Jönnson, K; Santos, K","3335","2016","10","04",NA,"Brazil","Sítio Santa Inês, próximo ao córrego Água Boa, entre 15-25 km antes de Pancas. Próximo aos primeiros pontões.","213","213",NA,"Arvore, 2,5 m, capítulos com braceteas creme, borda da bractea marrom escuro, flores com corola creme, antera creme com linha longitudinal marrom.; Inselberg, pequeno agrupamento de plantas","UEC166960","UEC166960",NA,"Espírito Santo","Pancas","-41.202239","-19.459414","-41.202239","-19.459414",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:26:13-03","UNICAMP","UEC","195509","S","Plantae","Magnoliopsida",NA,"Asteraceae","Wunderlichia","azulensis","Wunderlichia azulensis","Maguire & G.M.Barroso",NA,"Monge, M; Shimizu, GH; Jönnson, K; Santos, K","3335","2016","10","04",NA,"Brazil","Sítio Santa Inês, próximo ao córrego Água Boa, entre 15-25 km antes de Pancas. Próximo aos primeiros pontões.","213","213",NA,"Arvore, 2,5 m, capítulos com braceteas creme, borda da bractea marrom escuro, flores com corola creme, antera creme com linha longitudinal marrom.; Inselberg, pequeno agrupamento de plantas","UEC166960","UEC166960",NA,"Espírito Santo","Pancas","-41.202239","-19.459414","-41.202239","-19.459414",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:26:13-03","UNICAMP","UEC","197790","S","Plantae","Magnoliopsida",NA,"Asteraceae","Wunderlichia","azulensis","Wunderlichia azulensis","Maguire & G.M.Barroso",NA,"Monge, M; Scatigna, AV","1327","2012","09","25",NA,"Brazil","Pedra do Rúdio. São joão de Petrópolis. Sítio do Sr. Joãozinho",NA,NA,NA,"Árvore, 2 m de altura, flores com corola creme, com frutos.; Afloramento rochoso, moita de vegetação.","UEC166963",NA,"Monge, M","Espírito Santo","Santa Teresa","-40.602778","-19.955556","-40.602778","-19.955556",NA,NA,NA,NA,NA,NA,NA,NA
