"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","coordinatePrecision","geoFlag","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","00898358","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Comanthera","brasiliana","Comanthera brasiliana","(Giul.) L.R.Parra & Giul.","L. Echternacht","E. Isejima","CFRC5471","1981","10","13","South America","Brazil","Minas Gerais","Rio Vermelho","Rio Vermelho- Pedra Menina, Faz. Vargem do Anjo- Espigão do Meio","-43.0594","-18.1422","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=968614' target='other'> <mi>dwc_moreinfo</mi></a>","NY00898358","NY00898358_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-21 14:35:10-03","UFJF","CESJ","34327","PreservedSpecimen","Plantae","Angiosperma",NA,"Eriocaulaceae","Comanthera","brasiliana","Comanthera brasiliana","(Giul.) L.R.Parra & Giul.","M.Watanabe","L.C.S. Assis; F.R.G. Salimena","208","2001","09","04","América do Sul","Brasil","Minas Gerais","Pedra Menina","Fazenda Várzea do Anjo",NA,NA,NA,"Erva encontrada em solo arenoso quartzítico. Folhas com o indumento muito definido. Inflorescência branca. Comum.","CESJ034327",NA,"2010","11","26",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-06 10:13:54-03","UFOP","OUPR","29384","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Comanthera","brasiliana","Comanthera brasiliana","(Giul.) L.R.Parra & Giul.","Echternacht, L.","Echternacht, L.; Sano, P.T.; Gonella, P.; Kubo, M.; Antar, G.M.; Scatena, V.L.; Leandro, T.H.D.;","2306","2013","06","21",NA,"Brasil","Minas Gerais","Rio Vermelho","Serra do Ambrósio, Localidade de Pedra Menina. No entorno da extração de areia próxima à Vargem do Anjo.","-43.046389","-18.136111",NA,"Coordenadas GPS em GMS, Datum SAD69.; População abundante localmente, em torno do areial, encontrada apenas neste local. Individuos sempre com o caule curto, não suberoso, não ramificado. População com indivíduos em botões imaturos, eretos, e com inf",NA,NA,"2013","06","21","-43.046389","-18.136111",NA,NA,NA,NA,NA,NA
"4","2020-12-11 11:44:08-03","UFMG","BHCB","102176","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Syngonanthus","brasiliana","Syngonanthus brasiliana","Giul.",NA,"Viana, PL; Leite, FSF; Lopes, LE; Ferreira, M","2445","2006","01","10","Southern America","Brasil","Minas Gerais","Rio Vermelho","Serra do Ambrósio","-43.033333","-18.116667",NA,"Em campo arenoso, as vezes cespitoso","BHCB022365",NA,"2009","01","07","-43.033333","-18.116667","1370","1370",NA,NA,NA,NA
"5","2020-12-11 11:44:08-03","UFMG","BHCB","123139","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Syngonanthus","brasiliana","Syngonanthus brasiliana","Giul.",NA,"Mota, NFO; Viana, PL; Giorni, VT; Novaes, RML","1339","2008","08","25","Southern America","Brasil","Minas Gerais","Rio Vermelho","Serra do Ambrósio","-43.045083","-18.134694",NA,"Planta armazenada em álcool.; Folhas cinéreas.; Solo bastante arenoso. Quartizito.","BHCB035498",NA,"2008","09","11","-43.045083","-18.134694","863","863",NA,NA,NA,NA
"6","2020-12-11 11:44:08-03","UFMG","BHCB","39783","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Syngonanthus","brasiliana","Syngonanthus brasiliana","Giul.",NA,"Giulietti, AM; Wanderley, MGL; Varanda, E; Furlan, A; Haley, RM","4460","1984","07","14","Southern America","Brasil","Minas Gerais","Rio Vermelho","Pedra Menina, Morro do Ambrósio","-43.0092010498047","-18.2936000823975",NA,"Pilosidade densa e alva nas folhas, escapos e bracteas. Areia entre as folhas basais, anteras alvas exsertas, visitada por besouros pequenos e negros. Sistema radicular pouco desenvolvido. Plantas isoladas esparsas no areal do carrasc","BHCB000116","BHCB000116 BHCB000116_01","1996",NA,NA,NA,NA,NA,NA,"Isotypus","26996","auto",NA
"7","2020-12-11 11:44:08-03","UFMG","BHCB","39788","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Syngonanthus","brasiliana","Syngonanthus brasiliana","Giul.",NA,"Mello-Silva, R de; Cavalcanti, TB; Cordeiro, I; Menezes, NL de; Gonçalves, JCC","s.n.","1986","09","08","Southern America","Brasil","Minas Gerais","Rio Vermelho","Pedra Menina, Serra do Ambrósio. Espigão do meio. Fazenda Vargem do Anjo","-43.0092010498047","-18.2936000823975",NA,"Erva, brácteas castanhas na base e alvas no ápice. Flores alvas; Solo arenoso grosso, no carrascal.","BHCB035494",NA,"1987",NA,NA,NA,NA,"830","830",NA,"26996","auto",NA
"8","2020-12-11 11:44:08-03","UFMG","BHCB","39784","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Syngonanthus","brasiliana","Syngonanthus brasiliana","Giul.",NA,"Mello-Silva, R de; Cavalcanti, TB; Cordeiro, I; Menezes, NL de; Gonçalves, JCC","s.n.","1986","09","08","Southern America","Brasil","Minas Gerais","Rio Vermelho","Pedra Menina, Serra do Ambrósio. Espigão do meio. Fazenda Vargem do Anjo.","-43.0092010498047","-18.2936000823975",NA,"Erva, brácteas castanhas na base e alvas no ápice. Flores alvas; Em solo arenoso, no carrasco.","BHCB041637",NA,"1987",NA,NA,NA,NA,"830","830",NA,"26996","auto",NA
"9","2020-06-15 15:30:17-03","UNESP-RC","HRCB","63695","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Comanthera","brasiliana","Comanthera brasiliana","(Giul.) L.R.Parra & Giul.",NA,"Dugarte",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Rio Vermelho","Pedra Menina. Serra do Ambrósio","-43.046194","-18.136083",NA,NA,NA,NA,NA,NA,NA,"43°02'46.3W","18°08'09.9S",NA,NA,NA,NA,NA,NA
"10","2021-03-15 18:26:45-03","USP","SPF","33275","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Syngonanthus","brasiliana","Syngonanthus brasiliana","Giul.","Giulietti, AM","Giulietti, AM; Wanderley, MGL; Varanda, EM; Furlan, A; Harley, RM","CFCR4460","1984","07","14",NA,"Brasil","Minas Gerais","Rio Vermelho","Morro do Ambrósio, Pedra Menina.","-43.0092010498047","-18.2936000823975",NA,"Vive simpatricamente com4463. Pilosidade densa e alva nas folhas, escapo e brácteas. Areia entre as folhas basais, anteras alvas exsertas, visitada por besouros pequenos e negros. Sistema radicular pouco desenvolvida. Plantas isolada","SPF00033275",NA,NA,NA,NA,NA,NA,NA,NA,"holotype","26996","auto",NA
