"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","2447005","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Adiantum","tetragonum","Adiantum tetragonum","Schrad.","J. Prado","J. G. Jardim","3153","2000","11","03","South America","Brazil","Bahia","Caatiba","Entrada para a cidade ca. 11 km de Itapetinga, rod. para Caatiba 31,2 km da BR-415.","-40.3866667","-14.9966667","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2351729' target='other'> <mi>dwc_moreinfo</mi></a>","NY02447005","NY02447005_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:26:11-03","UFBA","ALCB","00134","PreservedSpecimen","Plantae","Fern",NA,"Pteridaceae","Adiantum","tetragonum","Adiantum tetragonum","Schrad.","Prado, J","Costa, AL","s/n","1970","09","17","Southern America","Brasil","Bahia","Itabuna","Litoral Sul, Juçari","-39.266667","-14.783333",NA,"terrestre","ALCB001142","ALCB001142","2009","07","16","-39.266667","-14.783333",NA,NA,NA,NA
"3","2019-10-09 11:26:11-03","UFBA","ALCB","106232","PreservedSpecimen","Plantae","Fern",NA,"Pteridaceae","Adiantum","tetragonum","Adiantum tetragonum","Schrad.","Sylvestre, L","Mattos Andrade, PE de; Gomes, FS; Queiroz, EP; Guedes, ML; et al.","127","2012","10","03","Southern America","Brasil","Bahia","Salvador","Região Metropolitana Salvador, Ilha de Maré","-38.5","-12.966667",NA,"terrestre. Rizomas curto-rastejantes, escamas triangulares. Frondes longas; estípites longas, lâminas foliares bipinadas, venação livre furcada. Soros 9-10 por segmento, oblongos. Esporos triletes.","ALCB009784","ALCB009784","2014",NA,NA,"-38.5","-12.966667",NA,NA,NA,NA
"4","2020-12-21 16:42:17-03","MBM","MBM","421003","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","tetragonum","Adiantum tetragonum","Schrad.","Mazziero, F.F.F.","Mazziero, F.F.F.; Bonin Junior, P.; Bonin Junior, P.","4206","2019","01","26","Southern America","Brazil","Minas Gerais","Conselheiro Pena",NA,"-41.484444","-19.118889",NA,"Erva terrícola, crescendo no interior da floresta.; Vegetação secundária média/avançada","MBM421003",NA,"2019","02","01","-41.484444","-19.118889","132","132",NA,NA
"5","2016-09-15 15:04:55-03","MNHN","RECOLNAT_MNHN_P","P01249799","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Adiantum","tetragonum","Adiantum tetragonum","Schrad.","Prado","Glaziou, A.",NA,NA,"7",NA,NA,"Brésil",NA,NA,"Pantano",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01249799' target='other'> <mi>dwc_moreinfo</mi></a>","P01249799","P01249799_01",NA,NA,NA,NA,NA,NA,NA,"13347",NA
"6","2015-09-03 16:37:51-03","MNHN","RECOLNAT_MNHN_P","P01249800","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Adiantum","tetragonum","Adiantum tetragonum","Schrad.","Prado","Glaziou, A.",NA,NA,"7",NA,NA,"Brésil",NA,NA,"Pantano",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01249800' target='other'> <mi>dwc_moreinfo</mi></a>","P01249800","P01249800_01",NA,NA,NA,NA,NA,NA,NA,"13347",NA
"7","2016-09-15 14:57:30-03","MNHN","RECOLNAT_MNHN_P","P01249801","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Adiantum","tetragonum","Adiantum tetragonum","Schrad.","Prado","Riedel, L.",NA,"1823","10","1",NA,"Brasilia",NA,NA,"in sylvis pr. Ilheos",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01249801' target='other'> <mi>dwc_moreinfo</mi></a>","P01249801","P01249801_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-15 14:58:54-03","MNHN","RECOLNAT_MNHN_P","P01249802","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Adiantum","tetragonum","Adiantum tetragonum","Schrad.","Prado","Riedel",NA,NA,NA,NA,NA,"Brasilia",NA,NA,"Brasilia",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01249802' target='other'> <mi>dwc_moreinfo</mi></a>","P01249802","P01249802_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-15 14:50:15-03","MNHN","RECOLNAT_MNHN_P","P01249803","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Adiantum","tetragonum","Adiantum tetragonum","Schrad.","Prado","Riedel",NA,NA,NA,NA,NA,"Brasilia",NA,NA,"Brasilia",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01249803' target='other'> <mi>dwc_moreinfo</mi></a>","P01249803","P01249803_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2015-09-03 16:37:51-03","MNHN","RECOLNAT_MNHN_P","P01249804","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Adiantum","tetragonum","Adiantum tetragonum","Schrad.","Prado","Pohl, J.E.",NA,"1839",NA,NA,NA,"Brasilia",NA,NA,"Brasilia",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01249804' target='other'> <mi>dwc_moreinfo</mi></a>","P01249804","P01249804_01",NA,NA,NA,NA,NA,NA,NA,"1358",NA
