"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","typeStatus","coordinatePrecision","geoFlag","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","individualCount","class","fieldNumber","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","02636629","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","pauferrense","Erythroxylum pauferrense","Plowman","J. L. da Costa Lima","P. Fiaschi","2777","2005","03","12","South America","Brazil","Bahia","Almadina","Rod. Almadina/Ibitupã, ca. 20Km. Faz. São Roque, ca. 10Km da entrada do ramal.","-39.7131","-14.6408","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2475358' target='other'> <mi>dwc_moreinfo</mi></a>","NY02636629","NY02636629_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1738407","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","pauferrense","Erythroxylum pauferrense","Plowman","J. L. da Costa Lima","B. S. Amorim","1486","2012","03","07","South America","Brazil","Paraíba","Areia","Mata do Pau Ferro.","-35.7042","-6.97","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2007722' target='other'> <mi>dwc_moreinfo</mi></a>","NY01738407","NY01738407_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:37:58-03","EAO","IAN","82616","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Erythroxylaceae","Erythroxylum","pauferrense","Erythroxylum pauferrense","Plowman","Plowman, T","Moraes, JC de","993","1953","12","28","Southern America","Brasil","Pernambuco",NA,"Escola de Agronomia do Nordeste, Areia.",NA,NA,NA,NA,"IAN082616",NA,"1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:37:58-03","EAO","IAN","80773","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Erythroxylaceae","Erythroxylum","pauferrense","Erythroxylum pauferrense","Plowman","Plowman, T","Moraes, JC de","714","1953","05","08","Southern America","Brasil","Paraíba","Areia","Escola de Agronomia do Nordeste. Lugares altos e humidos, matas.","-35.6916999816895","-6.96332979202271",NA,"1. Plowman & Hensold (2004:38) citaram: TYPE: BRAZIL. Paraíba: Areia, Escola de Agronomia do Nordeste, 8 May 1953, J. Coêlho de Moraes s.n. (HOLOTYPE: IAN 80773 = F neg. 60938; ISOTYPES: EAN 714, INPA 2381, US 2221823).&nf;2. Plowman &","IAN080773",NA,"1985","holotipo","15425","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:37:58-03","EAO","IAN","80769","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Erythroxylaceae","Erythroxylum","pauferrense","Erythroxylum pauferrense","Plowman","Plowman, T","Moraes, JC de","707","1953","05","08","Southern America","Brasil","Paraíba","Areia","Escola de Agronomia do Nordeste. Lugares altos e humidos, matas.","-35.6916999816895","-6.96332979202271",NA,"1. Plowman & Hensold (2004:38) citaram: TYPE: BRAZIL. Paraíba: Areia, Escola de Agronomia do Nordeste, 8 May 1953, J. Coêlho de Moraes s.n. (HOLOTYPE: IAN 80773 = F neg. 60938; ISOTYPES: EAN 714, INPA 2381, US 2221823).&nf;2. Plowman &","IAN080769",NA,"1985","paratipo","15425","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:13:51-03","UFBA","ALCB","104584","PreservedSpecimen","Plantae","Dicotyledon",NA,"Erythroxylaceae","Erythroxylum","pauferrense","Erythroxylum pauferrense","Plowman","Costa-Lima, JL","Guedes, ML; Oliveira, DSC de; Melo, E; et al.","19455","2012","03","06","Southern America","Brasil","Paraíba","Alagoa Nova","Fazenda Capim - açú","-35.209167","-6.969444",NA,"Folhas membranáceas. Flores alvas. Frutos vináceos, passando a vermelhos.","ALCB037203","ALCB037203","2012",NA,NA,NA,"11","-35.209167","-6.969444","339","339",NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:13:51-03","UFBA","ALCB","104644","PreservedSpecimen","Plantae","Dicotyledon",NA,"Erythroxylaceae","Erythroxylum","pauferrense","Erythroxylum pauferrense","Plowman","Costa-Lima, JL","Guedes, ML; Oliveira, DSC de; Melo, E; et al.","19490","2012","03","07","Southern America","Brasil","Paraíba","Pilões","Serra do Espinho","-35.6275","-6.896389",NA,"de ca 1,20 m de altura. Folhas cartáceas, discolores. Frutos imaturos laranja e maduros vináceos.","ALCB037204","ALCB037204","2012",NA,NA,NA,"11","-35.6275","-6.896389","450","450",NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:13:51-03","UFBA","ALCB","104699","PreservedSpecimen","Plantae","Dicotyledon",NA,"Erythroxylaceae","Erythroxylum","pauferrense","Erythroxylum pauferrense","Plowman","Costa-Lima, JL","Guedes, ML; Oliveira, DSC de","19524","2012","03","08","Southern America","Brasil","Paraíba","Alagoa Nova",NA,"-35.759722","-7.078611",NA,"Folhas membranáceas, discolores. Flores cremes.","ALCB037201","ALCB037201","2012",NA,NA,NA,"11","-35.759722","-7.078611","461","461",NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:13:51-03","UFBA","ALCB","107203","PreservedSpecimen","Plantae","Dicotyledon",NA,"Erythroxylaceae","Erythroxylum","pauferrense","Erythroxylum pauferrense","Plowman","Costa-Lima, JL","Melo, E; Marques da Silva, B","11066","2012","03","08","Southern America","Brasil","Paraíba","Alagoa Nova","Brejo Paraibano. Fazenda Sr. José Roberto.","-35.759722","-7.078611",NA,"2 m alt. Folhas discolores. Flores brancas. (PPBio 5583117/2009); Arbusto. Vegetação aquática e mata ciliar, rio seco.","ALCB037200","ALCB037200","2015",NA,NA,NA,"04","-35.759722","-7.078611","416","416","10",NA,NA,NA,NA,NA
"10","2019-10-09 11:13:51-03","UFBA","ALCB","110667","PreservedSpecimen","Plantae","Dicotyledon",NA,"Erythroxylaceae","Erythroxylum","pauferrense","Erythroxylum pauferrense","Plowman","Costa-Lima, JL","Melo, E; Silva, M; et al.","10912","2012","03","05","Southern America","Brasil","Paraíba","Alagoa Nova","Brejo Paraibano.","-35.754444","-7.076667",NA,"2m de altura. Folhas membranáceas. Flores brancas. Frutos vináceos.","ALCB037199","ALCB037199","2015",NA,NA,NA,"04","-35.754444","-7.076667","470","470","10",NA,NA,NA,NA,NA
