"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","barcode","identifiedBy","yearIdentified","monthIdentified","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","imagecode","class","order","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","relatedCatalogItem"
"1","2021-04-08 17:45:20-03","EAO","IAN","57349","PreservedSpecimen","Plantae","Monocotiledônea","Orchidaceae","Trigonidium","latifolium","Trigonidium latifolium","Lindl.","sc","s.n.","IAN057349",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:52:52-03","EAO","IAN","85680","PreservedSpecimen","Plantae","Monocotiledônea","Orchidaceae","Trigonidium","latifolium","Trigonidium latifolium","Lindl.","Pires, JM; Silva, NT da","4710","IAN085680","Pabst, GFJ","1956","10","1954","08","18","Southern America","Brasil","Pará","Gurupá","Campina do Igarapé Jucupi.","-51.6399993896484","-1.40499997138977","122528","A flor não colada não permite exame para det.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-04 15:26:38-03","PUCPR","HUCP","20367","S","Plantae","Monocotiledonea","Orchidaceae","Trigonidium","latifolium","Trigonidium latifolium","Lindl.","Kersten, RA","1381","HUCP00006318",NA,NA,NA,"2009","07","26",NA,"Brasil","Paraná","Paranaguá","Estação Ecológica Ilha do Mel","-48.5092010498047","-25.5200004577637","24916",NA,"auto","HUCP00006318",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-04 15:26:39-03","PUCPR","HUCP","21200","S","Plantae","Monocotiledonea","Orchidaceae","Trigonidium","latifolium","Trigonidium latifolium","Lindl.","Lemos, JV","034","HUCP00006214","Lemos, JV",NA,NA,"2007","12","16",NA,"Brasil","Paraná","Pontal do Paraná","Rio Guaraguaçu","-48.511100769043","-25.6735992431641","19508",NA,"auto","HUCP00006214",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:47:01-03","NBC","NL-BOTANY","L.1535205","PreservedSpecimen","Plantae",NA,"Orchidaceae","Trigonidium","latifolium","Trigonidium latifolium","Lindl.","Düsen P",NA,"NL-L1535205",NA,NA,NA,"1910","04","05","Southern America","Brazil",NA,NA,"Plantae Brasilienses. Parana: Paranaguá, in silv. prim. ad trunc. arla.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1535205 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"NL-L1535205","Magnoliopsidae","Asparagales",NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:47:01-03","NBC","NL-BOTANY","L.1535206","PreservedSpecimen","Plantae",NA,"Orchidaceae","Trigonidium","latifolium","Trigonidium latifolium","Lindl.","Düsen P",NA,"NL-L1535206",NA,NA,NA,"1911","02","24","Southern America","Brazil",NA,NA,"Plantae Brasilienses. Parana: Porta Dani Pedro II, in silva prim. ad truna. arb.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1535206 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"NL-L1535206","Magnoliopsidae","Asparagales",NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 12:17:40-03","ESALQ","ESA","85979","PreservedSpecimen","Plantae","Magnoliophyta","Orchidaceae","Trigonidium","latifolium","Trigonidium latifolium","Lindl.","Forster, W.; Mazine, F.F.; Udulutsch, R.G.; Lucas, E.J.; Souza, V.C.","1003.0","ESA085979","Barros, F.","2006","06","2003","01","23",NA,"Brasil","São Paulo","Cananéia","BLOQUEADO","-47.9199981689453","-25.0100002288818","37574","Erva epífita. Flores amarelas com nuances marrom no ápice das sépalas. Pétalas listradas de marrom, com mácula vermelha no ápice.","auto","ESA085979",NA,NA,"05",NA,NA,NA,NA,NA,NA
"8","2019-06-27 10:26:07-03","UFES","VIES","1390","S","Plantae",NA,"Orchidaceae","Trigonidium","latifolium","Trigonidium latifolium","Lindl.","Araújo, D.S.D.; Pereira, O.J.","7778","VIES001390","Barros, F.",NA,NA,"1987","04","15",NA,"Brasil","São Paulo","Cananéia","Ilha de Cananéia.","-47.9199981689453","-25.0100002288818","37574",NA,"auto","VIES001390",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:38:53-03","MBM","MBM","397433","PreservedSpecimen","Plantae",NA,"Orchidaceae","Trigonidium","latifolium","Trigonidium latifolium","Lindl.","Daniel, V.; Bolson, M.; Bolson, M.","141","MBM397433","Cordeiro, J.",NA,NA,"2012","11","05","Southern America","Brazil","Santa Catarina","Garuva","Resgate de flora LT 230 kv Joinville Norte - Curitiba C2","-48.869986","-26.035539",NA,"Epífita.; Floresta Ombrófila Densa.",NA,"MBM397433",NA,NA,NA,"-48.869986","-26.035539",NA,NA,NA,NA
"10","2020-12-21 16:38:53-03","MBM","MBM","50186","PreservedSpecimen","Plantae",NA,"Orchidaceae","Trigonidium","latifolium","Trigonidium latifolium","Lindl.","Hatschbach, G.","2930","MBM050186","Pabst, G.",NA,NA,"1957","11",NA,"Southern America","Brazil","Paraná","Guaratuba","Rio da Praia","-48.5746994018555","-25.8827991485596","41937",NA,"auto","MBM050186",NA,NA,NA,NA,NA,NA,NA,NA,NA
