"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","locality","verbatimLongitude","verbatimLatitude","occurrenceRemarks","continentOcean","class","typeStatus","order"
"1","2020-11-04 11:21:01-03","ESALQ","ESA","24600","PreservedSpecimen","Plantae","Magnoliophyta","Xyridaceae","Xyris","uninervis","Xyris uninervis","Malme","Wanderley, M.G.L.","2003","01","01","Souza, V.C. et al.","8869.0","1995","08","18","Brasil","São Paulo","Itararé","-49.3400001525879","-24.1100006103516","27729","ESA024600","ESA024600","auto",NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-12 10:02:14-03","UNICAMP","UEC","76650","S","Plantae","Liliopsida","Xyridaceae","Xyris","uninervis","Xyris uninervis","Malme","Lozano, ED","2014",NA,NA,"Souza, VC; Sakuragui, CM; Souza, JP; Scalon, VR; Wongtschowski, M; Sanches, CD","8869","1995","08","18","Brazil","São Paulo","Itararé","-49.271667","-24.240833",NA,"UEC031736","UEC031736",NA,"Fazenda Ibiti (RIPASA), Campo rupestre.","-49.271667","-24.240833","Erva; brácteas castanhas sem ala dorsal evidente; flores amarelas.",NA,NA,NA,NA
"3","2019-08-16 08:41:26-03","UTFPR","HCF","21760","S","Plantae",NA,"Xyridaceae","Xyris","uninervis","Xyris uninervis","Malme","E.D. Lozano","2014",NA,NA,"E.D. Lozano","1323","2013","07","07","Brasil","PR","Tibagi","-50.249722","-24.571389",NA,NA,NA,NA,"Parque Estadual do Guartelá","50°14'59 W","24°34'17 S","cespitosa, 60 cm, flores amarelas, campo úmido.",NA,NA,NA,NA
"4","2020-12-21 16:47:54-03","MBM","MBM","401830","PreservedSpecimen","Plantae",NA,"Xyridaceae","Xyris","uninervis","Xyris uninervis","Malme","Lozano, E.D.","2014",NA,NA,"Lozano, E.D.","1323","2013","07","07","Brazil","Paraná","Tibagi","-50.249722","-24.571389",NA,"MBM401830","MBM401830",NA,"Parque Estadual do Guartelá","-50.249722","-24.571389","Cespitosa, 60 cm, flores amarelas, campo úmido.; Campos Gerais.","Southern America",NA,NA,NA
"5","2020-12-21 16:47:54-03","MBM","MBM","401831","PreservedSpecimen","Plantae",NA,"Xyridaceae","Xyris","uninervis","Xyris uninervis","Malme","Lozano, E.D.","2014",NA,NA,"Lozano, E.D.; Bolson, M.; Maia, F.R.; Bolson, M.; Maia, F.R.","2733","2014","09","03","Brazil","Paraná","Tibagi","-50.249722","-24.571389",NA,"MBM401831","MBM401831",NA,"Parque Estadual do Guartelá","-50.249722","-24.571389","Cespitosa, 80 cm, flores amarelas, campo úmido.; Campos Gerais.","Southern America",NA,NA,NA
"6","2011-02-07 09:42:00-02","MO","MOBOT","3003058","PreservedSpecimen","Plantae",NA,"Xyridaceae","Xyris","uninervis","Xyris uninervis","Malme","Malme911",NA,NA,NA,"J.E.B. Warming","Warming 21283","1898",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Har dock for tillf auet inga original exempl sd till hanos.",NA,NA,NA,"South America",NA,NA,NA
"7","2019-09-04 19:48:55-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Xyridaceae","Xyris","uninervis","Xyris uninervis",NA,NA,NA,NA,NA,"J. E. B. Warming",NA,NA,NA,NA,"Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,"South America","Monocotyledoneae","Isotype",NA
"8","2020-08-20 20:41:48-03","UFSC","FLOR","64276","PreservedSpecimen","Plantae",NA,"Xyridaceae","Xyris","uninervis","Xyris uninervis","Malme","Lozano, E.D.","2014",NA,NA,"Lozano, E.D.","1323","2013","07","07","Brasil","Paraná","Tibagi","-50.249722","-24.571389",NA,"FLOR0064276","FLOR0064276",NA,"Parque Estadual do Guartelá.","50º14'59''W","24º34'17''S","Cespitosa, 60cm, flores amarelas",NA,NA,NA,"Poales"
"9","2021-02-08 12:54:46-03","UFRGS","ICN","193448","S","Plantae","Monocotyledon","Xyridaceae","Xyris","uninervis","Xyris uninervis","Malme","Lozano, E D","2014",NA,NA,"Lozano, ED","1323","2013","07","07","Brasil","PR","Tibagi","-50.249722","-24.571389",NA,NA,NA,NA,"Parque Estadual do Guartelá.","-50.249722","-24.571389","Cespitosa,60cm,flores amarelas, campo úmido.; Campos Gerais","América do Sul",NA,NA,NA
"10","2019-11-21 10:20:01-03","IBt","SP","203783","S","Plantae",NA,"Xyridaceae","Xyris","uninervis","Xyris uninervis","Malme",NA,NA,NA,NA,"Romaniuc Neto, S; Sajo, MG","296","1985","07","25","Brasil","Goiás","Alto Paraíso de Goiás","-47.5099983215332","-14.1324996948242","44724",NA,NA,"auto","Parque Nacional da Chapada dos Veadeiros, Próximo à sede do IBDF. Riacho José Jacó",NA,NA,NA,NA,NA,NA,NA
"11","2021-01-07 09:34:40-03","IBt","SP","453314","S","Plantae",NA,"Xyridaceae","Xyris","uninervis","Xyris uninervis","Malme",NA,NA,NA,NA,"Lozano, ED","1323","2013","07","07","Brasil","Paraná","Tibagi","-50.4136009216309","-24.5093994140625","56988",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-02-04 09:02:39-03","IBt","SP","290986","S","Plantae",NA,"Xyridaceae","Xyris","uninervis","Xyris uninervis","Malme","Wanderley, MGL","2003",NA,NA,"Souza, VC","8869","1995","08","18","Brasil","São Paulo","Itararé","-49.3400001525879","-24.1100006103516","27729",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
