"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","stateProvince","phylum","order","scientificNameAuthorship","identifiedBy","locality","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","class","dayIdentified","fieldNumber","individualCount","typeStatus","relatedCatalogItem","sex"
"1","2020-09-23 10:40:27-03","E","E","128472","PreservedSpecimen","Plantae","Leguminosae","Andira","vermifuga","Andira vermifuga","Projeto Mata Atlântica Nordeste","2876","1999","04","15","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:136885","<a href=http://data.rbge.org.uk/herb/E00128472 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00128472",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:27-03","E","E","48593","PreservedSpecimen","Plantae","Leguminosae","Andira","vermifuga","Andira vermifuga","Gotteberger, Ilse S.","2131","1976","01","29","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:56341","<a href=http://data.rbge.org.uk/herb/E00048593 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00048593",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:27-03","E","E","48595","PreservedSpecimen","Plantae","Leguminosae","Andira","vermifuga","Andira vermifuga","Gottsberger, G.",NA,"1983","10","03","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:56344","<a href=http://data.rbge.org.uk/herb/E00048595 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00048595",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:40:27-03","E","E","167783","PreservedSpecimen","Plantae","Leguminosae","Andira","vermifuga","Andira vermifuga","Hatschbach, G.; Hatschbach, M.; Silva, J.M.","73452","2002","08","16","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:177128","<a href=http://data.rbge.org.uk/herb/E00167783 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00167783","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01302583","PreservedSpecimen","Plantae","Fabaceae","Andira","paniculata","Andira paniculata","L. R. Marinho","526","1976","06","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1590981' target='other'> <mi>dwc_moreinfo</mi></a>","NY01302583","Amazonas","Magnoliophyta","Fabales","Benth.","R. T. Pennington","Proj. Radam, Rio Cauabari, afl. do R. Negro - Ponto 8 SA-19-XB.","NY01302583_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00981944","PreservedSpecimen","Plantae","Fabaceae","Andira","vermifuga","Andira vermifuga","D. R. Gifford","R656","1967","09","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1100928' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981944","Mato Grosso","Magnoliophyta","Fabales","Mart. ex Benth.","M. T. K. Arroyo","c. 20 km. N. of Aragarças on the Aragarças-Xavantina road.","NY00981944_01","Barra do Garças","-52.2567","-15.8903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00981956","PreservedSpecimen","Plantae","Fabaceae","Andira","vermifuga","Andira vermifuga","E. P. Heringer","9814","1964","09","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1100852' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981956","Minas Gerais","Magnoliophyta","Fabales","Mart. ex Benth.","R. T. Pennington","Chapada de Pirapora","NY00981956_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01302650","PreservedSpecimen","Plantae","Fabaceae","Andira","vermifuga","Andira vermifuga","A. S. Janssen","139","1980","01","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1381057' target='other'> <mi>dwc_moreinfo</mi></a>","NY01302650","Amazonas","Magnoliophyta","Fabales","Mart. ex Benth.","R. T. Pennington","Campo I, 500 m ao Norte da BR-230, km 2.","NY01302650_01","Humaitá","-63.0208","-7.50611",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00981988","PreservedSpecimen","Plantae","Fabaceae","Andira","vermifuga","Andira vermifuga","H. S. Irwin","17362","1966","06","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1100883' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981988","Mato Grosso","Magnoliophyta","Fabales","Mart. ex Benth.","R. T. Pennington","Serra Azul, ca. 85 km. S. of Xavantina. Drainage of the Upper Rio Araguaia.","NY00981988_01",NA,"-52.23","-15.4","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00749559","PreservedSpecimen","Plantae","Fabaceae","Andira","vermifuga","Andira vermifuga","J. R. Pirani","1178","1985","10","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=899661' target='other'> <mi>dwc_moreinfo</mi></a>","NY00749559","Mato Grosso","Magnoliophyta","Fabales","Mart. ex Benth.","R. T. Pennington","Perto da cidade, em pequena elevaçao à margem do Rio Araguaia.","NY00749559_01","Santa Terezinha","-50.5","-10.42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
