"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","typeStatus","individualCount","class","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","02702154","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","glaziovii","Schefflera glaziovii","(Taub.) Frodin & Fiaschi","L. M. Borges","455","2010","06","16","South America","Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó. Lapinha da Serra. Trilha para o Pico do Breu.","-43.67553","-19.10372","1370","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2997381' target='other'> <mi>dwc_moreinfo</mi></a>","NY02702154","NY02702154_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00956421","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","glaziovii","Schefflera glaziovii","(Taub.) Frodin & Fiaschi","P. Fiaschi","3110","2006","07","17","South America","Brazil","Minas Gerais","Santana do Riacho","Estrada de Santana do Riacho para a Lapinha, ca 8 km. de Santana do Riacho.","-43.69911","-19.1206","1135","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1060705' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956421","NY00956421_01","P. Fiaschi","1135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1145592","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","glaziovii","Schefflera glaziovii","(Taub.) Frodin & Fiaschi","J. R. Pirani","5528","2006","04","22","South America","Brazil","Minas Gerais","Santana do Riacho","Lapinha Contrafortes ocidentais da Serra do Cipó. Elevações imediantamente a noreste de Lapinha, nas nascentes do Córrego do Boqueirão, que abastece o arraial. Trilha para o alto do paredão (Serra do Breu).","-43.6767","-19.1014","1406","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1320568' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145592","NY01145592_01","P. Fiaschi","1406",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1145215","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","glaziovii","Schefflera glaziovii","(Taub.) Frodin & Fiaschi","P. Fiaschi","330","2000","06","20","South America","Brazil","Minas Gerais","Santana do Pirapama","Fazenda dos Inhames (proprietário Paulo). Trilha para o alto da Serra.","-43.77","-18.95",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1307169' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145215","NY01145215_01","P. Fiaschi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","04141387","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","glaziovii","Schefflera glaziovii","(Taub.) Frodin & Fiaschi","R. Callejas Posada","5582","1987","11","11","South America","Colombia","Antioquia","Briceno","Vereda San Fermín, vía Ventanas-(Mun. Yarumal)-Briceño, km 2.5.","-75.53","7.17","2100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2217945' target='other'> <mi>dwc_moreinfo</mi></a>","NY04141387","NY04141387_01","O. Kosovsky","2300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00955329","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","glaziovii","Schefflera glaziovii","(Taub.) Frodin & Fiaschi","P. Fiaschi","343","2000","06","21","South America","Brazil","Minas Gerais","Santana do Riacho","Estrada de Santana do Riacho para a lapinha, ca. 7 km. da praça central da cidade.","-43.7142","-19.1692",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1026098' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955329","NY00955329_01","P. Fiaschi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00956422","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","glaziovii","Schefflera glaziovii","(Taub.) Frodin & Fiaschi","P. Fiaschi","3111","2006","07","17","South America","Brazil","Minas Gerais","Santana do Riacho","Estrada de Santana do Riacho para Lagoa Santa, ca. 12 km. de Santana do Riacho, próximo à bifurcação para Baldim.","-43.7142","-19.1692",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1060707' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956422","NY00956422_01","P. Fiaschi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:00:29-03","ESALQ","ESA","78198","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Araliaceae","Schefflera","glaziovii","Schefflera glaziovii",NA,"Souza, V.C.; Romão, G.O.; Sampaio, D.",NA,"2002","03","01",NA,"Brasil","Minas Gerais","Santana do Riacho","Estrada Santana do Riacho - Lapinha, ca. 7 km após Santana do Riacho. Campo rupestre. 1100 m.s.m.","-434.151","-190.743","1100",NA,"Arvoreta, ca. 3 m alt.; botões creme.","ESA078198","ESA078198","Fiaschi, P.","1100","-434,151","-190,743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:00:29-03","ESALQ","ESA","97699","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Araliaceae","Schefflera","glaziovii","Schefflera glaziovii",NA,"Souza, V.C.; Zappi, D.C.; Hind, D.J.N.; Paula-Souza, J.; Jennings, L.; Romão, G.O.; Rando, J.G.; Ferreira, M.A.P.; Miranda, E.","32597.0","2007","02","17",NA,"Brasil","Minas Gerais","Santana do Pirapama.","Serra do Cipó (Serra da Lapa). Distrito de São José da Cachoeira. Trilha da Captação da Fazenda Toucan Cipó. Campo rupestre com afloramentos e árvores esparsas. 680 m.s.m.",NA,NA,"680",NA,"Arvoreta, ca. 2 m alt.; botões creme.","ESA097699","ESA097699","Fiaschi, P.","680","-43,755,556","-19,006,111","2010",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:00:29-03","ESALQ","ESA","78218","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Araliaceae","Schefflera","glaziovii","Schefflera glaziovii",NA,"Souza, V.C.; Romão, G.O.; Sampaio, D.",NA,"2002","03","01",NA,"Brasil","Minas Gerais","Santana do Riacho","Estrada Santana do Riacho - Lapinha, ca. 8 km após Santana do Riacho. Campo rupestre. 1100 m.s.m.","-434.156","-190.704","1100",NA,"Arvoreta; botões castanhos.","ESA078218","ESA078218","Fiaschi, P.","1100","-434,156","-190,704",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-11-05 16:43:25-03","UFOP","OUPR","522","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","glaziovii","Schefflera glaziovii","(Taub.) Frodin & Fiaschi","Damazio, L.B.","s.n.","1908","06",NA,NA,"Brasil","Minas Gerais",NA,"Serra do Cipó",NA,NA,NA,NA,"Ex Herb. Escola de Minas n. 1514.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
