"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","barcode","order","imagecode","decimalLongitude","decimalLatitude","class","coordinatePrecision","geoFlag","typeStatus","fieldNumber","relatedCatalogItem"
"1","2019-06-10 10:11:04-03","FZB-BH","CVJBFZB","3329","S","Plantae","Pterydophyta","Anemiaceae","Anemia","dentata","Anemia dentata","Gardner","Carlos A. Ferreira Jr.","2011","03","18","Carlos Alberto F. Jr.; Fernando Araújo e Willian Millikem","caf175","2011","03","18","Brasil","Minas Gerais","Inhamé - santana do Pirapama","Sede da fazenda - Caminho para o rio cipó","43°46.582'","19°00.248'","659","659","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:11:04-03","FZB-BH","CVJBFZB","3328","S","Plantae","Pterydophyta","Anemiaceae","Anemia","dentata","Anemia dentata","Gardner","Carlos A. Ferreira Jr.","2011","03","18","Carlos Alberto F. Jr.; Fernando Araújo e Willian Millikem","caf174","2011","03","18","Brasil","Minas Gerais","Inhamé - santana do Pirapama","Sede da fazenda - Caminho para o rio cipó","43°46.582'","19°00.248'","659","659","2","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:36:02-03","E","E","195038","PreservedSpecimen","Plantae",NA,"Anemiaceae","Anemia","dentata","Anemia dentata",NA,NA,NA,NA,NA,"Gardner, George",NA,"1905","01","16","BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00195038 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:197911","E00195038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","03892907","PreservedSpecimen","Plantae","Pteridophyta","Anemiaceae","Anemia","dentata","Anemia dentata","Gardner",NA,NA,NA,NA,"H. H. Smith","1051a","1899","05",NA,"Colombia",NA,NA,"Santa Marta near Jordan.",NA,NA,"366",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4176271' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"NY03892907","Schizaeales","NY03892907_01",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02554328","PreservedSpecimen","Plantae","Pteridophyta","Anemiaceae","Anemia","dentata","Anemia dentata","Gardner",NA,NA,NA,NA,"A. M. V. de Carvalho","3768","1992","02","19","Brazil","Bahia","Caetité","Ca. 14 km na estrada de Caetité para Brumado.",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2816819' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"NY02554328","Schizaeales","NY02554328_01","-42.47","-14.06",NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2514544","PreservedSpecimen","Plantae","Pteridophyta","Anemiaceae","Anemia","dentata","Anemia dentata","Gardner",NA,NA,NA,NA,"W. J. Burchell","6476",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2806989' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"NY02514544","Schizaeales","NY02514544_01 NY02514544_02",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2514541","PreservedSpecimen","Plantae","Pteridophyta","Anemiaceae","Anemia","dentata","Anemia dentata","Gardner",NA,NA,NA,NA,"P. H. Labiak E.","5293","2011","01","19","Brazil","Goiás","Niquelândia","Road Niquelândia to Brasília (BR 414). Ca. 25 km S of Niquelândia on BR 414, plus 2 km on secondary road at the right side.",NA,NA,"700",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2806986' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"NY02514541","Schizaeales","NY02514541_01","-48.606","-14.651",NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02514540","PreservedSpecimen","Plantae","Pteridophyta","Anemiaceae","Anemia","dentata","Anemia dentata","Gardner",NA,NA,NA,NA,"J. R. Pirani","2146-A","1988","02","12","Brazil","Minas Gerais","Joaquim Felício","entre Várzea da Palma e Joaquim Felício, 31 km E do Rio das Velhas.",NA,NA,"650","650",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2806985' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"NY02514540","Schizaeales","NY02514540_01","-44.58","-17.58",NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","2514546","PreservedSpecimen","Plantae","Pteridophyta","Anemiaceae","Anemia","dentata","Anemia dentata","Gardner",NA,NA,NA,NA,"W. R. Anderson","9244","1973","04","20","Brazil","Minas Gerais",NA,"15 km by road W of Januária on road to Serra das Araras.",NA,NA,"575","650",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2806992' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"NY02514546","Schizaeales","NY02514546_01",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","2514543","PreservedSpecimen","Plantae","Pteridophyta","Anemiaceae","Anemia","dentata","Anemia dentata","Gardner",NA,NA,NA,NA,"W. J. Burchell","6476",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2806988' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"NY02514543","Schizaeales","NY02514543_01 NY02514543_02",NA,NA,NA,NA,NA,NA,NA,NA
