"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","continentOcean","phylum","class","typeStatus"
"1","2020-12-20 21:19:38-03","UFV","VIC","031176","PreservedSpecimen","Plantae","Velloziaceae","Barbacenia","ensifolia","Barbacenia ensifolia","Mart. ex Schult. & Schult.f.","Ferreira_Jr, C.A.","2020","04","25","Coser, T.S.; Araújo, R.S.","12","2006","05","12","Brasil","Minas Gerais","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto","-43.3908004760742","-18.0041999816895","26697","Planta de cerca de 70 cm de altura, solo arenoso de campo rupestre, folhas verdes,inflorescência de tricomas glândulares, flor de cor avermelhada de centro mas escuro,estigma roxo e base de estames de estipulas pretas.","VIC031176","VIC031176","auto",NA,NA,NA,NA
"2","2008-05-27 22:02:00-03","MO","MOBOT","3031450","PreservedSpecimen","Plantae","Velloziaceae","Barbacenia","ensifolia","Barbacenia ensifolia","Mart. ex Schult. f.",NA,NA,NA,NA,"Martins, *","Martins s.n.",NA,NA,NA,"Brazil",NA,NA,"Habitat in: editis montis do Sape.",NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA
"3","2019-09-04 19:54:06-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Velloziaceae","Barbacenia","ensifolia","Barbacenia ensifolia",NA,NA,NA,NA,NA,"C. F. P. von Martius",NA,NA,NA,NA,"Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,"South America","Spermatophyta","Monocotyledoneae","Type [status unknown]"
"4","2017-09-11 17:14:13-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Velloziaceae","Barbacenia","ensifolia","Barbacenia ensifolia","Mart. ex Schult. & Schult.f.",NA,NA,NA,NA,"Martius, CFP","s.n.",NA,NA,NA,"Brazil",NA,NA,"in editis montium Serra da Lapa.",NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA
"5","2017-09-11 17:14:13-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Velloziaceae","Barbacenia","ensifolia","Barbacenia ensifolia","Mart. ex Schult. & Schult.f.",NA,NA,NA,NA,"Martius, CFP","s.n.",NA,NA,NA,"Brazil",NA,NA,"in editis montium Serra da Lapa.",NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA
