"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","phylum","order","continentOcean","preparationType","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","individualCount","fieldNumber","relatedCatalogItem"
"1","2021-04-05 14:33:19-03","UNESC","CRI","52","PreservedSpecimen","Plantae","Asteraceae","Senecio","crassiflorus","Senecio crassiflorus","(Poir.) DC.","Vanilde Citadini- Zanette","Vanilde Citadini Zanette","446","1996","09","15","Brasil","Santa Catarina","Içara","Balneário Rincão.","-49.300278","-28.713889","49º18'1''W","28º42'50''S","52","52","Habitat: restinga","CRI001432","CRI001432",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:00-03","UNESC","CRI","12900","PreservedSpecimen","Plantae","Asteraceae","Senecio","crassiflorus","Senecio crassiflorus","(Poir.) DC.","Peterson T. Padilha","Alexandre Medeiros","733","2017","09","28","Brasil","Santa Catarina","Balneário Camboriú","Taquarinhas","-48.583889","-27.001389","48º35'2''W","27º0'5''S",NA,NA,"Habitat: Terrícola Habito: Herbácea","CRI011508","CRI011508","2018","03","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:19-03","UNESC","CRI","380","PreservedSpecimen","Plantae","Asteraceae","Senecio","crassiflorus","Senecio crassiflorus","(Poir.) DC.","Marcos Sobral","E. Bortolotto; N. Zin & C.A. Lopes",NA,"1987","10","27","Brasil","Santa Catarina","Içara","Balneário Rincão.","-49.300278","-28.713889","49º18'1''W","28º42'50''S","52","52",NA,"CRI001431","CRI001431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:19-03","UNESC","CRI","368","PreservedSpecimen","Plantae","Asteraceae","Senecio","crassiflorus","Senecio crassiflorus","(Poir.) DC.","Vanilde Citadini- Zanette","N. Zin; E. Bortolotto & C.A. Lopes",NA,"1987","10","27","Brasil","Santa Catarina","Içara","Balneário Rincão.","-49.300278","-28.713889","49º18'1''W","28º42'50''S","52","52",NA,"CRI001433","CRI001433",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:19-03","UNESC","CRI","4220","PreservedSpecimen","Plantae","Asteraceae","Senecio","crassiflorus","Senecio crassiflorus","(Poir.) DC.","Vanilde Citadini- Zanette","Valdemar Boff","206","1995","10","30","Brasil","Santa Catarina","Araranguá","arroio do silva.","-49.486111","-28.935278","49º29'10''W","28º56'7''S","4","4","Habitat: sobre dunas","CRI001434","CRI001434",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:19-03","UNESC","CRI","4232","PreservedSpecimen","Plantae","Asteraceae","Senecio","crassiflorus","Senecio crassiflorus","(Poir.) DC.","Vanilde Citadini- Zanette","Valdemar Boff","177","1995","11","20","Brasil","Santa Catarina","Siderópolis","Jordão.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","Habito: erva","CRI001436","CRI001436",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:19-03","UNESC","CRI","4240","PreservedSpecimen","Plantae","Asteraceae","Senecio","crassiflorus","Senecio crassiflorus","(Poir.) DC.","Vanilde Citadini- Zanette","Valdemar Boff","60","1995","09","12","Brasil","Santa Catarina","Içara","Balneário Rincão.","-49.300278","-28.713889","49º18'1''W","28º42'50''S","52","52","Habitat: dunas","CRI001435","CRI001435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:19-03","UNESC","CRI","1429","PreservedSpecimen","Plantae","Asteraceae","Senecio","crassiflorus","Senecio crassiflorus","(Poir.) DC.",NA,"Eliana Scremim Menegoz",NA,"1992","08","29","Brasil","Santa Catarina","Jaguaruna","Praia do Arroio.","-49.025833","-28.615556","49º1'33''W","28º36'56''S","12","12",NA,"CRI001429","CRI001429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:19-03","UNESC","CRI","4969","PreservedSpecimen","Plantae","Asteraceae","Senecio","crassiflorus","Senecio crassiflorus","(Poir.) DC.","Albertina Brocca","Albertina Brocca",NA,"1996","10","02","Brasil","Santa Catarina","Içara",NA,"-49.300556","-28.713889","49º18'2''W","28º42'50''S",NA,NA,NA,"CRI001428","CRI001428",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:00-03","UNESC","CRI","12872","PreservedSpecimen","Plantae","Asteraceae","Senecio","crassiflorus","Senecio crassiflorus","(Poir.) DC.","Renato Colares","Alexandre Medeiros","677","2017","09","28","Brasil","Santa Catarina","Balneário Camboriú","Taquarinhas.","-48.583889","-27.001389","48º35'2''W","27º0'5''S",NA,NA,"Habito: Arbustivo","CRI011480","CRI011480","2018","03","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
