"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","locality","occurrenceRemarks","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","continentOcean","minimumElevationInMeters","maximumElevationInMeters","class","order","typeStatus"
"1","2020-11-04 11:05:13-03","ESALQ","ESA","100373","PreservedSpecimen","Plantae","Magnoliophyta","Connaraceae","Rourea","pseudospadicea","Rourea pseudospadicea","Schellenb.","Toledo, C.A.P.","Bertoncini, A.P.","965.0","1998","12","16","Brasil","São Paulo","Avaí","-49.3300018310547","-22.1399993896484","23140","ESA100373","ESA100373","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:05:13-03","ESALQ","ESA","118799","PreservedSpecimen","Plantae","Magnoliophyta","Connaraceae","Rourea","pseudospadicea","Rourea pseudospadicea","Schellenb.","Toledo, C.A.P.","Colletta, G.D.","584.0","2011","11","01","Brasil","São Paulo","Piratininga","-49.1300010681152","-22.4099998474121","19389","ESA118799","ESA118799","auto","Sítio Lagoa Azul, Mata em volta da represa","Liana, frutos vermelho-alaranjados.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:05:13-03","ESALQ","ESA","100361","PreservedSpecimen","Plantae","Magnoliophyta","Connaraceae","Rourea","pseudospadicea","Rourea pseudospadicea","Schellenb.","Toledo, C.A.P.","Bertoncini, A.P.","965.0","1998","12","16","Brasil","São Paulo","Avaí","-49.3300018310547","-22.1399993896484","23140","ESA100361","ESA100361","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:05:13-03","ESALQ","ESA","61716","PreservedSpecimen","Plantae","Magnoliophyta","Connaraceae","Rourea","pseudospadicea","Rourea pseudospadicea","Schellenb.","Toledo, C.A.P.","Salino, A.","3837.0","1997","12","04","Brasil","Minas Gerais","São Geraldo","-42.834400177002","-20.9228000640869","12381","ESA061716",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:05:13-03","ESALQ","ESA","101572","PreservedSpecimen","Plantae","Magnoliophyta","Connaraceae","Rourea","pseudospadicea","Rourea pseudospadicea","Schellenb.","Toledo, C.A.P.","Bertoncini, A.P.","965.0","1998","12","16","Brasil","São Paulo","Avaí","-49.3300018310547","-22.1399993896484","23140","ESA101572","ESA101572","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:28:33-03","UNICAMP","UEC","21248","S","Plantae","Magnoliopsida","Connaraceae","Rourea","pseudospadicea","Rourea pseudospadicea","G.Schellenb.","Paz, JRL","Torres de Assumpção, C","s.n.","1979","01","09","Brazil","São Paulo","Anhembi","-48.15","-20.666667",NA,"UEC083232","UEC083232",NA,"Barreiro Rico farm.","Climber on a small tree (+- 5m). Low lary vegetation.","2016","04","-48.15","-20.666667",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:28:33-03","UNICAMP","UEC","203720","S","Plantae","Magnoliopsida","Connaraceae","Rourea","pseudospadicea","Rourea pseudospadicea","G.Schellenb.","Durigan, G","Pilon, NAL; Durigan, G","275","2014","12","01","Brazil","São Paulo","Águas de Santa Bárbara","-49.242153","-22.810417",NA,"UEC182976","UEC182976",NA,"Estação Ecológica de Águas de Santa Bárbara","Trepadeira, frutos vermelhos; Ecótono Cerrado/Floresta Estacional Semidecidual","2014","12","-49.242153","-22.810417","01",NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:28:33-03","UNICAMP","UEC","204246","S","Plantae","Magnoliopsida","Connaraceae","Rourea","pseudospadicea","Rourea pseudospadicea","G.Schellenb.","Durigan, G","Pilon, NAL; Durigan, G","295","2015","05","07","Brazil","São Paulo","Águas de Santa Bárbara","-49.242153","-22.810417",NA,"UEC183006","UEC183006",NA,"Estação Ecológica de Águas de Santa Bárbara","Trepadeira, frutos vermelhos; Cerradão","2015","05","-49.242153","-22.810417","07",NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:21:18-03","MBM","MBM","105113","PreservedSpecimen","Plantae",NA,"Connaraceae","Rourea","pseudospadicea","Rourea pseudospadicea","Schellenberg","Forero, E.","Hoehne, F.C.","s.n.","1949","01","17","Brazil","São Paulo",NA,NA,NA,NA,"MBM105113","MBM105113",NA,"Via Anhanguera, km 30",NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA
"10","2020-12-21 16:21:18-03","MBM","MBM","105114","PreservedSpecimen","Plantae",NA,"Connaraceae","Rourea","pseudospadicea","Rourea pseudospadicea","Schellenberg","Forero, E.","Hoehne, F.C.","s.n.","1945","11","12","Brazil","São Paulo","Caieiras","-46.7400016784668","-23.3600006103516","9448","MBM105114","MBM105114","auto","Caieiras",NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA
"11","2014-09-09 14:08:37-03","UNIVILLE","JOIW","271","S","Plantae",NA,"Connaraceae","Rourea","pseudospadicea","Rourea pseudospadicea","G.Schellenb.","J.R. Pirani","J.C.F.Melo Jr.","514","2006","10","21","Brasil","MG","Matozinhos","-43.983083","-19.47",NA,NA,NA,NA,"Fazenda Castelo da Jagoara - Ecótono cerradão/Mata ciliar","Arbusto, h=2m. Fruto baga amarelo-alaranjado e base verde. Madeira da base coletada.",NA,NA,"43º58'59,1'' W","19º28'12,0'' S",NA,NA,"683","683",NA,NA,NA
"12","2019-11-13 11:18:05-03","USP","SPF","177597","PreservedSpecimen","Plantae",NA,"Connaraceae","Rourea","pseudospadicea","Rourea pseudospadicea","G.Schellenb.","Pirani, JR","Melo Jr, JCF","514","2006","10","21","Brasil","Minas Gerais","Matozinhos","-43.983083","-19.47",NA,"SPF00177597",NA,NA,NA,NA,"2007",NA,"-43.983083","-19.47",NA,NA,"683","683",NA,NA,NA
"13","2019-11-13 11:18:05-03","USP","SPF","48356","PreservedSpecimen","Plantae",NA,"Connaraceae","Rourea","pseudospadicea","Rourea pseudospadicea","G.Schellenb.","Pirani, JR","Hatschbach, G","49861","1985","10","16","Brasil","Minas Gerais","Manhuaçu","-42.0335998535156","-20.2581005096436","32626","SPF00048356",NA,"auto",NA,NA,"2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-11-13 11:18:05-03","USP","SPF","71064","PreservedSpecimen","Plantae",NA,"Connaraceae","Rourea","pseudospadicea","Rourea pseudospadicea","G.Schellenb.","Pirani, JR","Rollo, MAL","37","1990","12",NA,"Brasil","Minas Gerais","Vespasiano","-43.9233016967773","-19.6919002532959","11802","SPF00071064",NA,"auto",NA,NA,"2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-11-13 11:18:05-03","USP","SPF","11572","PreservedSpecimen","Plantae",NA,"Connaraceae","Rourea","pseudospadicea","Rourea pseudospadicea","G.Schellenb.","Forero, E","Hoehne, W","s.n.","1945","11","12","Brasil","São Paulo","Caieiras","-46.7400016784668","-23.3600006103516","9448","SPF00011572",NA,"auto",NA,NA,"1985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-11-13 11:18:05-03","USP","SPF","73169","PreservedSpecimen","Plantae",NA,"Connaraceae","Rourea","pseudospadicea","Rourea pseudospadicea","G.Schellenb.","Kuhlmann, M","Kuhlmann, M","291","1942","12","23","Brasil","São Paulo","Jundiaí","-46.8800010681152","-23.1800003051758","17840","SPF00073169",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-11-13 11:18:05-03","USP","SPF","32641","PreservedSpecimen","Plantae",NA,"Connaraceae","Rourea","pseudospadicea","Rourea pseudospadicea","G.Schellenb.","Forero, E","Oliveira, MA","s.n.","1984","04","07","Brasil","São Paulo","São Manuel","-48.5699996948242","-22.7299995422363","24793","SPF00032641",NA,"auto","Distrito de Pratânia.",NA,"1985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-11-13 11:18:05-03","USP","SPF","36412","PreservedSpecimen","Plantae",NA,"Connaraceae","Rourea","pseudospadicea","Rourea pseudospadicea","G.Schellenb.","Forero, E","Oliveira, MA","43","1984","12",NA,"Brasil","São Paulo","São Manuel","-48.5699996948242","-22.7299995422363","24793","SPF00036412",NA,"auto","Distrito de Pratânia.",NA,"1985","02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-11-13 11:18:05-03","USP","SPF","12242","PreservedSpecimen","Plantae",NA,"Connaraceae","Rourea","pseudospadicea","Rourea pseudospadicea","G.Schellenb.","Forero, E","Hoehne, W","s.n.","1948","10","28","Brasil","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584","SPF00012242",NA,"auto",NA,NA,"1985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
