"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","locality","scientificNameAuthorship","identifiedBy","stateProvince","county","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","relationshipType","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2020-09-23 10:35:51-03","E","E","147364","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","apertiflora","Alstroemeria apertiflora","Dusen, P.","8910","1909","10","13","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:154646","<a href=http://data.rbge.org.uk/herb/E00147364 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00147364",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-27 16:13:00-03","NY","NYBG","545618","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","apertiflora","Alstroemeria apertiflora","E. Hassler","10099","1907",NA,NA,"South America","Paraguay","sheet",NA,"Custos herbarii nostri T. Rojas leg. mens. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386261' target='other'> <mi>dwc_moreinfo</mi></a>","NY00545618","Magnoliophyta","Liliales","Sierra de Amambay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","545617","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","apertiflora","Alstroemeria apertiflora","G. G. Hatschbach","17552","1967","10","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386257' target='other'> <mi>dwc_moreinfo</mi></a>","NY00545617","Magnoliophyta","Liliales","Rod. do Xisto","Baker","A. W. Meerow","Paraná","Contenda","-49.5344","-25.6758","NY00545617_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","545612","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","apertiflora","Alstroemeria apertiflora","P. K. H. Dusén",NA,"1914","03","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386256' target='other'> <mi>dwc_moreinfo</mi></a>","NY00545612","Magnoliophyta","Liliales",NA,"Baker","A. W. Meerow","Paraná","Pinhais","-49.157618","-25.419851","NY00545612_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","545614","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","apertiflora","Alstroemeria apertiflora","L. B. Smith","8560","1956","12","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386259' target='other'> <mi>dwc_moreinfo</mi></a>","NY00545614","Magnoliophyta","Liliales","Lower fazenda of Ernesto Scheide","Baker","L. B. Smith","Santa Catarina","Campo Alegre","-49.2656","-26.1925","NY00545614_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","545616","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","apertiflora","Alstroemeria apertiflora","P. K. H. Dusén",NA,"1909","11","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386254' target='other'> <mi>dwc_moreinfo</mi></a>","NY00545616","Magnoliophyta","Liliales","Inter Curityba et Pinhaes","Baker","F. W. L. Kraenzlin","Paraná",NA,NA,NA,"NY00545616_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","545613","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","apertiflora","Alstroemeria apertiflora","P. K. H. Dusén",NA,"1909","11","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386255' target='other'> <mi>dwc_moreinfo</mi></a>","NY00545613","Magnoliophyta","Liliales","Inter Curityba et Pinhaes","Baker","F. W. L. Kraenzlin","Paraná",NA,NA,NA,"NY00545613_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","545615","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","apertiflora","Alstroemeria apertiflora","G. G. Hatschbach","40440","1977","10","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386260' target='other'> <mi>dwc_moreinfo</mi></a>","NY00545615","Magnoliophyta","Liliales","Rincao","Baker","G. G. Hatschbach","Paraná","Tijucas do Sul","-49.13368","-25.799321","NY00545615_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","545611","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","apertiflora","Alstroemeria apertiflora","E. P. dos Santos","227","1996","11","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386258' target='other'> <mi>dwc_moreinfo</mi></a>","NY00545611","Magnoliophyta","Liliales","Recanto dos Papagaios","Baker","A. C. Cervi","Paraná","Palmeira","-49.72","-25.43","NY00545611_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:37:24-03","NBC","NL-BOTANY","L.1454681","PreservedSpecimen","Plantae","Liliaceae","Alstroemeria","apertiflora","Alstroemeria apertiflora","Hatschbach GG",NA,"1949","11","13","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1454681 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1454681",NA,"Liliales","Est. Parana( Brasil). Mun. Piraquara. Estr. Rio Taquary- Rio. Divisa.","Baker",NA,NA,NA,NA,NA,"NL-L1454681",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
