"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","geoFlag","order","continentOcean","preparationType","barcode","imagecode","typeStatus","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2019-06-10 10:11:02-03","FZB-BH","CVJBFZB","2819","S","Plantae","Pteridophyta","Lycopodiaceae","Phlegmariurus","ruber","Phlegmariurus ruber","(Cham. & Schlecht.) B.Øllg.","Carlos A. Ferreira Jr.","2013","09","10","Carlos Alberto F. Jr. ; Juliana Ordones, Clemens e Reisla","CAF1230","2013","09","09","Brasil","Minas Gerais","Catas Altas","Pico do Inficcionados, Serra do Caraça","-43.4075012207031","-20.0746994018555","20º 07' 59S","43º 27' 55W","11966","1767","1767","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","921347","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiaceae","Huperzia","rubra","Huperzia rubra","(Cham.) Trevis.","B. Øllgaard",NA,NA,NA,"L. B. Damazio","1990","1908","09",NA,"Brazil","Minas Gerais",NA,"Serra do Caraça",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=993069' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Lycopodiales","South America","sheet","NY00921347","NY00921347_01",NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","921346","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiaceae","Huperzia","rubra","Huperzia rubra","(Cham.) Trevis.","B. Øllgaard",NA,NA,NA,"H. S. Irwin","29064","1971","01","25","Brazil","Minas Gerais",NA,"Serra do Espinhaço, sandstone summit of Serra de Caraça","-43.508849","-20.130068",NA,NA,NA,"1750","1950","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=993063' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Lycopodiales","South America","sheet","NY00921346","NY00921346_01",NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","144019","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiaceae","Lycopodium","rubrum","Lycopodium rubrum","Cham.",NA,NA,NA,NA,"F. Sellow","s.n.",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=246193' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Lycopodiales","South America","sheet","NY00144019","NY00144019_01","type fragment",NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","144020","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiaceae","Lycopodium","rubrum","Lycopodium rubrum","Cham.",NA,NA,NA,NA,"A. F. M. Glaziou","s.n.",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=246194' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Lycopodiales","South America","sheet","NY00144020","NY00144020_01",NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02422554","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiaceae","Phlegmariurus","ruber","Phlegmariurus ruber","(Cham. & Schltdl.) B.Øllg.",NA,NA,NA,NA,"J. Prado","1002","1999","01","15","Brazil","Minas Gerais","Catas Altas","Serra do Caraça, Pico do Inficinonado","-43.4075012207031","-20.0746994018555",NA,NA,"11966","1900",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2635178' target='other'> <mi>dwc_moreinfo</mi></a>","auto","Lycopodiales","South America","sheet","NY02422554","NY02422554_01",NA,NA,NA,NA,NA
"7","2020-01-28 13:11:42-03","MCN-PUC-MINAS","HPUC-MG","PTF282","S","Plantae","Pteridophyta","Lycopodiaceae","Phlegmariurus","ruber","Phlegmariurus ruber",NA,NA,NA,NA,NA,"M.F.Vasconcelos","17-265",NA,NA,NA,"Brasil","Minas Gerais","Catas Altas","Pico do Inficionado - Serra do Caraça","-43.45","-20.116667","43° 27' W","20° 07' S",NA,NA,NA,"Exemplar parcialmente pisado por montanhistas. Crescendo entre Vellozia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:41:53-03","NBC","NL-BOTANY","L 0057384","PreservedSpecimen","Plantae",NA,"Lycopodiaceae","Lycopodium","rubrum","Lycopodium rubrum","Cham.","Ñllgaard B",NA,NA,NA,"Sello F",NA,NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200057384 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Lycopodiales","Southern America",NA,"NL-L0057384","NL-L0057384","isotype","Lycopsida","908343171",NA,NA
"9","2020-11-04 10:56:02-03","ESALQ","ESA","134405","PreservedSpecimen","Plantae",NA,"Lycopodiaceae","Phlegmariurus","ruber","Phlegmariurus ruber","(Cham. & Schlecht.) B.Øllg.","D. S. Gissi","2015",NA,NA,"Gissi, D. S.","169.0","2015","06","09","Brasil","Minas Gerais","Catas Altas","Trilha para o Inficionado","-20.135433",NA,"-20.135433",NA,NA,"1990","1990","Erva terrestre e ereta. Microfilos bem vermelhos e rígidos. Esporângios amarelados. Crescendo em meio às rochas, principalmente junto com as Canelas-de-Ema. Vários indivíduos foram observados sob esta mesma situação no local.",NA,NA,NA,NA,"ESA134405",NA,NA,NA,NA,NA,NA
"10","2019-08-27 13:36:41-03","IAP","PACA-AGP","88935","PreservedSpecimen","Plantae","Pteridophyta","Lycopodiaceae","Huperzia","rubra","Huperzia rubra","(Cham. & Schltdl.) Trevis.","J. Prado","1997","06","12","Mello-Silva","1380","1997","05","26","Brasil","MG","Santa Barbara","Serra do Caraça. Pico do Inficionado.","-43.451389","-20.134722","43°27'05W","20°08'05S",NA,"1900","2060","Planta toda vermelho-acastanhada com soros amarelos. Habitat: Em touceiras sobre rochas em locais de acúmulo de solo, heliófila.",NA,"Lycopodiales",NA,NA,"PACA088935",NA,NA,"Lycopodiopsida",NA,NA,NA
