"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","class","typeStatus","identifiedBy"
"1","2021-03-15 16:37:00-03","NY","NYBG","00857070","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hypenia","crispata","Hypenia crispata","(Pohl ex Benth.) Harley","W. R. Anderson","10061","1973","05","11","South America","Brazil","Goiás","Goiás","Serra Dourada, ca. 15 km (straight line) S of Goiás Velho","-50.1333","-16.06885","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936302' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857070","NY00857070_01",NA,NA,NA,NA,NA
"2","2020-12-16 11:32:49-03","UFG","UFG","30815","S","Plantae",NA,NA,"Lamiaceae","Hypenia","crispata","Hypenia crispata","(Pohl ex Benth.) Harley","Ferreira, H.D.; Maria Tereza","4647","2006","05","06",NA,"Brasil","Goiás","Mossâmedes","Reserva Biológica da Serra Dourada","-50.186889","-16.073889",NA,NA,NA,NA,"UFG0030815","UFG0030815","-50.186889","-16.073889",NA,NA,NA
"3","2019-09-04 18:42:30-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Lamiaceae","Hyptis","crispata","Hyptis crispata",NA,"J. B. E. Pohl","1566",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae","Type [status unknown]",NA
"4","2019-11-01 15:01:37-03","UnB","UB","26477","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Lamiaceae","Hypenia","crispata","Hypenia crispata","(Pohl ex Benth.) Harley","Anderson, WR","10061","1973","05","11","Southern America","Brasil","Goiás",NA,"15km ao S de Goiás Velho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harley, RM"
"5","2017-09-11 17:10:13-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Lamiaceae","Hyptis","crispata","Hyptis crispata","Pohl ex Benth.","Pohl, JBE","1566",NA,NA,NA,"Southern America","Brazil","Goiás",NA,"Habitat in Serra Dourada prov. Goyazensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
