"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","day","county","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","monthIdentified","class","coordinatePrecision","geoFlag","sex","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","01459671","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","percincta","Eugenia percincta","McVaugh","isotype","H. H. Rusby","2084","1886","10","South America","Brazil","Rondônia","Falls of Madeira [near to Quajará-Mirim]","-65.3465375","-10.7798649","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1700550' target='other'> <mi>dwc_moreinfo</mi></a>","NY01459671","NY01459671_01 NY01459671_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","404977","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","percincta","Eugenia percincta","McVaugh","isotype","H. H. Rusby","2084","1886","10","South America","Brazil","Rondônia","Falls of Madeira [near to Quajará-Mirim]","-65.3465375","-10.7798649","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=312781' target='other'> <mi>dwc_moreinfo</mi></a>","NY00404977","NY00404977_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1288041","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","percincta","Eugenia percincta","McVaugh","isotype","H. H. Rusby","2084","1886","10","South America","Brazil",NA,"Falls of Madeira","-65.3465375","-10.7798649","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1649530' target='other'> <mi>dwc_moreinfo</mi></a>","NY01288041","NY01288041_01 NY01288041_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:45:53-03","EAO","IAN","190760","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Myrtaceae","Eugenia","percincta","Eugenia percincta","McVaugh",NA,"Simon, MF","1158","2011","03","Southern America","Brasil","Rondônia","Floresta perturbada. Solo rochoso Acidentado. Fragmento florestal próximo à margem direita do rio Jaci Paraná, LT Jirau. Local com afloramento de rocha e palmeiras Attalea, dossel aberto (10 m em média).","-64.393333","-9.270833",NA,"Arvoreta bastante ramificada 4m. Folhagem cartácea, brilhosa na superfície adaxial. Frutos alaranjados tornando-se escuros. Semente única. Comum.","IAN190760",NA,"Sobral, M","2015","24","Porto Velho","-64.393333","-9.270833","90","90",NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-11-07 07:08:06-02","MNHN","RECOLNAT_MNHN_P","P01902637","PreservedSpecimen",NA,NA,NA,"Myrtaceae","Eugenia","percincta","Eugenia percincta","McVaugh","isotype","Rusby, H.H.",NA,"1886","10",NA,"Brésil",NA,"Falls of Madeira, Brazil",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01902637' target='other'> <mi>dwc_moreinfo</mi></a>","P01902637","P01902637_01","McVaugh",NA,NA,NA,NA,NA,NA,NA,"2084",NA,NA,NA,NA,NA,NA,NA
"6","2014-04-04 05:44:00-03","MO","MOBOT","311962","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","percincta","Eugenia percincta","McVaugh",NA,"Rodolfo Vásquez|Nestor Jaramillo","Vásquez Martínez 13119","1989","11","South America","Peru","Loreto","Dtto. Amazonas, Explor Napo Camp (Río Sucusari). Bosque inundable (solo en grandes crecientes).","-72.91666","-3.33333",NA,NA,NA,NA,"N. Snow (GREE)",NA,"8","Maynas",NA,NA,"116.00000000",NA,"149","6",NA,NA,NA,NA,NA,NA
"7","2014-04-04 05:44:00-03","MO","MOBOT","312297","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","percincta","Eugenia percincta","McVaugh",NA,"Rodolfo Vásquez|Nestor Jaramillo","Vásquez Martínez 13275","1989","12","South America","Peru","Loreto","Sargento Lores, Esperanza (Río Tahuayo). Bosque primario (restinga alta).","-73.25","-4.16666",NA,NA,NA,NA,"N. Snow (GREE)",NA,"15","Maynas",NA,NA,"120.00000000",NA,"159","8",NA,NA,NA,NA,NA,NA
"8","2011-06-08 12:20:00-03","MO","MOBOT","3201804","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","percincta","Eugenia percincta","McVaugh",NA,"Manuel Rimachi Y.","Rimachi Y. 9015","1988","11","South America","Peru","Loreto","Dtto.Indiana. Quebrada de Yanayacu, Bombonaje, margen del caserio General Merino, hasta Monte Carmelo, Inundable low forest, humid clay soil.",NA,NA,NA,NA,NA,NA,NA,NA,"16","Maynas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2009-08-07 05:31:00-03","MO","MOBOT","3257630","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","percincta","Eugenia percincta","McVaugh",NA,"Manuel Rimachi Y.","Rimachi Y. 1910","1975","8","South America","Peru","Loreto","Dtto. Iquitos. Rio Momon, upland not inundated; pinsha caspi, 10 m, fr. green, mature blue.",NA,NA,NA,NA,NA,NA,NA,NA,"26","Maynas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2010-04-12 21:17:00-03","MO","MOBOT","3408809","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","percincta","Eugenia percincta","McVaugh",NA,"Carlos A. Blanco","Blanco 240","1965","8","South America","Venezuela",NA,"Edo. Bolllívar: en las cercanías de los campanentos El Paraíso y La Vagua approximadamente 24-48 Km. N.E. del caserío Los Rosos, este último aproximadamente 17 lm. de Upata.",NA,NA,NA,NA,NA,NA,"B.K. Holst",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
