"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","typeStatus","stateProvince","locality","phylum","order","scientificNameAuthorship","identifiedBy","county","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","infraspecificEpithet","individualCount","sex"
"1","2020-09-23 10:37:08-03","E","E","226239","PreservedSpecimen","Plantae","Celastraceae","Cheiloclinium","cognatum","Cheiloclinium cognatum","Kröll","668","1989","11","15","W. Tropical South America","PE","herbarium specimen of unspecif","BGBASE:236055","<a href=http://data.rbge.org.uk/herb/E00226239 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00226239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:37:09-03","E","E","28397","PreservedSpecimen","Plantae","Celastraceae","Salacia","cognata","Salacia cognata","R. Spruce","2099",NA,NA,NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:33478","<a href=http://data.rbge.org.uk/herb/E00028397 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00028397","syntype","Amazonas","Prope San Gabriel da Cachoeira, ad Rio Negro, Brasiliae borealis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01405292","PreservedSpecimen","Plantae","Celastraceae","Cheiloclinium","cognatum","Cheiloclinium cognatum","G. T. Prance","59128","1964","09","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2266931' target='other'> <mi>dwc_moreinfo</mi></a>","NY01405292",NA,"Mato Grosso","Serra do Roncador; Grounds of brick factory. 5 km. south of Chavantina","Magnoliophyta","Celastrales","(Miers) A.C.Sm.","J. A. Lombardi","Nova Xavantina","-52.3531","-14.6733","NY01405292_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1031213","PreservedSpecimen","Plantae","Celastraceae","Cheiloclinium","cognatum","Cheiloclinium cognatum","M. G. da Silva","4265","1979","01","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1143855' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031213",NA,"Mato Grosso","Aripuanã, Bosquinho.","Magnoliophyta","Celastrales","(Miers) A.C.Sm.","M. G. da Silva",NA,NA,NA,"NY01031213_01 NY01031213_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1031231","PreservedSpecimen","Plantae","Celastraceae","Cheiloclinium","cognatum","Cheiloclinium cognatum","J. A. Ratter","R.870","1968","04","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1144152' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031231",NA,"Mato Grosso","c. 50 km. N. of the Base Camp of the Expedition on the Xavantina-São Felix road.","Magnoliophyta","Celastrales","(Miers) A.C.Sm.","A. M. W. Mennega",NA,"-51.87","-12.9","NY01031231_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02206660","PreservedSpecimen","Plantae","Celastraceae","Cheiloclinium","cognatum","Cheiloclinium cognatum","C. A. Cid Ferreira","7376","1986","06","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2336418' target='other'> <mi>dwc_moreinfo</mi></a>","NY02206660",NA,"Rondônia","Porto Velho. Reservatório da Usina Hidrelética de Samuel. Próximo ao final do dique da margem direita do rio Jamari.","Magnoliophyta","Celastrales","(Miers) A.C.Sm.",NA,NA,"-63.4533","-8.7394","NY02206660_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2206670","PreservedSpecimen","Plantae","Celastraceae","Cheiloclinium","cognatum","Cheiloclinium cognatum","G. T. Prance","9446","1969","01","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2336428' target='other'> <mi>dwc_moreinfo</mi></a>","NY02206670",NA,"Roraima","Upper slopes of Serra da Lua","Magnoliophyta","Celastrales","(Miers) A.C.Sm.",NA,NA,"-60.208","2.45","NY02206670_01","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00938321","PreservedSpecimen","Plantae","Celastraceae","Cheiloclinium","cognatum","Cheiloclinium cognatum","C. A. Cid Ferreira","8730","1987","03","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2490341' target='other'> <mi>dwc_moreinfo</mi></a>","NY00938321",NA,"Rondônia","BR-429, a 15 Km da cidade, vicinal para Serra Grande a 03 Km da BR-429.","Magnoliophyta","Celastrales","(Miers) A.C.Sm.",NA,"Costa Marques","-64.216667","-12.333333","NY00938321_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","869982","PreservedSpecimen","Plantae","Celastraceae","Cheiloclinium","cognatum","Cheiloclinium cognatum","D. C. Daly","10008","1999","03","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=626567' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869982",NA,"Acre","Rio Purus, left bank, Seringal Santa Helena.","Magnoliophyta","Celastrales","(Miers) A.C.Sm.","J. A. Lombardi","Santa Rosa do Purus","-70.1769","-9.1303","NY00869982_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01240614","PreservedSpecimen","Plantae","Celastraceae","Cheiloclinium","cognatum","Cheiloclinium cognatum","R. A. X. Borges","420","2006","12","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1449763' target='other'> <mi>dwc_moreinfo</mi></a>","NY01240614",NA,"Bahia","Serra do Corcovado, 13,8 km ao SW de Coaraci, na estrada para Almadina. Fazenda São José. Proprietário Senhor Francisco.","Magnoliophyta","Celastrales","(Miers) A.C.Sm.","J. A. Lombardi","Almadina","-39.6033","-14.7058","NY01240614_01","650","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","02226356","PreservedSpecimen","Plantae","Celastraceae","Cheiloclinium","cognatum","Cheiloclinium cognatum","B. A. Krukoff","4843","1933","06","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2490190' target='other'> <mi>dwc_moreinfo</mi></a>","NY02226356",NA,"Amazonas","Basin of Rio Jurua: near the mouth of Rio Embira (tributary of Rio Tarauaca)","Magnoliophyta","Celastrales","(Miers) A.C.Sm.",NA,NA,"-70.25","-7.5","NY02226356_01 NY02226356_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","02206681","PreservedSpecimen","Plantae","Celastraceae","Cheiloclinium","cognatum","Cheiloclinium cognatum","A. V. V. da Silva","s.n.","1987","03","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2336439' target='other'> <mi>dwc_moreinfo</mi></a>","NY02206681",NA,"Amazonas","Distrito Agropecuário da SUFRAMA Rodovia BR 174, Km 72, depois 6 Km oeste da BR, Fazenda Dimona. Reserva nº 2206. Árvore nº 2396. Mata de terra firme sobre latosolo amarelo argila.","Magnoliophyta","Celastrales","(Miers) A.C.Sm.",NA,"Manaus","-60.0917441","-2.326638","NY02206681_01 NY02206681_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","01092714","PreservedSpecimen","Plantae","Celastraceae","Cheiloclinium","cognatum","Cheiloclinium cognatum","S. C. de Sant'Ana","597",NA,NA,NA,"South America","Brazil","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1232207' target='other'> <mi>dwc_moreinfo</mi></a>","NY01092714",NA,"Bahia","Distrito de Serra Grande. 7.3 km na estrada Serra Grande/Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz.","Magnoliophyta","Celastrales","(Miers) A.C.Sm.","J. A. Lombardi","Uruçuca","-39.0617","-14.4231","NY01092714_01 NY01092714_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1488063","PreservedSpecimen","Plantae","Celastraceae","Cheiloclinium","cognatum","Cheiloclinium cognatum","D. C. Daly","12146","2003","10","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=626563' target='other'> <mi>dwc_moreinfo</mi></a>","NY01488063",NA,"Acre","Rio Abuna, Projeto de Assentamento Extrativista (PAE) Porto Dias, km 108 of BR-364 (Rio Branco-Porto Velho), then 30km S on side road; Colocaçao Palhau.","Magnoliophyta","Celastrales","(Miers) A.C.Sm.","J. A. Lombardi","Acrelândia","-66.8014","-9.9794",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00750069","PreservedSpecimen","Plantae","Celastraceae","Cheiloclinium","cognatum","Cheiloclinium cognatum","W. W. Thomas","3899","1985","09","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=911932' target='other'> <mi>dwc_moreinfo</mi></a>","NY00750069",NA,"Mato Grosso","Road to Fazenda Santana, 9.6 km S of Rio Celeste (ca. 61 km S of Sinop) then 1.5-4 km E on road to Fazenda Santana","Magnoliophyta","Celastrales","(Miers) A.C.Sm.","A. M. W. Mennega","Nobres","-55.62","-12.38","NY00750069_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","1031227","PreservedSpecimen","Plantae","Celastraceae","Cheiloclinium","cognatum","Cheiloclinium cognatum","B. Maguire","56441","1963","08","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1144143' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031227",NA,"Mato Grosso","50 km west of Diamantino, watershed, Brasilia-Acre highway.","Magnoliophyta","Celastrales","(Miers) A.C.Sm.","A. M. W. Mennega",NA,NA,NA,"NY01031227_01","700","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","1031216","PreservedSpecimen","Plantae","Celastraceae","Cheiloclinium","cognatum","Cheiloclinium cognatum","G. T. Prance","58248","1964","07","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1144056' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031216",NA,"Goiás","Chapada dos Veadeiros. 5-10 km. north of Veadeiros; Valley of Rio Parana.","Magnoliophyta","Celastrales","(Miers) A.C.Sm.","A. M. W. Mennega","Alto Paraíso de Goiás","-47.5097","-14.1325","NY01031216_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","472129","PreservedSpecimen","Plantae","Celastraceae","Cheiloclinium","cognatum","Cheiloclinium cognatum","D. C. Daly","8959","1996","05","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=626575' target='other'> <mi>dwc_moreinfo</mi></a>","NY00472129",NA,"Acre","Parque Nacional Serra do Divisor, Serra do Moa, Hunting trail leading from Boca da Serra to Igarapé Anil (= Ig. República).","Magnoliophyta","Celastrales","(Miers) A.C.Sm.","J. A. Lombardi","Mâncio Lima","-73.675","-7.3583","NY00472129_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","02226380","PreservedSpecimen","Plantae","Celastraceae","Cheiloclinium","cognatum","Cheiloclinium cognatum","S. A. Mori","17571","1984","12","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2490193' target='other'> <mi>dwc_moreinfo</mi></a>","NY02226380",NA,"Amapá","156 km NW of Porto Grande on the highway Perimetral Norte (BR 210)","Magnoliophyta","Celastrales","(Miers) A.C.Sm.",NA,"Macapá","-53.5","1.5","NY02226380_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
