"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","recordedBy","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","typeStatus","recordNumber","year","month","day","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","identifiedBy","class"
"1","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","1141","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Encholirium","cf. luxor","Encholirium cf. luxor","L. B. Sm & R.W.Read","2008","01","14","Ines Ribeiro de Andrade;","Brasil","Minas Gerais","Matias Cardoso","Apa Lajedão","-43.9219017028809","-14.854700088501","43°45'47","14°53'29","44859","3","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","335410","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Encholirium","luxor","Encholirium luxor","L.B.Sm. & Read",NA,NA,NA,"W. R. Anderson","Brazil","Minas Gerais","Januária","15 km. by road W of Janúaria on road to Serra das Araras","-44.3616981506348","-15.4881000518799",NA,NA,"148972",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=452941' target='other'> <mi>dwc_moreinfo</mi></a>","auto","isotype","9259","1973","04","20","South America","575","650","sheet","NY00335410","NY00335410_01",NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","873355","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Encholirium","luxor","Encholirium luxor","L.B.Sm. & Read",NA,NA,NA,"R. C. Forzza","Brazil","Goiás","Vila Propício","3 km de Vila Propício.","-48.8883","-15.4569",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=955250' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"917","1998","05","29","South America",NA,NA,"sheet","NY00873355","NY00873355_01","R. C. Forzza",NA
"4","2021-03-15 16:37:00-03","NY","NYBG","873356","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Encholirium","luxor","Encholirium luxor","L.B.Sm. & Read",NA,NA,NA,"R. C. Forzza","Brazil","Goiás","Vila Propício","3 km de Vila Propício.","-48.8883","-15.4569",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=955257' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"917","1998","05","29","South America",NA,NA,"sheet","NY00873356","NY00873356_01","R. C. Forzza",NA
"5","2021-03-15 16:37:00-03","NY","NYBG","335411","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Encholirium","luxor","Encholirium luxor","L.B.Sm. & Read",NA,NA,NA,"W. R. Anderson","Brazil","Minas Gerais","Januária","15 km. by road W of Janúaria on road to Serra das Araras","-44.3616981506348","-15.4881000518799",NA,NA,"148972",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=452942' target='other'> <mi>dwc_moreinfo</mi></a>","auto","isotype","9259","1973","04","20","South America","575","650","sheet","NY00335411","NY00335411_01",NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","873290","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Encholirium","piresianum","Encholirium piresianum","L.B.Sm. & Read",NA,NA,NA,"H. S. Irwin","Brazil","Distrito Federal","Brasília","Côrrego Landim, ca. 20 km N.E. of Brasília","-47.78471","-15.6555",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=954785' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"14040","1966","03","17","South America","950","950","sheet","NY00873290","NY00873290_01","R. C. Forzza",NA
"7","2021-03-15 16:37:00-03","NY","NYBG","873291","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Encholirium","piresianum","Encholirium piresianum","L.B.Sm. & Read",NA,NA,NA,"H. S. Irwin","Brazil","Distrito Federal","Brasília","Côrrego Landim, ca. 20 km N.E. of Brasília","-47.78471","-15.6555",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=954787' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"14040","1966","03","17","South America","950","950","sheet","NY00873291","NY00873291_01","R. C. Forzza",NA
"8","2021-03-15 16:37:00-03","NY","NYBG","873293","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Encholirium","piresianum","Encholirium piresianum","L.B.Sm. & Read",NA,NA,NA,"H. S. Irwin","Brazil","Goiás","Cocalzinho de Goiás","50 km N. of Corumbá de Goiás on road to Niquelândia, valley of Rio Maranhão. Serra dos Pirineus.","-48.6","-15.57",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=954791' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"19129","1968","01","24","South America","800","800","sheet","NY00873293","NY00873293_01","R. C. Forzza",NA
"9","2021-03-15 16:37:00-03","NY","NYBG","873354","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Encholirium","piresianum","Encholirium piresianum","L.B.Sm. & Read",NA,NA,NA,"H. S. Irwin","Brazil","Distrito Federal","Brasília","Chapada da Contagem, ca. 25 km NE of Brasília","-47.75172","-15.62355",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=955247' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"8052","1965","09","07","South America","1000","1000","sheet","NY00873354","NY00873354_01","R. C. Forzza",NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02448584","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Encholirium","piresianum","Encholirium piresianum","L.B.Sm. & Read",NA,NA,NA,"H. S. Irwin","Brazil","Distrito Federal","Brasília","Côrrego Landim, ca. 20 km N.E. of Brasília","-47.78471","-15.6555",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2635422' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"14040","1966","03","17","South America","950","950","sheet","NY02448584","NY02448584_01",NA,NA
