"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","yearIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00907535","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","lutescens","Eugenia lutescens","Cambess.","C. E. B. Proença","J. A. Ratter","R4251","1978","11","01","South America","Brazil","Distrito Federal","Brasília","Fazenda Agua Limpa (University of Brasília field station), near Vargem Bonita, c. 18 km SSW of Brasília TV tower","-47.93495","-15.952","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986053' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907535","NY00907535_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00907832","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","lutescens","Eugenia lutescens","Cambess.",NA,"E. P. Heringer","8618","1961","08","28","South America","Brazil","Distrito Federal","Brasília","Horto do Guará","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989052' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907832","NY00907832_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00907534","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","lutescens","Eugenia lutescens","Cambess.","C. E. B. Proença","J. A. Ratter","R3476","1976","08","24","South America","Brazil","Distrito Federal","Brasília","Fazenda Agua Limpa (University of Brasília field station), near Vargem Bonita, c. 18 km SSW of Brasília TV tower","-47.93495","-15.952","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986045' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907534","NY00907534_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00907800","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","sellowiana","Eugenia sellowiana","DC.","C. M. D. E. Legrand","E. P. Heringer","8977","1962","09","20","South America","Brazil","Distrito Federal","Brasília","Parque do Guará","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988943' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907800","NY00907800_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00907332","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","sellowiana","Eugenia sellowiana","DC.","M. Sobral","B. Maguire","56256","1963","08","24","South America","Brazil","Mato Grosso","Alto Araguaia","Along margin of Rio Araguaia, 1-10 km west of Alto Araguaia. Brasilia-Acre Highway.","-53.2153","-17.3147","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985371' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907332","NY00907332_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:45:50-03","EAO","IAN","27552","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Myrtaceae","Eugenia","lutescens","Eugenia lutescens","Cambess.",NA,"Saint-Hilaire","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN027552",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:45:53-03","EAO","IAN","23293","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Myrtaceae","Eugenia","regeliana","Eugenia regeliana","O.Berg",NA,"Riedel, L","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN023293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:45:53-03","EAO","IAN","23296","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Myrtaceae","Eugenia","stephani","Eugenia stephani genuita","Berg",NA,"Riedel, L","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN023296",NA,"genuita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:45:53-03","EAO","IAN","23296","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Myrtaceae","Eugenia","stephani","Eugenia stephani genuita","Berg",NA,"Riedel, L","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN023296",NA,"genuita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-26 18:08:58-03","CPAN-UFMS","COR","4338","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","lutescens","Eugenia lutescens","Cambess.","Proença, C.","Kirkbride-Junior, J. H.; Ferreira, L. V.","5378","1983","09","05",NA,"Brasil","Distrito Federal","Brasília","Fazenda Água Limpa; campo experimental da Universidade de Brasília","-47.916667","-15.966667",NA,"Arbusto com até 90 cm de altura; pétalas e gineceu brancos Habito: Arbusto",NA,NA,NA,"1994","47º55'0''W","15º58'0''S","1120","1120",NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-02-08 10:06:19-03","NBC","NL-BOTANY","U.1443079","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Eugenia","lutescens","Eugenia lutescens","Cambess.",NA,"Oldenburger FHF; Mecenas VV",NA,"1975","10","23","Southern America","Brazil",NA,NA,"D.F. Brasilia, Universiy Campus.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1443079 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1443079","NL-U1443079",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 10:06:31-03","NBC","NL-BOTANY","WAG.1115652","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Eugenia","sellowiana","Eugenia sellowiana","DC.",NA,"Hatschbach GG",NA,"1974","07","11","Southern America","Brazil",NA,NA,"Rib. Claro (mun. Alto Araguaia) Mato Grosso.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1115652 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1115652","NL-WAG1115652",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 10:06:31-03","NBC","NL-BOTANY","U.1442638","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Eugenia","stephanii","Eugenia stephanii","O.Berg",NA,"Riedel JGF",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Brasilia: prov. H Paullo el Goyas.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1442638 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1442638","NL-U1442638",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"14","2020-02-08 10:06:31-03","NBC","NL-BOTANY","U.1442638","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Eugenia","stephanii","Eugenia stephanii","O.Berg",NA,"Riedel JGF",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Brasilia: prov. H Paullo el Goyas.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1442638 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1442638","NL-U1442638",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"15","2020-11-04 11:14:34-03","ESALQ","ESA","92609","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","lutescens","Eugenia lutescens","Camb.","Faria-Jr., J.E.Q.","Heringer, E.P.","8618.0","1961","08","28",NA,"Brasil","Distrito Federal","Brasília",NA,"-47.9296989440918","-15.7797002792358",NA,NA,"ESA092609","ESA092609",NA,NA,NA,NA,NA,NA,NA,"70570","auto",NA,NA,NA,NA,NA
"16","2020-11-04 10:56:24-03","ESALQ","ESA","140323","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","lutescens","Eugenia lutescens","Cambess.","N. Pilon","A. Ferraro","206.0",NA,NA,NA,NA,"Brasil","São Paulo","Águas de Santa Bárbara","Estação Ecológica de Águas de Santa Bárbara","-49.238899230957","-22.8805999755859",NA,NA,"ESA140323",NA,NA,"2017","49º13'09.1","22º48'01.3","645","645",NA,"18363","auto",NA,NA,NA,NA,NA
"17","2021-03-22 17:46:18-03","UFPI","TEPB","29255","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","lutescens","Eugenia lutescens","Cambess.","Passos, F.B","Correia C. A. S","59","2005","08","30",NA,"Brasil","Distrito Federal","Brasília","Parque das Sucupiras, Setor Sudoeste","-47.916667","-15.766667",NA,"Arbusto 1,0m; vários remos eretos, numa touceira frouxa; flores de cor creme; levemente perfumada Ambiente: Borda do Cerrado ralo, graminoso alterado",NA,NA,NA,"2004","47°55'W","15°46'S","1600","1600",NA,NA,NA,"10","05",NA,NA,NA
"18","2015-07-02 14:03:14-03","JBP","HPL","13063","S","Plantae",NA,NA,"Myrtaceae","Eugenia","sellowiana","Eugenia sellowiana","DC.","V.C. Souza","H. Lorenzi","6127","2006","08","29",NA,"Brasil","MG","Presidente Olegário","Coletado em área de cerrado nas proximidades da cidade. Material anterior e erroneamente tombado como HPL-6634.","-46.4181","-18.4178",NA,NA,NA,NA,NA,"2012",NA,NA,NA,NA,NA,"77040","auto","06","11",NA,NA,NA
"19","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0034451","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","lutescens","Eugenia lutescens","Cambess.","C. Proenca, 1994.","J. H. Kirkbride, Jr.; L. Ferreira","5378","1983","9","5",NA,"Brazil","Distrito Federal",NA,"Fazenda Agua Limpa, campo experimental da Universidade de Brasilia.","-47.9167","-15.9667",NA,"Arbusto ate 90cm; petalas e gineceu brancas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0052966","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","lutescens","Eugenia lutescens","Cambess.","C. A. S. Correia","C. A. S. Correia","59","2005","8","30",NA,"Brazil","Distrito Federal",NA,"Brasília, Parque das Sucupiras. Setor Sudoeste.","-47.9167","-15.7667",NA,"Herbário UB 17955; Arbusto 1.0m. Vários ramos eretos, numa touceira frouxa. Flores de cor creme, levemente perfumadas.",NA,NA,NA,NA,NA,NA,"1150",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0034928","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","sellowiana","Eugenia sellowiana","DC.","M. Sobral, 1987.","G. Hatschbach","34649","1974","7","11",NA,"Brazil","Mato Grosso","Alto Araguaia","Rib. Claro.","-53.2","-17.3167",NA,"In 5 anthers seen, each had 0 glands. Coor from www.fallingrain.com/world; Arbusto 2m; flor alva.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0034395","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","sellowiana","Eugenia sellowiana","DC.","J. E. Q. Faria","G. Gottsberger","118-26883","1983","9","26",NA,"Brazil","Minas Gerais","Indianopolis","Mun. Indianopolis. Fazenda Bela Tanda and neighbouring fazendas, 6km NE of Indianopolis.","-47.95","-19.2167",NA,"Shrub, ca. 70cm tall; flowers white.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
