"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","00958952","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Caesalpinia","pulcherrima","Caesalpinia pulcherrima","(L.) Sw.","I. Novato","1","1983","05","07","South America","Brazil","Distrito Federal","Brasília","Area de jardinagem em frente o clube cota mil","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1026201' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958952","NY00958952_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1738427","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Caesalpinia","pulcherrima","Caesalpinia pulcherrima","(L.) Sw.","P. da C. Gadelha Neto","3128","2011","11","17","South America","Brazil","Paraíba",NA,"Mataraca. Millennium Inorganic Chemicals Mineração Ltda.","-34.9769","-6.5022","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2007445' target='other'> <mi>dwc_moreinfo</mi></a>","NY01738427",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02687024","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Caesalpinia","pulcherrima","Caesalpinia pulcherrima","(L.) Sw.","C. C. Berg","P18812","1973",NA,NA,"South America","Brazil","Amazonas",NA,"Manaus. Horto Municipal, Estrada do Aleixo.","-59.9478436","-3.0729943","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2962072' target='other'> <mi>dwc_moreinfo</mi></a>","NY02687024","NY02687024_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02687026","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Caesalpinia","pulcherrima","Caesalpinia pulcherrima","(L.) Sw.","M. Luz","7","1982","12","16","South America","Brazil","Distrito Federal","Brasília","Jardim do Campus da Fundação da Universidade de Brasilia","-47.9296989440918","-15.7797002792358","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2962079' target='other'> <mi>dwc_moreinfo</mi></a>","NY02687026","NY02687026_01","70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00958949","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Caesalpinia","pulcherrima","Caesalpinia pulcherrima","(L.) Sw.","D. Philcox","4449","1968","03","01","South America","Brazil","Mato Grosso","Barra do Garças","4 km N. of Barra do Garças","-52.2567","-15.8903","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1026189' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958949","NY00958949_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02687027","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Caesalpinia","pulcherrima","Caesalpinia pulcherrima","(L.) Sw.","R. H. Santos","9","1982","03","28","South America","Brazil","Distrito Federal","Brasília",NA,"-47.97","-15.9","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2962082' target='other'> <mi>dwc_moreinfo</mi></a>","NY02687027","NY02687027_01",NA,NA,"1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","471696","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Caesalpinia","pulcherrima","Caesalpinia pulcherrima","(L.) Sw.",NA,"24","1975","11","19","South America","Brazil","Maranhão","Imperatriz","Estrada de Coquelândia","-47.4917","-5.5267","sheet","COLL. NAME. Raul NO LAST NAME CITED <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=437929' target='other'> <mi>dwc_moreinfo</mi></a>","NY00471696","NY00471696_01",NA,NA,NA,NA,"R. C. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00958953","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Caesalpinia","pulcherrima","Caesalpinia pulcherrima","(L.) Sw.","I. M. Yamamoto","16","1983","02","01","South America","Brazil","Distrito Federal","Brasília","Campus da UnB em frente à reitoria","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1026204' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958953","NY00958953_01",NA,NA,"1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","471700","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Caesalpinia","pulcherrima","Caesalpinia pulcherrima","(L.) Sw.","L. Riedel","460","1823","07",NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=437936' target='other'> <mi>dwc_moreinfo</mi></a>","NY00471700","NY00471700_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02687025","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Caesalpinia","pulcherrima","Caesalpinia pulcherrima","(L.) Sw.","G. de Oliveira","10","1982","09","19","South America","Brazil","Distrito Federal",NA,"Prefeitura de Brazlândia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2962073' target='other'> <mi>dwc_moreinfo</mi></a>","NY02687025","NY02687025_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01157726","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Caesalpinia","pulcherrima","Caesalpinia pulcherrima","(L.) Sw.","B. C. Bennett","4538","1990","08","12","South America","Ecuador","Napo",NA,"Near Jatun Sacha Biological Field Station","-77.6","-1.07","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=437926' target='other'> <mi>dwc_moreinfo</mi></a>","NY01157726",NA,NA,NA,"400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","471702","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Caesalpinia","pulcherrima","Caesalpinia pulcherrima","(L.) Sw.","T. G. Bacelar","65","1998","04","19","South America","Brazil","Bahia","Ilhéus","Bairro na rua Café Filho","-39.04","-14.78","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=437925' target='other'> <mi>dwc_moreinfo</mi></a>","NY00471702","NY00471702_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","471699","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Caesalpinia","pulcherrima","Caesalpinia pulcherrima","(L.) Sw.","B. Coe-Teixeira","293","1967","05","03","South America","Brazil","São Paulo","Sao Paulo","Jardim Botánico, Parque do Estado","-46.618358","-23.646109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=437935' target='other'> <mi>dwc_moreinfo</mi></a>","NY00471699","NY00471699_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","471698","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Caesalpinia","pulcherrima","Caesalpinia pulcherrima","(L.) Sw.","R. Reitz","6535","1958","03","01","South America","Brazil","Santa Catarina","Joinville","Palácio Episcopal","-48.8456","-26.3044","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=437932' target='other'> <mi>dwc_moreinfo</mi></a>","NY00471698","NY00471698_01",NA,NA,"10","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00958954","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Caesalpinia","pulcherrima","Caesalpinia pulcherrima","(L.) Sw.","J. S. Silva","120","1973","06","05","South America","Brazil","Mato Grosso do Sul",NA,"Miranda, Mutum. 65 km ao N-NW de Guaiacurnus",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1026206' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958954","NY00958954_01",NA,NA,"80","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","776881","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Caesalpinia","pulcherrima","Caesalpinia pulcherrima","(L.) Sw.","M. Borgo","558","1999","12","04","South America","Brazil","Paraná","Fênix","Parque Estadual Vila Rica do Espírito Santo","-51.97","-23.92","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=437930' target='other'> <mi>dwc_moreinfo</mi></a>","NY00776881","NY00776881_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2016-10-28 13:54:00-02","NY","NYBG","00958950","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Caesalpinia","pulcherrima","Caesalpinia pulcherrima",NA,"J. Castelo","11","1982","12","04","South America","Brazil","Distrito Federal","Brasília","Campus da UnB","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1026193' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958950","NY00958950_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","471697","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Caesalpinia","pulcherrima","Caesalpinia pulcherrima","(L.) Sw.","L. Riedel","460","1823","07",NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=437934' target='other'> <mi>dwc_moreinfo</mi></a>","NY00471697","NY00471697_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","471701","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Caesalpinia","pulcherrima","Caesalpinia pulcherrima","(L.) Sw.","G. G. Hatschbach","51664","1987","11","07","South America","Brazil","Paraná","Nossa Senhora das Graças","Arredores","-51.7942","-22.9136","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=437937' target='other'> <mi>dwc_moreinfo</mi></a>","NY00471701","NY00471701_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
