"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","stateProvince","county","verbatimLongitude","verbatimLatitude","identifiedBy","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","482486","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Oncidium","lietzei","Oncidium lietzei","Regel","photo of type","South America","Brazil","Brasilia","photo","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=459119' target='other'> <mi>dwc_moreinfo</mi></a>","NY00482486","NY00482486_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","482485","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Oncidium","lietzei","Oncidium lietzei bicolor","Regel","photo of type","South America","Brazil","Brasilia","photo","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=57444' target='other'> <mi>dwc_moreinfo</mi></a>","NY00482485","NY00482485_01","bicolor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","482485","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Oncidium","lietzei","Oncidium lietzei bicolor","Regel","photo of type","South America","Brazil","Brasilia","photo","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=57444' target='other'> <mi>dwc_moreinfo</mi></a>","NY00482485","NY00482485_01","bicolor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","9220","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Baptistonia","lietzei","Baptistonia lietzei","(Regel) Chiron & V.P.Castro",NA,NA,"Brasil","Pavuna, próximo ao limite do município de Botucatu com São Manuel, pela Rodovia Marechal Rondon",NA,NA,"BOTU009220",NA,NA,"1972","11","27","Amaral Jr., A.","1140","1972","09","24","São Paulo","São Manuel","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-08 11:09:42-03","UNESP-IBB","BOTU","28391","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","lietzei","Gomesa lietzei","(Regel) M.W.Chase & N.H.Williams",NA,NA,"Brasil",NA,NA,NA,"BOTU028391",NA,NA,"2011","09","14","Marcusso, G.M.","25","2011","09","14","São Paulo","Botucatu","48°27'28w","22°55'23 s","Marcusso, G.M.","-48.457778","-22.923056",NA,NA,NA,NA,NA,NA
"6","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","29142","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","lietzei","Gomesa lietzei","(Regel) M.W.Chase & N.H.Williams",NA,NA,"Brasil","Toledo, Sítio Vargem Grande",NA,NA,"BOTU029142",NA,NA,"2012","10","02","Marcusso, G.M.","70","2012","10","01","São Paulo","São Manuel","9999","9999","Marcusso, G.M.",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-31 13:40:42-03","MN","R","3763","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Baptistonia","lietzei","Baptistonia lietzei","(Regel) Chiron & V.P. Castro",NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,"2008","02","14","Sampaio, A.J.","2666","1917","05",NA,"Rio de Janeiro","Teresópolis",NA,NA,"Chiron, G.","-42.9655990600586","-22.4122009277344","38539","auto",NA,NA,NA,NA
"8","2021-03-31 13:41:09-03","MN","R","107351","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Oncidium","lietzei","Oncidium lietzei","Regel",NA,NA,"Brasil","Barreiras",NA,NA,NA,NA,NA,"1962","04","29","Vidal, J.","II - 1703","1952",NA,NA,"Rio de Janeiro","Magé",NA,NA,"Pabst, G.F.J.","-43.040599822998","-22.6527996063232","20531","auto",NA,NA,NA,NA
"9","2019-11-21 14:40:57-03","UFJF","CESJ","66132","PreservedSpecimen","Plantae","Angiosperma",NA,"Orchidaceae","Oncidium","lietzei","Oncidium lietzei","Regel",NA,"América do Sul","Brasil","Serra Negra, Cânion da Gruta do Funil",NA,"Epífita, em interior de floresta de grota. Flores com sépalas amarelas com mácula castanha e pintalgadas de castanho nas margens, labelo acastanhado.","CESJ066132",NA,NA,"2010",NA,NA,"L. Menini Neto","s.n.","2010",NA,NA,"Minas Gerais","Rio Preto",NA,NA,"L. Menini Neto","-43.8278007507324","-22.0891990661621","20815","auto","900","900",NA,NA
"10","2019-11-21 14:40:57-03","UFJF","CESJ","48913","PreservedSpecimen","Plantae","Angiosperma",NA,"Orchidaceae","Oncidium","lietzei","Oncidium lietzei","Regel",NA,"América do Sul","Brasil","Serra Negra, Vilarejo do Funil. Cânion do Funil.",NA,"Erva epífita, no interior de mata de grota. Pseudobulbo e folhas verde-escuros, pedúnculo verde-escuro pintalgado de castanho. Fruto maduro. Freqüente.","CESJ048913",NA,NA,"2011","09","20","L. Menini Neto; C.N. Matozinhos; E.A. Feliciano; E.T. Amorim","397","2007","04","29","Minas Gerais","Rio Preto",NA,NA,"L. Menini Neto","-43.8278007507324","-22.0891990661621","20815","auto",NA,NA,NA,NA
"11","2019-11-21 14:40:57-03","UFJF","CESJ","65716","PreservedSpecimen","Plantae","Angiosperma",NA,"Orchidaceae","Oncidium","lietzei","Oncidium lietzei","Regel",NA,"América do Sul","Brasil","Vila do Funil, Propriedade do Sr. Nenê Roque - Subida para Antena",NA,"Terrestre; tépalas amarelas pintalgadas de castanho. Interior do arbustal nebular. Solo arenoso.","CESJ065716",NA,NA,"2014","11","22","F.R.G. Salimena; L.L. Justino; J.H.R. Campos; M. Almeida; P.H. Nobre","3792","2014","11","22","Minas Gerais","Rio Preto",NA,NA,"L.M. Neto","-43.8278007507324","-22.0891990661621","20815","auto",NA,NA,NA,NA
"12","2021-03-01 16:20:10-03","UNICAMP","UEC","172407","S","Plantae","Liliopsida",NA,"Orchidaceae","Gomesa","lietzei","Gomesa lietzei","(Regel) M.W.Chase & N.H.Williams",NA,NA,"Brazil","DIstrito de Souzas, cond. Colinas do Atibaia, Mata ribeirão cachoeira.",NA,"Epífita, flores alaranjadas.; Mata atlântica, floresta estacional semidecídua.","UEC016566","UEC016566",NA,"2015",NA,NA,"Garcia, LC","46","2008","10","17","São Paulo","Campinas","-47.55","-23.391667","Meneguzzo, TEC","-47.55","-23.391667",NA,NA,"711","711",NA,NA
"13","2021-03-01 16:20:10-03","UNICAMP","UEC","160077","S","Plantae","Liliopsida",NA,"Orchidaceae","Gomesa","lietzei","Gomesa lietzei","(Regel) M.W.Chase & N.H.Williams",NA,NA,"Brazil","Parque Nacional da Serra dos Órgãos, trilhas a partir da portaria.",NA,"Erva epífita, sépalas e pétalas marrons com ápice amarelo, borda comáculas amarelas, labelo marrom de ápice amarelo, coluna branca.Amostra em sílica.; Mata Atlântica.","UEC017775","UEC017775",NA,"2015",NA,NA,"Lombardi, JA; Saka, MN; Temponi, LG; Cardozo, AP","8587","2011","07","13","Rio de Janeiro","Guapimirim","-43.002639","-22.49475","Meneguzzo, TEC","-43.002639","-22.49475",NA,NA,"348","348",NA,NA
"14","2019-08-20 10:00:46-03","UNICAMP","UEC","139752","S","Plantae","Liliopsida",NA,"Orchidaceae","Gomesa","lietzei","Gomesa lietzei","(Regel) M.W.Chase & N.H.Williams",NA,NA,"Brazil","Serra da Mantiqueira",NA,NA,"UEC001854","UEC001854",NA,"2015",NA,NA,"Breier, TB; Inostroza, ETH","1233","2004","09","08","Minas Gerais","Bueno Brandão",NA,NA,"Meneguzzo, TEC","-46.3507995605469","-22.4407997131348","18795","auto","1250","1250",NA,NA
"15","2019-08-20 10:00:46-03","UNICAMP","UEC","138965","S","Plantae","Liliopsida",NA,"Orchidaceae","Gomesa","lietzei","Gomesa lietzei","(Regel) M.W.Chase & N.H.Williams",NA,NA,"Brazil","Serra do Japí",NA,NA,"UEC027351","UEC027351",NA,"2015",NA,NA,"Singer, RB","98/86","1998","09","11","São Paulo","Jundiaí",NA,NA,"Meneguzzo, TEC","-46.8800010681152","-23.1800003051758","17840","auto",NA,NA,NA,NA
"16","2019-08-20 10:00:46-03","UNICAMP","UEC","132310","S","Plantae","Liliopsida",NA,"Orchidaceae","Gomesa","lietzei","Gomesa lietzei","(Regel) M.W.Chase & N.H.Williams",NA,NA,"Brazil","Serra do Japi, Bairro Eloy Chaves, próximo à represa do DAE.",NA,NA,"UEC027352","UEC027352",NA,"2015",NA,NA,"Pansarin, ER","1095","2003","09","24","São Paulo","Jundiaí",NA,NA,"Meneguzzo, TEC","-46.8800010681152","-23.1800003051758","17840","auto",NA,NA,NA,NA
"17","2019-08-20 10:00:46-03","UNICAMP","UEC","110433","S","Plantae","Liliopsida",NA,"Orchidaceae","Gomesa","lietzei","Gomesa lietzei","(Regel) M.W.Chase & N.H.Williams",NA,NA,"Brazil","Serra do Japi, Bairro Eloy Chaves, próximo à represa do DAE.",NA,NA,"UEC027349","UEC027349",NA,"2015",NA,NA,"Pansarin, ER","547","1999","11","01","São Paulo","Jundiaí",NA,NA,"Meneguzzo, TEC","-46.8800010681152","-23.1800003051758","17840","auto",NA,NA,NA,NA
"18","2019-08-20 10:00:46-03","UNICAMP","UEC","131668","S","Plantae","Liliopsida",NA,"Orchidaceae","Gomesa","lietzei","Gomesa lietzei","(Regel) M.W.Chase & N.H.Williams",NA,NA,"Brazil","Serra do Japi, Bairro Eloy Chaves, próximo à represa do DAE.",NA,NA,"UEC027354","UEC027354",NA,"2015",NA,NA,"Pansarin, ER; Mickeliunas, L","1078","2003","09","09","São Paulo","Jundiaí",NA,NA,"Meneguzzo, TEC","-46.8800010681152","-23.1800003051758","17840","auto",NA,NA,NA,NA
"19","2019-08-16 08:40:23-03","UTFPR","HCF","27008","S","Plantae",NA,NA,"Orchidaceae","Gomesa","lietzei","Gomesa lietzei","(Regel) M.W.Chase & N.H.Williams",NA,NA,"Brasil","Estação Ecológica Municipal Felipe",NA,"erva epífita, semi-ciófila. Flores amarelas com máculas castanhas.",NA,NA,NA,"2018","12","20","M.G. Caxambu","8820","2018","12","20","PR","Turvo","51°35'36,6 W","25°03'49,9 S","G.A. Dettke","-51.5935","-25.063861",NA,NA,"1128","1128",NA,NA
